image,pred,lon,lat
Cai Lậy Town-1496.jpeg,0.9860297,10.47335137831528N,106.15394254116356E
Long Xuyen City-841.jpeg,0.9854177,10.382568141889761N,105.4139300718175E
Cai Lậy Town-1529.jpeg,0.98538846,10.476046311841023N,106.15394254116356E
Cao Lanh City-1210.jpeg,0.98315954,10.499867409548163N,105.62216777975802E
Cai Lậy Town-1472.jpeg,0.98276937,10.470656444789533N,106.18134424358063E
Cai Lậy Town-1369.jpeg,0.9826491,10.462571644212304N,106.18682458406406E
Cai Lậy Town-1407.jpeg,0.9814239,10.467961511263793N,106.0991391363294E
Long Hồ District-87.jpeg,0.98136246,10.148600437223585N,105.91810188475881E
Long Hồ District-757.jpeg,0.98041266,10.18093963953249N,105.99751811093057E
Mỹ Hào District-501.jpeg,0.9800101,20.933886010373165N,106.14546448339627E
Cai Lậy Town-1153.jpeg,0.9796112,10.446402043057844N,106.19504509478917E
Cao Lanh City-1209.jpeg,0.9795782,10.499867409548163N,105.61942730402363E
Châu Thành District-2674.jpeg,0.97935724,10.337854876551788N,106.36900654392467E
Châu Thành District-405.jpeg,0.97919434,10.265091671356737N,106.25670811845906E
Long Hồ District-706.jpeg,0.97851926,10.178244706006748N,106.0112105637188E
Cai Lậy Town-1567.jpeg,0.9783981,10.48143617889251N,106.0991391363294E
Long Hồ District-671.jpeg,0.97812563,10.178244706006748N,105.91536339420118E
Long Xuyen City-909.jpeg,0.97785324,10.387958008941244N,105.42214915978941E
Cai Lậy Town-1045.jpeg,0.97729295,10.441012176006357N,106.11832032802134E
Long Xuyen City-188.jpeg,0.97715354,10.325974537849158N,105.46598429563967E
Duy Tiên District-327.jpeg,0.97713906,20.6133088432218N,105.97345057372313E
Cai Lậy Town-1372.jpeg,0.9770344,10.465266577738051N,106.0991391363294E
Chau Doc City-933.jpeg,0.97701573,10.693090075503575N,105.12070547826302E
Long Hồ District-1000.jpeg,0.97695565,10.194414307161201N,105.97834867702704E
Long Hồ District-1089.jpeg,0.9768463,10.202499107738426N,105.91810188475881E
Long Hồ District-1148.jpeg,0.97673506,10.20519404126417N,105.98656414869998E
