image,pred,lon,lat
Tam Điệp-163,0.9877623319625854,20.125085340768482N,105.91248661391052E
Thái Bình-343,0.9795830845832825,20.447332642594546N,106.32632120285044E
Mỹ Hào District-443,0.9780660271644592,20.931191076847337N,106.09064516226894E
Thanh Liêm District-1185,0.9759014844894409,20.466614946625093N,105.9160731593144E
Hoa Lư District-1205,0.9754806756973267,20.311178982400836N,105.93921782328722E
Hiệp Hòa District-2158,0.9753012657165527,21.38341015094016N,106.00063922625938E
Mỹ Hào District-939,0.9752086400985718,20.96622521268311N,106.08487470741343E
Châu Thành District-1544,0.9751952290534973,10.294735940139905N,106.30053189425054E
Yên Mỹ District-811,0.9749162197113037,20.907088744464566N,106.039261032674E
Hiệp Hòa District-62,0.9748951196670532,21.237883740545165N,105.95145637212903E
Go Cong Town-73,0.9748109579086304,10.349575537280982N,106.66489235208824E
Long Xuyen City-977,0.9747339487075806,10.39334787599273N,105.4413270317239E
Hoa Lư District-19,0.9746032357215881,20.181822173161407N,105.95070772529417E
Long Hồ District-336,0.9745786786079407,10.162075104852295N,105.9181018847588E
Binh Minh Town-841,0.9743292927742004,10.071975342375989N,105.82963616598423E
Long Xuyen City-305,0.9742423892021179,10.33675427195213N,105.4413270317239E
Hiệp Hòa District-1522,0.9740748405456543,21.340291214526815N,106.01799788065833E
Tam Điệp-686,0.9739347100257874,20.160119476604144N,105.91248661391052E
Go Cong Town-997,0.9738913178443909,10.435813410104764N,106.65941229431952E
Tam Điệp-623,0.9738532304763794,20.157424543078324N,105.87229503813344E
Binh Minh Town-962,0.973800539970398,10.085450010004697N,105.82689926470549E
Long Xuyen City-405,0.9736828804016113,10.344839072529355N,105.45776520766776E
Châu Thành District-1668,0.9736704230308533,10.297430873665649N,106.36078958596379E
Binh Minh Town-808,0.9736499786376953,10.069280408850249N,105.80774095575431E
Cai Lậy Town-1434,0.9735829830169678,10.467961511263793N,106.17312373285549E
Binh Minh Town-739,0.9735550880432129,10.061195608273021N,105.82689926470549E
Trà Vinh City-200,0.9735234379768372,9.917624638307553N,106.35365444573176E
Long Xuyen City-1080,0.9734407067298889,10.404127610095701N,105.41666976780813E
Vĩnh Long-115,0.9732696413993835,10.238217670774144N,105.94458925668548E
Duy Tiên District-151,0.973210334777832,20.589054441489374N,105.97920979293177E
Tam Điệp-466,0.9731765985488892,20.146644808975044N,105.9239699212754E
Hoa Lư District-58,0.973145067691803,20.192601907264688N,105.94496277429069E
Bến Tre City-220,0.9729925990104675,10.221940538394358N,106.36527767355018E
Mỹ Tho-345,0.9728968739509583,10.35296487195676N,106.40123912327536E
Cai Lậy Town-1652,0.9726718664169312,10.492215912995487N,106.10461947681281E
Long Xuyen City-616,0.9726019501686096,10.363703607209557N,105.4468064237052E
Chau Doc City-476,0.9724745154380798,10.66614074024613N,105.04665765254182E
Go Cong Town-1236,0.9724129438400269,10.476237412990915N,106.64297212101346E
Thái Bình-589,0.9723545908927917,20.468892110801132N,106.34070248992211E
Vĩnh Long-347,0.9722708463668823,10.254387271928598N,105.94458925668548E
Hoa Lư District-135,0.9722283482551575,20.200686707842156N,105.92485544577856E
Tam Điệp-862,0.9721555709838867,20.168204277181605N,105.94406570916391E
