image,pred,lon,lat
Long Xuyen City-841,0.9813355207443237,10.382568141889761N,105.41393007181749E
Cai Lậy Town-1473,0.979303240776062,10.470656444789533N,106.18408441382235E
Long Xuyen City-909,0.978683352470398,10.387958008941244N,105.42214915978941E
Cai Lậy Town-1472,0.9784308671951294,10.470656444789533N,106.18134424358063E
Cai Lậy Town-1587,0.9781317710876465,10.481436178892512N,106.15394254116356E
Cai Lậy Town-1233,0.9777401089668274,10.454486843635076N,106.10461947681281E
Cao Lanh City-1210,0.9777098298072815,10.49986740954816N,105.62216777975802E
Mỹ Hào District-501,0.9767931699752808,20.933886010373165N,106.14546448339627E
Cai Lậy Town-1519,0.9766197800636292,10.476046311841023N,106.12654083874648E
Cai Lậy Town-1434,0.9763220548629761,10.467961511263793N,106.17312373285549E
Duy Tiên District-1311,0.9762445092201233,20.672597380789963N,105.94465447767993E
Duy Tiên District-327,0.9761478900909424,20.6133088432218N,105.97345057372313E
Long Xuyen City-513,0.9760559797286987,10.355618806632327N,105.42214915978941E
Long Hồ District-445,0.9759451150894165,10.16746497190378N,105.9153633942012E
Cao Lanh City-1249,0.975853681564331,10.502562343073906N,105.64957253710186E
Trà Vinh City-211,0.9753378629684448,9.92031957183329N,106.32902954770172E
Cai Lậy Town-994,0.9753276109695435,10.435622308954873N,106.19778526503087E
Sa Đéc City-39,0.975190281867981,10.270761070208517N,105.75455874109204E
Long Hồ District-757,0.9749313592910767,10.180939639532488N,105.99751811093057E
Cai Lậy Town-1567,0.9748286008834839,10.481436178892512N,106.0991391363294E
Cai Lậy Town-1240,0.9747391939163208,10.454486843635076N,106.12380066850477E
Long Xuyen City-1137,0.974361777305603,10.40951747714719N,105.4276285517707E
Long Hồ District-456,0.9739915728569031,10.16746497190378N,105.94548679033528E
Sa Đéc City-105,0.9739872217178345,10.278845870785746N,105.75181947400598E
Phu Ly City-4,0.9738913774490356,20.488516006207927N,105.90417811071494E
Cai Lậy Town-1322,0.9738560914993286,10.459876710686562N,106.15394254116356E
Long Hồ District-158,0.9736606478691101,10.15129537074933N,106.0112105637188E
Cai Lậy Town-1495,0.973455011844635,10.47335137831528N,106.15120237092184E
Long Hồ District-1262,0.9733340740203857,10.215973775367138N,105.93727131866235E
Long Hồ District-813,0.9731615781784058,10.183634573058232N,106.00025660148823E
Trà Vinh City-290,0.9729857444763184,9.933794239461996N,106.33997394682622E
Long Hồ District-726,0.9729517698287964,10.180939639532488N,105.91262490364353E
Phu Ly City-1058,0.9728240370750427,20.590923480189254N,105.93583565996381E
Châu Thành District-2195,0.9727413654327393,10.313600474820104N,106.23205724457637E
