,image,pred,lon,lat
0,978.jpeg,0.97370195,11813511.32974132,1270237.3009131537
1,857.jpeg,0.9723724,11873820.27384781,1158487.7754624228
2,891.jpeg,0.97233766,11788452.293311251,2291356.616249951
3,897.jpeg,0.97193235,11791298.999900224,2290375.948458544
4,535.jpeg,0.97154003,11780040.110141857,1125923.8732906885
5,316.jpeg,0.97091013,11800839.261743344,2347514.589055621
6,892.jpeg,0.97070676,11786229.988517422,2289957.3620507694
7,402.jpeg,0.97067577,11793086.906717718,2309970.247337837
8,960.jpeg,0.9703095,11702042.837699505,1193034.8179803672
9,920.jpeg,0.9701905,11734991.184206776,1163227.6999844704
10,889.jpeg,0.96968645,11786228.855121816,2289958.1855446924
11,472.jpeg,0.969529,11702723.849269545,1197426.3451005635
12,515.jpeg,0.96938413,11759981.44912442,1167438.7721003152
13,8.jpeg,0.96929204,11705008.533707503,1197721.1866906
14,340.jpeg,0.9692714,11797499.864858704,2342862.3527054708
15,703.jpeg,0.969262,11840640.689455634,1143895.1349782862
16,475.jpeg,0.9691486,11704809.988327015,1195884.3613485538
17,10.jpeg,0.96877366,11738343.022305757,1160081.5875469258
18,859.jpeg,0.96870965,11841955.180673271,2329056.281391333
19,476.jpeg,0.96841854,11703894.627784535,1194931.3602879029
20,317.jpeg,0.9680705,11803101.801783118,2346686.5151867066
21,247.jpeg,0.9680607,11802172.491745489,2378944.87591458
22,403.jpeg,0.9679593,11793289.642967,2309822.144726488
23,541.jpeg,0.9679464,11796643.168046232,1139527.934368928
24,303.jpeg,0.9674704,11809647.823610565,2348990.074669364
25,499.jpeg,0.96728814,11753924.42740584,1171363.982779958
26,886.jpeg,0.9672696,11785606.160310311,2291696.90793454
27,725.jpeg,0.96721005,11835489.526926547,1118565.15246721
28,717.jpeg,0.9671487,11844976.47599766,1145676.9397475545
29,200.jpeg,0.9670874,11822776.680952182,2426717.0637120977
30,429.jpeg,0.96702373,11785530.830986816,2291955.314175506
31,464.jpeg,0.9668036,11699164.511074226,1196055.0243307769
32,256.jpeg,0.96661705,11807129.090940973,2375227.564884836
33,34.jpeg,0.9666082,11790742.606884755,1137107.254171585
34,466.jpeg,0.9665636,11701350.74113416,1199779.5512820035
35,508.jpeg,0.96637213,11757526.16259542,1172967.4473279836
36,170.jpeg,0.9663644,11796937.34564036,2423010.762193353
37,710.jpeg,0.96636146,11843807.290833429,1142839.3772094776
38,11.jpeg,0.9661314,11738276.185494555,1159502.4204072603
39,513.jpeg,0.965978,11757065.421467235,1170060.3058717195
40,341.jpeg,0.9658396,11797413.772877373,2342867.748236021
41,301.jpeg,0.96570665,11808618.376726229,2348266.7622102564
42,455.jpeg,0.96555716,11837650.440896489,2331759.416067875
43,426.jpeg,0.96539783,11793649.553239755,2295821.430545398
44,197.jpeg,0.96536416,11819123.334102483,2428200.225538456
45,934.jpeg,0.96534026,11742694.068117429,1155879.8872347046
46,210.jpeg,0.96529293,11804728.234226856,2384875.2828029376
47,223.jpeg,0.9652914,11810802.530459546,2379116.277239284
48,411.jpeg,0.9651298,11789715.925070465,2307748.536183615
49,465.jpeg,0.9650543,11701666.263048971,1199688.9413004124
50,222.jpeg,0.96503454,11812049.743213767,2380892.062946764
51,571.jpeg,0.9648971,11840197.24555944,1116468.0278678522
52,315.jpeg,0.96488315,11800942.544894388,2347632.6719975043
53,888.jpeg,0.9647372,11791826.10054964,2292486.9810415725
54,933.jpeg,0.9647128,11742691.436522532,1155881.919154005
55,82.jpeg,0.9647025,11813564.09633606,1165619.715980143
56,86.jpeg,0.96452326,11815298.230947364,1165310.7602779388
57,445.jpeg,0.9644652,11836142.885210805,2323012.362613537
58,479.jpeg,0.9644555,11733539.901815882,1166998.0728378354
59,608.jpeg,0.9643169,11810493.416862505,1271556.513544858
60,195.jpeg,0.9643025,11818711.306866908,2425433.401750705
61,191.jpeg,0.9642905,11818079.125519833,2424415.6950360327
62,50.jpeg,0.9642068,11835486.004787514,1118568.303342715
63,334.jpeg,0.9641986,11794971.756121278,2344854.9379271525
64,531.jpeg,0.9641822,11772697.34490564,1150805.0213732922
65,962.jpeg,0.96414506,11809261.05847996,1270180.3254780138
66,318.jpeg,0.96410066,11798928.946534788,2352031.868128506
67,446.jpeg,0.964097,11836175.055093732,2322937.556489507
68,626.jpeg,0.9640795,11804048.331233166,2374915.3981100777
69,219.jpeg,0.96397626,11814097.357827242,2380542.499547725
70,851.jpeg,0.9639688,11875196.27948542,1164413.4653857525
71,706.jpeg,0.9638591,11841399.29639692,1147881.3173085875
72,277.jpeg,0.9638107,11805219.120856969,2353244.9038314256
73,263.jpeg,0.9638101,11797575.475902831,2379021.385483561
74,266.jpeg,0.9636998,11803925.708691671,2381499.13304657
75,564.jpeg,0.9636128,11792618.06172475,1143993.9035878708
76,689.jpeg,0.96357316,11837691.275383364,1149133.37393891
77,6.jpeg,0.96357185,11700963.035892168,1200696.7468921472
78,388.jpeg,0.96356225,11786906.24363956,2321565.136844457
79,510.jpeg,0.9634424,11758434.49469149,1171212.2056786877
80,198.jpeg,0.96332675,11821850.232253088,2426794.2375704986
81,704.jpeg,0.9633203,11837688.794823457,1149133.5924863163
82,458.jpeg,0.96311086,11841950.540905502,2328946.675185483
83,462.jpeg,0.9630913,11838438.669901758,2323033.6480521704
84,618.jpeg,0.96293086,11795292.915343136,2349954.3527122005
85,333.jpeg,0.9629226,11794893.781206494,2344911.284886244
86,314.jpeg,0.96287394,11797322.518141732,2350656.778672333
87,468.jpeg,0.9627937,11701508.046591766,1199466.891047335
88,408.jpeg,0.9627906,11794681.092101444,2307410.8153657443
89,220.jpeg,0.96272177,11814030.968457526,2380504.825634585
90,881.jpeg,0.96266323,11798995.9137034,2301399.7333768443
91,887.jpeg,0.9626542,11790073.29355662,2291828.132372953
92,550.jpeg,0.9625729,11799569.810975011,1150593.8714556096
93,5.jpeg,0.96251875,11700169.13612262,1199690.9121392516
94,975.jpeg,0.96248484,11814049.075399388,1270465.0426014615
95,942.jpeg,0.96248025,11758429.25733156,1170366.0680123067
96,525.jpeg,0.962439,11771292.609123016,1153178.0490602124
97,572.jpeg,0.96243274,11840201.485557431,1116464.7995141856
98,4.jpeg,0.9624325,11696874.796290869,1196438.563920652
99,930.jpeg,0.9623724,11741332.59986586,1157007.677894011
100,477.jpeg,0.9623391,11699544.257653993,1190449.1348180822
101,885.jpeg,0.9622755,11786678.558301466,2295302.867352027
102,841.jpeg,0.9622561,11869724.22561244,1167927.288265108
103,779.jpeg,0.9622553,11820942.079253327,1168232.2719751813
