,image,pred,lon,lat,anditi_id
310,Hoa Lư District-4780.jpeg,0.9723911,20.309831515637743N,105.94065406103809E,412
309,Hoa Lư District-4828.jpeg,0.9719704,20.311178982400655N,105.93921782328722E,411
237,Duy Tiên District-2232.jpeg,0.9718418,20.62813097761375N,106.00944569377715E,324
238,Duy Tiên District-2232.jpeg,0.9718418,20.62813097761375N,106.00944569377715E,325
596,Tam Điệp-2494.jpeg,0.9710655,20.15742454307825N,105.87229503813346E,920
385,Cao Lanh City-3056.jpeg,0.97084945,10.46348580695066N,105.58791183307821E,510
624,Long Xuyen City-815.jpeg,0.970809,10.327322004612043N,105.48653201556948E,976
623,Long Xuyen City-815.jpeg,0.970809,10.327322004612043N,105.48653201556948E,975
189,Yên Mỹ District-551.jpeg,0.9707539,20.859927407762545N,106.06522281735624E,265
362,Chau Doc City-4650.jpeg,0.9707201,10.714649543709605N,105.11522045413554E,477
132,Bac Giang City-1451.jpeg,0.9707008,21.272614943430767N,106.16347291657819E,200
131,Bac Giang City-1451.jpeg,0.9707008,21.272614943430767N,106.16347291657819E,199
223,Hung Yen City-1064.jpeg,0.9704023,20.634087341503548N,106.07920439866642E,310
16,Cao Lanh City-3509.jpeg,0.9704011,10.472918074290767N,105.64820229923467E,22
616,Long Xuyen City-3798.jpeg,0.9702791,10.392000409229915N,105.41666976780813E,960
201,Hung Yen City-3244.jpeg,0.9702571,20.701460679649117N,106.05904334902549E,280
202,Hung Yen City-3244.jpeg,0.9702571,20.701460679649117N,106.05904334902549E,281
414,Long Hồ District-7651.jpeg,0.9702186,10.280652179985056N,105.99751811093057E,562
315,Hoa Lư District-3999.jpeg,0.9701073,20.29231444771992N,105.90905683051905E,420
6,Chau Doc City-4764.jpeg,0.97007567,10.72273434428684N,105.11110668603992E,6
27,Long Hồ District-1249.jpeg,0.9698743,10.16072763808944N,105.91810188475881E,38
313,Hoa Lư District-3975.jpeg,0.96951103,20.290966980957013N,105.97368752930801E,418
502,Bến Tre City-1445.jpeg,0.9693859,10.234067739260228N,106.36253914363279E,725
369,Chau Doc City-1540.jpeg,0.96904635,10.6594034064318N,105.05214267666935E,489
20,Binh Minh Town-3185.jpeg,0.96899027,10.06793294208743N,105.79816180127875E,27
355,Thái Bình-2479.jpeg,0.9689436,20.47158704432686N,106.37809383630838E,469
578,Thái Bình-2479.jpeg,0.9689436,20.47158704432686N,106.37809383630838E,887
23,Binh Minh Town-3395.jpeg,0.96891373,10.073322809138919N,105.81595165959065E,30
614,Long Xuyen City-2665.jpeg,0.96880734,10.369093474261087N,105.39749189587366E,958
254,Duy Tiên District-2963.jpeg,0.96867174,20.638910711717042N,105.97057096411882E,347
232,Duy Tiên District-2980.jpeg,0.9686687,20.638910711717042N,105.99504764575553E,319
244,Duy Tiên District-3703.jpeg,0.968612,20.649690445820323N,105.90290013841727E,334
508,Bến Tre City-490.jpeg,0.96851826,10.211160804291403N,106.37212399834277E,742
