image,category,pred1,pred2,diff,lon,lat
Thái Bình-174.jpeg,0,0.5044633,0.96672064,0.46225734000000007,20.433857974965427N,106.32919746026477E
Tam Điệp-15.jpeg,0,0.5102718,0.9530532,0.4427814,20.108915739613565N,105.90961578706928E
Thanh Liêm District-967.jpeg,0,0.51322436,0.95279586,0.4395715,20.45314027899597N,105.97359543426047E
Tam Điệp-41.jpeg,0,0.52923197,0.9456855,0.41645352999999996,20.1143056066652N,105.90961578706928E
Tam Điệp-517.jpeg,0,0.538482,0.95374566,0.41526366000000003,20.15203467602668N,105.83497428919765E
Tam Điệp-401.jpeg,0,0.5519638,0.9646034,0.4126396,20.143949875449223N,105.8464575965625E
Thanh Liêm District-124.jpeg,0,0.50019413,0.90492064,0.40472651000000004,20.39385174142786N,105.88731202184132E
Ninh Bình-236.jpeg,0,0.55150974,0.94601893,0.39450919000000007,20.238832541954036N,105.9916872412553E
Tam Điệp-343.jpeg,0,0.51566577,0.90723807,0.3915723,20.13856000839758N,105.89813247970443E
Tây Ninh City-1506.jpeg,0,0.9388911,0.55216944,0.38672165999999997,11.414848378585386N,106.16086276083013E
Long Xuyen City-551.jpeg,0,0.5652283,0.95039123,0.38516293,10.35831374015807N,105.4468064237052E
Bac Giang City-588.jpeg,0,0.9173479,0.5331169,0.384231,21.28878454458584N,106.1996218487316E
Tây Ninh City-553.jpeg,0,0.91902035,0.5349012,0.3841191500000001,11.350169973967425N,106.13887205047192E
Long Xuyen City-1165.jpeg,0,0.55120885,0.93308765,0.3818788000000001,10.412212410672934N,105.43310794375199E
Binh Minh Town-162.jpeg,0,0.91491044,0.5371015,0.37780894,10.009991871283935N,105.85700517877159E
Duy Tiên District-1358.jpeg,0,0.50115055,0.8768555,0.37570495000000004,20.67529231431579N,106.01376510818362E
Tam Điệp-266.jpeg,0,0.5262398,0.90181905,0.3755792499999999,20.13317014134594N,105.88664917233955E
Tam Điệp-558.jpeg,0,0.544999,0.9195647,0.3745657,20.1547296095525N,105.82349098183278E
Yên Mỹ District-848.jpeg,0,0.5238128,0.8953545,0.3715417000000001,20.909783677990394N,106.039261032674E
Binh Minh Town-4.jpeg,0,0.9050498,0.53440267,0.37064713000000005,9.985737469552264N,105.8871110928377E
Trà Vinh City-418.jpeg,0,0.9024611,0.53769493,0.36476617,9.958048641193665N,106.31534904879615E
Chau Doc City-1114.jpeg,0,0.5794732,0.94386715,0.36439394999999997,10.7065647431323N,105.12619050239051E
Tam Điệp-121.jpeg,0,0.58148277,0.9458506,0.36436782999999995,20.12239040724266N,105.89526165286318E
Bến Tre City-572.jpeg,0,0.89710104,0.53755903,0.35954200999999997,10.248889873651782N,106.34336943421296E
Duy Tiên District-1034.jpeg,0,0.8778641,0.5296275,0.3482366,20.653732846109186N,106.02816315620522E
Mỹ Hào District-83.jpeg,0,0.6090426,0.9536008,0.34455820000000004,20.896156941011558N,106.09064516226894E
Hung Yen City-254.jpeg,0,0.9606191,0.6178584,0.3427606999999999,20.634087341503598N,106.04032237435887E
