,fid,latitude,longitude
0,1,1194928.718424968,11696660.957958722
1,2,1194226.1473003116,11693606.257765992
2,3,1194228.9003213013,11693603.827179415
3,4,1195333.2098595817,11697887.676503053
4,5,1196438.563920652,11696874.796290869
5,6,1199690.9121392516,11700169.13612262
6,7,1200696.7468921472,11700963.035892168
7,8,1200815.3015775601,11700882.10006416
8,9,1197721.1866906001,11705008.533707503
9,10,1161797.463435951,11737625.11425734
11,12,1160081.5875469258,11738343.022305755
12,13,1159502.4204072605,11738276.185494555
13,14,1160996.2619605132,11738471.092181824
14,15,1158744.4181063178,11739672.086755058
15,16,1157887.3209547093,11739551.053419355
16,17,1158204.4824443236,11739651.320290094
17,18,1155175.8403393177,11742327.567002935
18,19,1171786.5148747766,11757799.514960788
20,21,1173350.1691040697,11760282.150649764
21,22,1173576.6322770456,11760047.239594597
22,23,1172395.2920503423,11760631.23977125
23,24,1168168.7525632647,11762518.949965758
24,25,1151617.7645608366,11772764.006579584
25,26,1126242.4246415633,11778772.775190732
26,27,1126534.3480240027,11778567.586361758
27,28,1126563.5119659407,11777407.473877707
28,29,1126598.4775760921,11777306.172823744
29,30,1126429.0462570426,11779502.394447073
30,31,1127107.1440961715,11779374.989484968
32,33,1128642.669355001,11780846.540944975
33,34,1123700.3558234684,11781585.630231857
35,36,1121294.0492979775,11781642.453704821
36,37,1120179.8083660682,11783946.726055998
37,38,1137936.3022436758,11788518.614071345
38,39,1137107.254171585,11790742.606884757
39,40,1136954.3778489237,11791032.542694231
40,41,1136641.0137041425,11793789.728175078
41,42,1138947.7661210983,11792464.886055091
42,43,1139846.1729406011,11792427.023540424
43,44,1140975.6919894894,11793203.850670628
44,45,1141557.2031293856,11791971.693491293
45,46,1139288.1915622381,11797918.954264708
46,47,1145054.317396148,11794952.512201548
47,48,1145422.3253798967,11795134.195770435
48,49,1147438.268845138,11796623.077044377
49,50,1147348.503397107,11796662.790102627
50,51,1147287.5967328034,11796704.243946848
51,52,1147179.1378926558,11796753.62031947
52,53,1147356.1614983098,11798219.42261105
53,54,1145908.6216763097,11798738.627347006
54,55,1118568.303342715,11835486.004787514
55,56,1115577.4697964042,11839159.188221538
57,58,1148825.348248855,11838429.469007079
59,60,1168302.560093922,11872267.585000535
60,61,1164256.4285187845,11875070.106033456
61,62,1164108.1182722892,11875651.389987191
62,63,1164717.0126284317,11874564.993189989
63,64,1159400.6249248015,11875559.550826568
64,65,1158881.2199798073,11875520.255062895
65,69,1158973.4261646003,11841028.848966118
66,70,1160090.5360039528,11842844.334501613
67,71,1162595.1570560979,11840884.79648772
68,72,1156472.1115403522,11834989.648151655
