image,pred,lon,lat,min_probs,max_probs,mean_probs
978.jpeg,0.98165005,11813511.32974132,1270237.3009131537,0.9250834956765176,0.9250834956765176,0.9250834956765176
122.jpeg,0.9807227,11800393.680832757,2301169.5093886307,0.9592628628015518,0.9592628628015518,0.9592628628015518
373.jpeg,0.9761263,11792632.434532398,2322513.015459868,0.9587204828858376,0.9587204828858376,0.9587204828858376
322.jpeg,0.97573996,11790296.62486418,2350059.1612061705,0.954641841351986,0.954641841351986,0.954641841351986
687.jpeg,0.9749448,11778341.215496125,1126286.6294048545,0.8830328732728958,0.8830328732728958,0.8830328732728958
226.jpeg,0.9735197,11812064.185145328,2382205.06104136,0.9598665833473206,0.9598665833473206,0.9598665833473206
872.jpeg,0.973034,11794080.86221968,2304784.661425381,0.701946072280407,0.9639464542269708,0.8329462632536888
878.jpeg,0.97301143,11799256.61840824,2298813.268039896,0.9623766615986824,0.9623766615986824,0.9623766615986824
306.jpeg,0.9725371,11801536.17841019,2354517.589465253,0.9568317383527756,0.9568317383527756,0.9568317383527756
564.jpeg,0.97226983,11792618.06172475,1143993.9035878708,0.6537550203502178,0.9599029421806335,0.8068289812654257
269.jpeg,0.9722402,11803118.132247638,2356344.1138916137,0.6455300003290176,0.9580902457237244,0.801810123026371
841.jpeg,0.97218174,11869724.22561244,1167927.288265108,0.9489538222551346,0.9489538222551346,0.9489538222551346
238.jpeg,0.97197515,11804910.586791158,2382956.773747098,0.0946016982197761,0.9653206765651704,0.5299611873924732
423.jpeg,0.9717562,11796648.49833907,2296795.5707993694,0.9622623324394226,0.9622623324394226,0.9622623324394226
445.jpeg,0.9717148,11836142.885210805,2323012.362613537,0.1212611040100455,0.9620510339736938,0.5416560689918697
110.jpeg,0.9716483,11788822.61622789,2336805.988103454,0.4078464303165674,0.9589903652668,0.6834183977916837
82.jpeg,0.97131324,11813564.09633606,1165619.715980143,0.960997313261032,0.960997313261032,0.960997313261032
368.jpeg,0.9712903,11796439.950141463,2327299.055664581,0.964384876191616,0.964384876191616,0.964384876191616
239.jpeg,0.97101235,11804896.019800398,2382957.620933094,0.0946016982197761,0.9653206765651704,0.5299611873924732
80.jpeg,0.9709524,11814038.758826012,1161832.6314797946,0.9433603063225746,0.9433603063225746,0.9433603063225746
466.jpeg,0.9709435,11701350.74113416,1199779.5512820035,0.967006839811802,0.967006839811802,0.967006839811802
118.jpeg,0.9708858,11792291.292100323,2289476.888544067,0.9588708057999612,0.9588708057999612,0.9588708057999612
751.jpeg,0.97079897,11838143.10602467,1108056.6529708127,0.2513814587146044,0.9643999561667442,0.6078907074406743
800.jpeg,0.97033036,11833812.962152015,1161154.1968394967,0.962557516992092,0.962557516992092,0.962557516992092
220.jpeg,0.9702296,11814030.968457526,2380504.825634585,0.960956946015358,0.960956946015358,0.960956946015358
525.jpeg,0.97016114,11771292.609123016,1153178.0490602124,0.9668921902775764,0.9668921902775764,0.9668921902775764
478.jpeg,0.97009385,11694344.990291148,1193505.1140008476,0.5864662677049637,0.9735804423689842,0.780023355036974
446.jpeg,0.9700485,11836175.055093732,2322937.556489507,0.9620510339736938,0.9620510339736938,0.9620510339736938
804.jpeg,0.9700458,11836166.430762373,1160150.4032079896,0.7074941135942936,0.9595023840665816,0.8334982488304377
259.jpeg,0.9698323,11806611.336772382,2376865.140112905,0.9485726058483124,0.9485726058483124,0.9485726058483124
432.jpeg,0.9697786,11836074.650446463,2324497.693625991,0.9650987684726716,0.9650987684726716,0.9650987684726716
96.jpeg,0.9689441,11814195.27499896,1268298.5357633992,0.8561776056885719,0.9580313339829444,0.9071044698357582
228.jpeg,0.96859175,11809306.013601098,2383175.664235263,0.956248253583908,0.956248253583908,0.956248253583908
857.jpeg,0.9684843,11873820.27384781,1158487.7754624228,0.949189268052578,0.949189268052578,0.949189268052578
854.jpeg,0.96801364,11876921.432508595,1159631.5365201414,0.9654139801859856,0.9654139801859856,0.9654139801859856
911.jpeg,0.9678159,11773933.787171546,1150931.2034671202,0.825734406709671,0.825734406709671,0.825734406709671
883.jpeg,0.9677173,11796819.525800226,2299541.319208895,0.9635713323950768,0.9635713323950768,0.9635713323950768
97.jpeg,0.9677049,11812807.619129203,1270935.089921734,0.6374321393668652,0.8740017041563988,0.755716921761632
776.jpeg,0.96764594,11820904.46903043,1168703.9197102897,0.8062696233391762,0.962268888950348,0.884269256144762
544.jpeg,0.96761996,11794093.315900616,1145246.778725296,0.5607284680008888,0.9657531455159188,0.7632408067584038
850.jpeg,0.96742153,11875121.509546977,1160071.9606400805,0.1904298653826117,0.962018109858036,0.7038252896939715
244.jpeg,0.9673369,11803919.775894608,2378376.555311827,0.9555298164486884,0.9555298164486884,0.9555298164486884
767.jpeg,0.96732426,11813888.96764953,1164878.8344618783,0.956088125705719,0.956088125705719,0.956088125705719
229.jpeg,0.9672291,11809544.062624808,2382487.000395591,0.0,0.0,0.0
13.jpeg,0.9671494,11739672.086755058,1158744.4181063178,0.880509503185749,0.880509503185749,0.880509503185749
362.jpeg,0.96703166,11797799.998905774,2333612.1778733386,0.93917216360569,0.93917216360569,0.93917216360569
280.jpeg,0.9669867,11806611.558612242,2352581.5860459344,0.1959115695208311,0.9564287960529329,0.5761701827868819
675.jpeg,0.96674913,11797732.971612504,1146138.863438466,0.9570060223340988,0.9570060223340988,0.9570060223340988
881.jpeg,0.9666245,11798995.9137034,2301399.7333768443,0.9616783410310744,0.9616783410310744,0.9616783410310744
270.jpeg,0.9665959,11803707.812415486,2354960.5843371693,0.9634861052036284,0.9634861052036284,0.9634861052036284
589.jpeg,0.9663975,11837375.82809124,1163406.791519413,0.9652298614382744,0.9652298614382744,0.9652298614382744
788.jpeg,0.9661618,11836475.593708776,1156502.8479825535,0.9619165062904358,0.9619165062904358,0.9619165062904358
420.jpeg,0.9660379,11798826.065574847,2300161.4746302366,0.96193166077137,0.96193166077137,0.96193166077137
837.jpeg,0.965975,11839043.965990962,1160127.7856158111,0.960357502102852,0.960357502102852,0.960357502102852
562.jpeg,0.96596456,11793491.17699146,1144416.0807422164,0.9642767161130904,0.9642767161130904,0.9642767161130904
510.jpeg,0.9659327,11758434.49469149,1171212.2056786877,0.9623857513070108,0.9623857513070108,0.9623857513070108
4.jpeg,0.9658549,11696874.796290869,1196438.563920652,0.1160920700058341,0.9609776064753532,0.5385348382405937
573.jpeg,0.9657909,11835509.120218666,1113656.1412147884,0.9551592916250228,0.9551592916250228,0.9551592916250228
380.jpeg,0.96577203,11789244.80842974,2322253.6150411163,0.5413162596523762,0.5413162596523762,0.5413162596523762
920.jpeg,0.9657362,11734991.184206776,1163227.6999844704,0.9645940139889716,0.9645940139889716,0.9645940139889716
685.jpeg,0.96573514,11801654.581036674,1150791.9270680237,0.6620303522795439,0.9538828879594804,0.8079566201195121
468.jpeg,0.9656794,11701508.046591766,1199466.891047335,0.965515986084938,0.965515986084938,0.965515986084938
282.jpeg,0.9656624,11806200.582493115,2352596.47783368,0.1959115695208311,0.9577023163437844,0.5768069429323077
674.jpeg,0.96541804,11797717.141979704,1146161.6008979094,0.9570060223340988,0.9570060223340988,0.9570060223340988
320.jpeg,0.9653197,11791311.295900537,2349261.016467601,0.9580173417925836,0.9580173417925836,0.9580173417925836
202.jpeg,0.96521705,11823818.85624222,2425367.8477091845,0.9571047499775888,0.9571047499775888,0.9571047499775888
340.jpeg,0.9651788,11797499.864858704,2342862.3527054708,0.9711577221751212,0.9711577221751212,0.9711577221751212
505.jpeg,0.96516335,11755455.818566468,1174018.7117284634,0.9737698212265968,0.9737698212265968,0.9737698212265968
292.jpeg,0.9650889,11806078.828499082,2350150.2176369363,0.9521403163671494,0.9521403163671494,0.9521403163671494
475.jpeg,0.96471334,11704809.988327015,1195884.3613485538,0.4433808419853449,0.8898369073867798,0.6666088746860623
555.jpeg,0.96465886,11801052.45414314,1147535.9198247846,0.9673225581645966,0.9673225581645966,0.9673225581645966
114.jpeg,0.9646286,11794032.72433261,2304977.486922276,0.9639464542269708,0.9639464542269708,0.9639464542269708
657.jpeg,0.9646165,11794376.941216275,1143028.232235739,0.9635969921946526,0.9635969921946526,0.9635969921946526
915.jpeg,0.96442074,11773638.970258836,1152539.2573876723,0.9595625400543212,0.9595625400543212,0.9595625400543212
357.jpeg,0.9642807,11798422.565919513,2336354.167537955,0.944264605641365,0.9626230001449584,0.9534438028931618
845.jpeg,0.9641895,11872625.836900204,1159979.654204565,0.965876005589962,0.965876005589962,0.965876005589962
977.jpeg,0.9641247,11812948.377253948,1267084.4469044742,0.1278546042740345,0.1278546042740345,0.1278546042740345
635.jpeg,0.9640456,11790861.33558784,2336685.773076389,0.0922610182315111,0.8863954544067383,0.4893282363191247
7.jpeg,0.9637831,11700882.10006416,1200815.30157756,0.2649714853614568,0.9697881042957306,0.6173797948285937
958.jpeg,0.9637034,11699629.164797192,1203097.2938053757,0.9251872822642326,0.9251872822642326,0.9251872822642326
396.jpeg,0.9636001,11789940.93670129,2333190.2562503107,0.940502531826496,0.940502531826496,0.940502531826496
903.jpeg,0.9635461,11773633.264037294,1152534.4151164617,0.9595625400543212,0.9595625400543212,0.9595625400543212
580.jpeg,0.96345943,11841606.36825142,1158738.6615177344,0.7004783786833286,0.7004783786833286,0.7004783786833286
86.jpeg,0.9634283,11815298.230947364,1165310.7602779388,0.972656451165676,0.972656451165676,0.972656451165676
6.jpeg,0.9631248,11700963.035892168,1200696.7468921472,0.9697881042957306,0.9697881042957306,0.9697881042957306
291.jpeg,0.96305436,11806114.630186828,2350005.3539584544,0.9521403163671494,0.9521403163671494,0.9521403163671494
191.jpeg,0.96301156,11818079.125519833,2424415.6950360327,0.9620711728930472,0.965774454176426,0.9639228135347366
419.jpeg,0.9627651,11796710.510366865,2301470.2650203137,0.9569615572690964,0.9569615572690964,0.9569615572690964
941.jpeg,0.9626952,11757971.528805029,1172136.366117595,0.0,0.0,0.0
408.jpeg,0.96259797,11794681.092101444,2307410.8153657443,0.966194823384285,0.966194823384285,0.966194823384285
49.jpeg,0.96259785,11798738.627347006,1145908.6216763095,0.9403286725282668,0.9587471783161164,0.9495379254221916
328.jpeg,0.9624421,11790593.104374137,2347357.468983118,0.9624889120459555,0.9624889120459555,0.9624889120459555
874.jpeg,0.9624311,11796726.759532228,2301486.681074097,0.9569615572690964,0.9569615572690964,0.9569615572690964
341.jpeg,0.96237475,11797413.772877373,2342867.748236021,0.2294583935290575,0.9711577221751212,0.6003080578520894
310.jpeg,0.9621862,11799316.909260036,2348881.753955795,0.967421032488346,0.967421032488346,0.967421032488346
725.jpeg,0.9621753,11835489.526926547,1118565.15246721,0.2491994947195053,0.9664955288171768,0.6078475117683411
724.jpeg,0.9620184,11838515.46904065,1116455.7736048603,0.1931459801271557,0.8381989076733589,0.5156724439002573
639.jpeg,0.9618801,11791188.982053485,2335142.0874907034,0.9141020998358728,0.9141020998358728,0.9141020998358728
300.jpeg,0.96187556,11808463.274764968,2348159.383007037,0.1065383357927203,0.8461888208985329,0.4763635783456266
207.jpeg,0.96184057,11821377.449464392,2424191.4719171063,0.3513483759015798,0.3513483759015798,0.3513483759015798
8.jpeg,0.96169335,11705008.533707503,1197721.1866906,0.8850754201412201,0.8850754201412201,0.8850754201412201
705.jpeg,0.96138,11841391.510361595,1147751.8951873502,0.9589509814977646,0.9589509814977646,0.9589509814977646
773.jpeg,0.9612058,11817340.578763504,1165847.3693298255,0.9592893794178964,0.9592893794178964,0.9592893794178964
517.jpeg,0.960972,11759000.83408005,1167173.5728699474,0.9680049568414688,0.9680049568414688,0.9680049568414688
219.jpeg,0.9609133,11814097.357827242,2380542.499547725,0.5373522099107504,0.960956946015358,0.7491545779630542
897.jpeg,0.96086764,11791298.999900224,2290375.948458544,0.9670696705579758,0.9670696705579758,0.9670696705579758
64.jpeg,0.9608212,11839501.613520743,1160390.8471127737,0.9576805010437964,0.9576805010437964,0.9576805010437964
271.jpeg,0.96079654,11806450.210138736,2356328.334385381,0.965070478618145,0.965070478618145,0.965070478618145
50.jpeg,0.960725,11835486.004787514,1118568.303342715,0.2491994947195053,0.9664955288171768,0.6078475117683411
547.jpeg,0.96070886,11797667.277061224,1151166.8038889137,0.4037763439118862,0.9621535241603852,0.6829649340361357
500.jpeg,0.96056914,11753367.826868942,1173556.270004294,0.9677545130252838,0.9677545130252838,0.9677545130252838
296.jpeg,0.96054727,11806506.924819527,2348800.6781716,0.7585735954344273,0.958013229072094,0.8582934122532606
997.jpeg,0.9605118,11796724.978498287,2438520.4565943,0.9636694937944412,0.9636694937944412,0.9636694937944412
301.jpeg,0.96048707,11808618.376726229,2348266.7622102564,0.9705292508006096,0.9705292508006096,0.9705292508006096
206.jpeg,0.9604762,11821310.84703607,2424174.4616176663,0.2367996722459793,0.2367996722459793,0.2367996722459793
901.jpeg,0.9604421,11771482.275236338,1154039.1657925174,0.955726593732834,0.955726593732834,0.955726593732834
692.jpeg,0.9603181,11841248.193213755,1144865.6260791314,0.9632272273302078,0.9632272273302078,0.9632272273302078
684.jpeg,0.9601444,11801417.20860134,1140746.3202638028,0.961306557059288,0.961306557059288,0.961306557059288
413.jpeg,0.96012825,11792407.557784664,2307626.195805188,0.9413778856396676,0.9669632613658904,0.954170573502779
215.jpeg,0.96007794,11813324.469730036,2384480.860799475,0.9623196497559549,0.9623196497559549,0.9623196497559549
125.jpeg,0.9600756,11798504.01659474,2433516.755902936,0.8476862981915474,0.9634578749537468,0.9055720865726471
853.jpeg,0.9600665,11875313.125212535,1160261.0473984145,0.962018109858036,0.962018109858036,0.962018109858036
3.jpeg,0.9598263,11697887.676503051,1195333.2098595817,0.1021400885656476,0.9580943733453752,0.5301172309555113
428.jpeg,0.95979846,11792671.213613804,2301936.9126236085,0.9631800279021264,0.9631800279021264,0.9631800279021264
716.jpeg,0.95969546,11839819.963937834,1148194.9458812752,0.7689100801944733,0.7689100801944733,0.7689100801944733
567.jpeg,0.9594771,11801360.495342154,1137130.9271606691,0.8755194768309593,0.8755194768309593,0.8755194768309593
101.jpeg,0.95947057,11837509.1763928,2326578.97036396,0.9566321969032288,0.9566321969032288,0.9566321969032288
710.jpeg,0.95932037,11843807.290833429,1142839.3772094776,0.9074989408254625,0.9685927927494048,0.9380458667874336
374.jpeg,0.9592394,11792414.640271207,2321668.56255256,0.9589061439037324,0.9589061439037324,0.9589061439037324
65.jpeg,0.95913655,11833933.378486143,1161376.548852565,0.9565597847104071,0.9565597847104071,0.9565597847104071
643.jpeg,0.95896417,11792949.999194622,2335702.1874675658,0.7009879276156425,0.9579629078507425,0.8294754177331924
891.jpeg,0.95894784,11788452.293311251,2291356.616249951,0.9719258844852448,0.9719258844852448,0.9719258844852448
513.jpeg,0.95885366,11757065.421467235,1170060.3058717195,0.9663848280906676,0.9663848280906676,0.9663848280906676
568.jpeg,0.9585862,11800146.936115468,1139633.1361674697,0.8691414073109627,0.9678303971886636,0.9184859022498131
43.jpeg,0.95853966,11795134.195770437,1145422.325379897,0.2029164554551243,0.9569744989275932,0.5799454771913588
427.jpeg,0.9583789,11792676.329060351,2301920.418170971,0.9631800279021264,0.9631800279021264,0.9631800279021264
394.jpeg,0.9583674,11791267.085373228,2329121.8068378177,0.9575475975871086,0.9575475975871086,0.9575475975871086
303.jpeg,0.9583414,11809647.823610565,2348990.074669364,0.9663145989179612,0.9663145989179612,0.9663145989179612
367.jpeg,0.9582099,11796051.022526365,2330537.1655195025,0.9510992988944054,0.9510992988944054,0.9510992988944054
610.jpeg,0.9581615,11808846.00232681,1275331.7797595845,0.9593499228358268,0.9593499228358268,0.9593499228358268
588.jpeg,0.9581139,11837376.48461512,1163401.3179103923,0.9652298614382744,0.9652298614382744,0.9652298614382744
706.jpeg,0.95809245,11841399.29639692,1147881.3173085875,0.9589509814977646,0.9589509814977646,0.9589509814977646
612.jpeg,0.9579343,11814917.846214237,1279007.0797923263,0.9083364903926848,0.95701814442873,0.9326773174107075
12.jpeg,0.957707,11738471.092181824,1160996.2619605132,0.9315204545855522,0.9315204545855522,0.9315204545855522
618.jpeg,0.9576846,11795292.915343136,2349954.3527122005,0.9664631560444832,0.9664631560444832,0.9664631560444832
609.jpeg,0.9574215,11810073.453096714,1271826.9687996043,0.1284548845142126,0.9745885133743286,0.5515216989442706
1000.jpeg,0.9569063,11821192.532177458,2425365.3526823176,0.6496196128427982,0.6496196128427982,0.6496196128427982
94.jpeg,0.95671934,11812389.986003527,1266620.961360606,0.1759392442181706,0.9364549219608308,0.5561970830895007
736.jpeg,0.9566875,11837570.978988146,1114788.5953842823,0.9669316485524178,0.9669316485524178,0.9669316485524178
127.jpeg,0.9564029,11797143.52545064,2434905.369955688,0.4616226376965642,0.4616226376965642,0.4616226376965642
787.jpeg,0.95623285,11834991.982556112,1156469.193535247,0.9344960302114488,0.9344960302114488,0.9344960302114488
999.jpeg,0.9562323,11821929.67260825,2425960.213197856,0.9525372982025146,0.9525372982025146,0.9525372982025146
960.jpeg,0.9561708,11702042.837699505,1193034.8179803672,0.9706507548689842,0.9706507548689842,0.9706507548689842
539.jpeg,0.9560642,11785991.699219428,1123227.180191688,0.9649363309144974,0.9649363309144974,0.9649363309144974
648.jpeg,0.9559932,11788446.661756268,1137969.059360639,0.9606885388493538,0.9606885388493538,0.9606885388493538
400.jpeg,0.95599264,11794304.302647324,2329066.395945734,0.1188633274286985,0.1188633274286985,0.1188633274286985
756.jpeg,0.95597196,11837818.02553661,1110724.4930669966,0.4230913501232862,0.9704609289765358,0.696776139549911
405.jpeg,0.9556519,11794029.68231021,2308353.033758136,0.9640171080827712,0.9640171080827712,0.9640171080827712
448.jpeg,0.95537084,11836245.71197068,2327464.33756,0.9439441040158272,0.9439441040158272,0.9439441040158272
59.jpeg,0.9551807,11841028.848966118,1158973.4261646003,0.8541557416319847,0.8541557416319847,0.8541557416319847
536.jpeg,0.9549645,11786307.67405,1119088.0952881563,0.8529875352978706,0.9615159928798676,0.9072517640888691
877.jpeg,0.9549369,11798615.49506755,2302746.931022904,0.963274210691452,0.963274210691452,0.963274210691452
458.jpeg,0.95474356,11841950.540905502,2328946.675185483,0.1004121340811252,0.9656249061226844,0.5330185201019048
465.jpeg,0.9547087,11701666.263048971,1199688.9413004124,0.1010147482156753,0.1010147482156753,0.1010147482156753
954.jpeg,0.9545727,11695593.681965418,1196171.8281861255,0.9334545955061913,0.9334545955061913,0.9334545955061913
662.jpeg,0.95451653,11795449.608182617,1147325.2460252442,0.9571542516350746,0.963847890496254,0.9605010710656643
116.jpeg,0.95436937,11797111.02670338,2303280.948654319,0.1342150401324033,0.1342150401324033,0.1342150401324033
481.jpeg,0.9543534,11737270.191482536,1162961.745954658,0.9631256386637688,0.9631256386637688,0.9631256386637688
523.jpeg,0.9543533,11769791.722721806,1155248.8197331598,0.9623998552560806,0.9623998552560806,0.9623998552560806
265.jpeg,0.95433265,11798083.150266197,2380122.698857658,0.9614550024271012,0.9614550024271012,0.9614550024271012
225.jpeg,0.954263,11811285.34211468,2381848.541601303,0.9647494554519652,0.9647494554519652,0.9647494554519652
814.jpeg,0.9542583,11839380.224508004,1160298.638135728,0.9576805010437964,0.9576805010437964,0.9576805010437964
862.jpeg,0.9539948,11796767.6978632,2302753.8781401203,0.9518142938613892,0.9524112939834596,0.9521127939224243
