,image,pred,lon,lat
0,Phu Ly City-3939.jpeg,0.9801882952451706,105.9631762706792E,20.580143746085835N
1,Long Hồ District-3775.jpeg,0.9799219369888306,105.93590207338352E,10.191719373635499N
2,Tam Điệp-1262.jpeg,0.9795179665088654,105.85219925024494E,20.13721254163463N
3,Tam Điệp-584.jpeg,0.9790842607617378,105.9110512004899E,20.123737874005545N
4,Tam Điệp-314.jpeg,0.9788402318954468,105.90961578706928E,20.11834800695391N
5,Cao Lanh City-3749.jpeg,0.9786076098680496,105.63587015842995E,10.478307941342258N
6,Tam Điệp-960.jpeg,0.978207990527153,105.92971157495782E,20.130475207820087N
7,Mỹ Hào District-1165.jpeg,0.9781784936785698,106.08920254855506E,20.91771640921813N
8,Tam Điệp-1630.jpeg,0.97804157435894,105.8464575965625E,20.14394987544917N
9,Binh Minh Town-2090.jpeg,0.977936252951622,105.84468912301752E,10.04233107359287N
10,Cao Lanh City-818.jpeg,0.9777480736374856,105.63312968269553E,10.423061804064481N
11,Trà Vinh City-2527.jpeg,0.977547951042652,106.36186274507514E,9.979608109399651N
14,Binh Minh Town-3355.jpeg,0.977293625473976,105.828267715345E,10.071975342376048N
16,Duy Tiên District-2873.jpeg,0.9765805602073668,105.98208940253609E,20.63756324495413N
17,Mỹ Tho-3194.jpeg,0.9765517264604568,106.36836374305156E,10.385304074265717N
18,Go Cong Town-3132.jpeg,0.976345770061016,106.61146178884346E,10.422338742476105N
19,Bến Tre City-3242.jpeg,0.9762463197112085,106.33926163933714E,10.269101875094902N
20,Binh Minh Town-1202.jpeg,0.9761864095926284,105.83647841918126E,10.023466538912665N
21,Long Hồ District-1273.jpeg,0.9761561378836632,105.95096377145056E,10.16072763808944N
22,Trà Vinh City-2228.jpeg,0.9757986888289452,106.33997394682622E,9.972870775585298N
23,Phu Ly City-2927.jpeg,0.975703962147236,105.89554423364714E,20.558584277879262N
24,Long Xuyen City-3817.jpeg,0.975564271211624,105.44269687971922E,10.392000409229915N
25,Mỹ Tho-2670.jpeg,0.9755276590585708,106.37658258810765E,10.37587180692561N
26,Cai Lậy Town-2250.jpeg,0.975488856434822,106.12928100898819E,10.403283106645986N
27,Sa Đéc City-2662.jpeg,0.9753434807062148,105.72442680314552E,10.362388810083837N
28,Cai Lậy Town-2384.jpeg,0.9753286391496658,106.11283998753794E,10.405978040171728N
29,Hiệp Hòa District-6255.jpeg,0.9751801490783693,106.00642544439235E,21.342986148052496N
30,Long Hồ District-7652.jpeg,0.9751636311411858,105.99888735620941E,10.280652179985056N
31,Hiệp Hòa District-9660.jpeg,0.975137695670128,105.98038746279394E,21.411706952961175N
32,Hoa Lư District-1365.jpeg,0.9750976413488388,105.95070772529417E,20.21820377575993N
33,Hoa Lư District-393.jpeg,0.9748455435037612,105.95645267629762E,20.19664430755339N
34,Long Hồ District-5754.jpeg,0.9746716171503068,105.98382565814235E,10.229448442995913N
35,Tây Ninh City-2081.jpeg,0.9745885133743286,106.09351621035809E,11.348822507204586N
36,Vĩnh Long-585.jpeg,0.9741078168153764,105.95828257437594E,10.2409126042999N
37,Hoa Lư District-4097.jpeg,0.9739985838532448,105.95358020079591E,20.29366191448283N
38,Ninh Bình-581.jpeg,0.973956733942032,106.0003043934227E,20.229400274613628N
39,Châu Thành District-6159.jpeg,0.9738353416323662,106.29916240125785E,10.294735940139942N
40,Ninh Bình-2414.jpeg,0.9737787693738936,105.9557824405579E,20.28868881218162N
41,Cao Lanh City-4196.jpeg,0.9737698212265968,105.60161421175015E,10.487740208682368N
42,Cao Lanh City-3201.jpeg,0.9737514033913612,105.62353801762521E,10.466180740476403N
43,Vĩnh Long-1368.jpeg,0.9737472608685492,105.94869725199236E,10.254387271928618N
44,Mỹ Hào District-1321.jpeg,0.97368835657835,106.13536618739911E,20.92041134274396N
45,Cao Lanh City-4113.jpeg,0.9736839979887008,105.57969040587507E,10.486392741919497N
46,Trà Vinh City-1018.jpeg,0.9736828058958054,106.32492539803008E,9.92840437241054N
47,Cao Lanh City-1120.jpeg,0.9736443758010864,105.58243088160947E,10.428451671115972N
48,Binh Minh Town-3421.jpeg,0.973613366484642,105.85153137621441E,10.073322809138919N
49,Chau Doc City-1539.jpeg,0.9735804423689842,105.05077142063746E,10.6594034064318N
50,Mỹ Tho-13.jpeg,0.9734715968370438,106.31494125018696E,10.320625669647844N
51,Long Hồ District-1397.jpeg,0.9732386544346808,105.97697943174823E,10.162075104852311N
52,Long Hồ District-4774.jpeg,0.9732323214411736,105.99751811093057E,10.209236441552832N
53,Trà Vinh City-819.jpeg,0.9731037095189096,106.32902954770172E,9.920319571833314N
54,Cai Lậy Town-4438.jpeg,0.97298052161932,106.11283998753794E,10.445054576295032N
55,Cao Lanh City-2713.jpeg,0.97296654433012,105.62079754189082E,10.455401006373423N
56,Cao Lanh City-2835.jpeg,0.9728886857628822,105.61531659042207E,10.458095939899168N
57,Long Xuyen City-4860.jpeg,0.9728839918971062,105.4468064237052E,10.417602277724498N
58,Phu Ly City-2876.jpeg,0.9728582799434662,105.92864076240751E,20.557236811116354N
59,Ninh Bình-291.jpeg,0.9727980047464372,105.9859424731437E,20.21862054051035N
61,Cai Lậy Town-2614.jpeg,0.972656451165676,106.13887160483415E,10.410020440460348N
62,Go Cong Town-3152.jpeg,0.972466580569744,106.63886207768692E,10.422338742476105N
63,Hiệp Hòa District-5523.jpeg,0.972435124218464,106.0208909897248E,21.333553880712092N
64,Bac Giang City-1871.jpeg,0.9724257290363312,106.2545682256048E,21.27935227724534N
65,Mỹ Tho-2868.jpeg,0.9723331853747368,106.33959778535524E,10.379914207214231N
66,Bến Tre City-837.jpeg,0.972291424870491,106.36664693850851E,10.220593071631507N
67,Hung Yen City-2969.jpeg,0.972205489873886,106.0604834239998E,20.692028412308737N
68,Long Hồ District-3135.jpeg,0.9721764177083968,105.91125565836468E,10.183634573058265N
69,Long Xuyen City-995.jpeg,0.9721588492393494,105.47694307960226E,10.33136440490066N
70,Hung Yen City-1138.jpeg,0.972143143415451,106.09360514840996E,20.635434808266467N
71,Châu Thành District-10168.jpeg,0.9721315279603004,106.36489806494536E,10.325727675686002N
72,Cai Lậy Town-4211.jpeg,0.972113236784935,106.12654083874648E,10.441012176006414N
73,Tam Điệp-3396.jpeg,0.9720901995897292,105.94406570916391E,20.16820427718152N
74,Duy Tiên District-8.jpeg,0.9720098674297332,105.97776998812962E,20.559410172705306N
75,Tam Điệp-2416.jpeg,0.9719258844852448,105.8966970662838E,20.156077076315338N
76,Phu Ly City-367.jpeg,0.971904382109642,105.8984221926698E,20.51411787470322N
77,Long Xuyen City-2355.jpeg,0.9718369618058204,105.43447779174731E,10.362356140446725N
78,Long Xuyen City-3494.jpeg,0.9715901389718056,105.42625870377537E,10.385263075415558N
79,Hiệp Hòa District-33.jpeg,0.9715118780732156,105.97460124466096E,21.22710400644183N
80,Mỹ Hào District-3204.jpeg,0.9715110585093498,106.0574650468498E,20.954098011816768N
81,Yên Mỹ District-3202.jpeg,0.9714310243725776,106.03926103267437E,20.907088744464478N
