,image,pred,lon,lat
0,Cà Mau-2897.jpeg,0.9816279709339142,105.16880820749536E,9.137187039810435N
1,Cà Mau-3346.jpeg,0.9766101762652396,105.20702620390799E,9.142576906861914N
2,Cà Mau-5855.jpeg,0.9762578010559082,105.25343377098048E,9.169526242119304N
3,Hoài Đức District-21.jpeg,0.9756387919187546,105.72698602882127E,20.959314306356756N
4,Cà Mau-3704.jpeg,0.9734622314572334,105.2397844865474E,9.146619307150521N
6,Cà Mau-9556.jpeg,0.9731120243668556,105.18382242037175E,9.216687578819744N
7,Cà Mau-6878.jpeg,0.972451962530613,105.25343377098048E,9.180305976222263N
8,Cà Mau-3328.jpeg,0.9721906185150146,105.18245749192842E,9.142576906861914N
9,Bà Rịa-904.jpeg,0.9717278853058816,107.15390157197854E,10.483556671706653N
10,Cà Mau-2439.jpeg,0.9711915031075478,105.18245749192842E,9.130449705996087N
11,Cà Mau-2731.jpeg,0.971053533256054,105.2056612754647E,9.134492106284695N
12,Cà Mau-8647.jpeg,0.9710333794355392,105.15242906617566E,9.203212911191047N
13,Bà Rịa-3041.jpeg,0.9709174782037736,107.16760609597144E,10.522633207829966N
14,Sóc Trăng-1523.jpeg,0.9708025678992273,105.9640700752922E,9.60253063908024N
15,Sóc Trăng-313.jpeg,0.9699736833572388,105.98046981773476E,9.57558130382283N
16,Cà Mau-3115.jpeg,0.9699327051639556,105.18518734881506E,9.139881973336175N
17,Cà Mau-4271.jpeg,0.9699009135365486,105.22067548834109E,9.15335664096487N
18,Cà Mau-7911.jpeg,0.9698247388005256,105.12376556886618E,9.193780643850957N
19,Cà Mau-2901.jpeg,0.9696426168084143,105.1742679212686E,9.137187039810435N
20,Bà Rịa-2198.jpeg,0.9694912880659105,107.12512207159355E,10.50915854020124N
21,Cà Mau-4038.jpeg,0.9693370312452316,105.22477027367101E,9.15066170743913N
22,Sóc Trăng-982.jpeg,0.969229206442833,105.95997013968159E,9.590403438214405N
23,Cà Mau-7779.jpeg,0.9691113829612732,105.2356897012175E,9.191085710325217N
25,Sóc Trăng-1994.jpeg,0.9690017998218536,105.98183646293832E,9.611962906420333N
26,Cà Mau-2924.jpeg,0.9689197540283204,105.2056612754647E,9.137187039810435N
27,Cà Mau-3571.jpeg,0.968918278813362,105.21248591768125E,9.145271840387652N
28,Cà Mau-1598.jpeg,0.9688644632697104,105.15106413773236E,9.116975038367388N
29,Sóc Trăng-3467.jpeg,0.9686812683939934,106.02283581904472E,9.644302108729232N
30,Cà Mau-3937.jpeg,0.9685325771570206,105.24524420032064E,9.14931424067626N
31,Cà Mau-8919.jpeg,0.9684914350509644,105.14560442395911E,9.207255311479656N
33,Cà Mau-3581.jpeg,0.9682591184973716,105.22613520211434E,9.145271840387652N
34,Cà Mau-3926.jpeg,0.9682395905256272,105.23022998744423E,9.14931424067626N
35,Cà Mau-6231.jpeg,0.9679938852787018,105.22886505900094E,9.173568642407915N
36,Cà Mau-8234.jpeg,0.9679198563098907,105.14014471018588E,9.197823044139565N
37,Hoài Đức District-1030.jpeg,0.9679153487086296,105.67357452763576E,20.995695908955405N
38,Cà Mau-8963.jpeg,0.9678761884570122,105.2056612754647E,9.207255311479656N
39,Cà Mau-6683.jpeg,0.9678391069173812,105.15652385150557E,9.178958509459392N
40,Sóc Trăng-1347.jpeg,0.9677510783076286,105.98046981773476E,9.598488238791628N
41,Cà Mau-3252.jpeg,0.9677434414625168,105.22613520211434E,9.141229440099043N
42,Cà Mau-5320.jpeg,0.967718817293644,105.25752855631042E,9.164136375067825N
43,Cà Mau-2454.jpeg,0.9676460102200508,105.20293141857805E,9.130449705996087N
44,Sóc Trăng-2738.jpeg,0.9675271138548852,105.98593639854894E,9.62678504081191N
45,Cà Mau-5325.jpeg,0.9675246924161912,105.26435319852698E,9.164136375067825N
46,Cà Mau-3820.jpeg,0.9674455150961876,105.24251434343404E,9.14796677391339N
47,Cà Mau-2895.jpeg,0.96740984916687,105.16607835060873E,9.137187039810435N
48,Cà Mau-11192.jpeg,0.9673625975847244,105.15242906617566E,9.244984380840009N
49,Cà Mau-1795.jpeg,0.9673103094100952,105.21248591768125E,9.119669971893128N
50,Cà Mau-7512.jpeg,0.967102825641632,105.17290299282529E,9.188390776799478N
51,Cà Mau-6174.jpeg,0.9670560210943222,105.15106413773236E,9.173568642407915N
53,Cà Mau-1147.jpeg,0.9668638110160828,105.21521577456787E,9.107542771027305N
55,Cà Mau-8126.jpeg,0.9668215662240982,105.13332006796934E,9.196475577376699N
56,Sóc Trăng-32.jpeg,0.966580145061016,105.96270343008865E,9.563454102956996N
57,Cà Mau-7717.jpeg,0.9665464162826538,105.15106413773236E,9.191085710325217N
58,Cà Mau-5235.jpeg,0.9665324836969376,105.1415096386292E,9.164136375067825N
59,Cà Mau-4809.jpeg,0.9664952531456948,105.10602149910315E,9.160093974779219N
60,Bà Rịa-1285.jpeg,0.9664816185832024,107.18953333435996E,10.491641472283892N
62,Lê Chân District-561.jpeg,0.9664025604724884,106.6792174376834E,20.8500525418593N
63,Cà Mau-8349.jpeg,0.9661872535943984,105.15652385150557E,9.199170510902437N
64,Cà Mau-5769.jpeg,0.9661541059613228,105.13604992485595E,9.169526242119304N
65,Hoài Đức District-2981.jpeg,0.966119758784771,105.65769543268874E,21.04689964594611N
67,Hoài Đức District-1850.jpeg,0.9660159423947334,105.6952278389272E,21.018602843924928N
68,Cà Mau-5870.jpeg,0.9659294709563256,105.27390769763011E,9.169526242119304N
69,Hoài Đức District-1435.jpeg,0.9658634960651398,105.67213097354968E,21.006475643058707N
70,Hoài Đức District-1052.jpeg,0.9658368974924088,105.70533271752987E,20.995695908955405N
