image,pred,lon,lat
978.jpeg,0.98165005,11813511.32974132,1270237.3009131537
122.jpeg,0.9807227,11800393.680832757,2301169.5093886307
373.jpeg,0.9761263,11792632.434532398,2322513.015459868
322.jpeg,0.97573996,11790296.62486418,2350059.1612061705
687.jpeg,0.9749448,11778341.215496125,1126286.6294048545
226.jpeg,0.9735197,11812064.185145328,2382205.06104136
872.jpeg,0.973034,11794080.86221968,2304784.661425381
878.jpeg,0.97301143,11799256.61840824,2298813.268039896
306.jpeg,0.9725371,11801536.17841019,2354517.589465253
564.jpeg,0.97226983,11792618.06172475,1143993.9035878708
269.jpeg,0.9722402,11803118.132247638,2356344.1138916137
841.jpeg,0.97218174,11869724.22561244,1167927.288265108
238.jpeg,0.97197515,11804910.586791158,2382956.773747098
423.jpeg,0.9717562,11796648.49833907,2296795.5707993694
445.jpeg,0.9717148,11836142.885210805,2323012.362613537
110.jpeg,0.9716483,11788822.61622789,2336805.988103454
82.jpeg,0.97131324,11813564.09633606,1165619.715980143
368.jpeg,0.9712903,11796439.950141463,2327299.055664581
239.jpeg,0.97101235,11804896.019800398,2382957.620933094
80.jpeg,0.9709524,11814038.758826012,1161832.6314797946
466.jpeg,0.9709435,11701350.74113416,1199779.5512820035
118.jpeg,0.9708858,11792291.292100323,2289476.888544067
751.jpeg,0.97079897,11838143.10602467,1108056.6529708127
800.jpeg,0.97033036,11833812.962152015,1161154.1968394967
220.jpeg,0.9702296,11814030.968457526,2380504.825634585
525.jpeg,0.97016114,11771292.609123016,1153178.0490602124
478.jpeg,0.97009385,11694344.990291148,1193505.1140008476
446.jpeg,0.9700485,11836175.055093732,2322937.556489507
804.jpeg,0.9700458,11836166.430762373,1160150.4032079896
259.jpeg,0.9698323,11806611.336772382,2376865.140112905
432.jpeg,0.9697786,11836074.650446463,2324497.693625991
96.jpeg,0.9689441,11814195.27499896,1268298.5357633992
228.jpeg,0.96859175,11809306.013601098,2383175.664235263
857.jpeg,0.9684843,11873820.27384781,1158487.7754624228
782.jpeg,0.9681359,11823215.594143745,1155653.2696726755
854.jpeg,0.96801364,11876921.432508595,1159631.5365201414
911.jpeg,0.9678159,11773933.787171546,1150931.2034671202
883.jpeg,0.9677173,11796819.525800226,2299541.319208895
97.jpeg,0.9677049,11812807.619129203,1270935.089921734
75.jpeg,0.9676962,11827058.41227216,1159519.2379296192
795.jpeg,0.9676738,11827014.252849603,1163040.4921812564
776.jpeg,0.96764594,11820904.46903043,1168703.9197102897
544.jpeg,0.96761996,11794093.315900616,1145246.778725296
850.jpeg,0.96742153,11875121.509546977,1160071.9606400805
244.jpeg,0.9673369,11803919.775894608,2378376.555311827
767.jpeg,0.96732426,11813888.96764953,1164878.8344618783
229.jpeg,0.9672291,11809544.062624808,2382487.000395591
13.jpeg,0.9671494,11739672.086755058,1158744.4181063178
362.jpeg,0.96703166,11797799.998905774,2333612.1778733386
280.jpeg,0.9669867,11806611.558612242,2352581.5860459344
675.jpeg,0.96674913,11797732.971612504,1146138.863438466
881.jpeg,0.9666245,11798995.9137034,2301399.7333768443
270.jpeg,0.9665959,11803707.812415486,2354960.5843371693
589.jpeg,0.9663975,11837375.82809124,1163406.791519413
788.jpeg,0.9661618,11836475.593708776,1156502.8479825535
420.jpeg,0.9660379,11798826.065574847,2300161.4746302366
837.jpeg,0.965975,11839043.965990962,1160127.7856158111
562.jpeg,0.96596456,11793491.17699146,1144416.0807422164
510.jpeg,0.9659327,11758434.49469149,1171212.2056786877
4.jpeg,0.9658549,11696874.796290869,1196438.563920652
573.jpeg,0.9657909,11835509.120218666,1113656.1412147884
380.jpeg,0.96577203,11789244.80842974,2322253.6150411163
920.jpeg,0.9657362,11734991.184206776,1163227.6999844704
685.jpeg,0.96573514,11801654.581036674,1150791.9270680237
468.jpeg,0.9656794,11701508.046591766,1199466.891047335
282.jpeg,0.9656624,11806200.582493115,2352596.47783368
674.jpeg,0.96541804,11797717.141979704,1146161.6008979094
320.jpeg,0.9653197,11791311.295900537,2349261.016467601
202.jpeg,0.96521705,11823818.85624222,2425367.8477091845
340.jpeg,0.9651788,11797499.864858704,2342862.3527054708
505.jpeg,0.96516335,11755455.818566468,1174018.7117284634
292.jpeg,0.9650889,11806078.828499082,2350150.2176369363
475.jpeg,0.96471334,11704809.988327015,1195884.3613485538
555.jpeg,0.96465886,11801052.45414314,1147535.9198247846
114.jpeg,0.9646286,11794032.72433261,2304977.4869222757
657.jpeg,0.9646165,11794376.941216275,1143028.232235739
915.jpeg,0.96442074,11773638.970258836,1152539.2573876723
357.jpeg,0.9642807,11798422.565919513,2336354.167537955
845.jpeg,0.9641895,11872625.836900204,1159979.654204565
977.jpeg,0.9641247,11812948.377253948,1267084.4469044742
635.jpeg,0.9640456,11790861.33558784,2336685.773076389
7.jpeg,0.9637831,11700882.10006416,1200815.30157756
89.jpeg,0.9637615,11823254.94597602,1164079.387419664
958.jpeg,0.9637034,11699629.164797192,1203097.2938053757
396.jpeg,0.9636001,11789940.93670129,2333190.2562503107
903.jpeg,0.9635461,11773633.264037294,1152534.4151164617
580.jpeg,0.96345943,11841606.36825142,1158738.6615177344
86.jpeg,0.9634283,11815298.230947364,1165310.7602779388
6.jpeg,0.9631248,11700963.035892168,1200696.7468921472
291.jpeg,0.96305436,11806114.630186828,2350005.3539584544
