image,pred,lon,lat,min_probs,max_probs,mean_probs
978.jpeg,0.98165005,11813511.32974132,1270237.3009131537,0.8634261414408684,0.9515506401658058,0.9040355142205954
122.jpeg,0.9807227,11800393.680832757,2301169.5093886307,0.2688220562413335,0.9541360437870026,0.5688014989718795
373.jpeg,0.9761263,11792632.434532398,2322513.015459868,0.0716314590536058,0.9552911520004272,0.5568252735538408
322.jpeg,0.97573996,11790296.62486418,2350059.1612061705,0.040480509866029,0.9548566937446594,0.6902024197624996
687.jpeg,0.9749448,11778341.215496125,1126286.6294048545,0.0241952189244329,0.8287240415811539,0.22816001257160676
226.jpeg,0.9735197,11812064.185145328,2382205.06104136,0.0370680186897516,0.9608198031783104,0.4402905432507396
872.jpeg,0.973034,11794080.86221968,2304784.661425381,0.9241167679429054,0.9592436477541924,0.9436028264462948
878.jpeg,0.97301143,11799256.61840824,2298813.268039896,0.0548148076049983,0.9505365192890168,0.5026756634470075
306.jpeg,0.9725371,11801536.17841019,2354517.589465253,0.0348696489818394,0.9420885890722276,0.3719503020402044
564.jpeg,0.97226983,11792618.06172475,1143993.9035878708,0.2658256879076361,0.9502307623624802,0.6368657371494919
269.jpeg,0.9722402,11803118.132247638,2356344.1138916137,0.0452140579000115,0.9553184062242508,0.5605109673924744
841.jpeg,0.97218174,11869724.22561244,1167927.288265108,0.9367065355181694,0.9600093588232994,0.9509962387382984
238.jpeg,0.97197515,11804910.586791158,2382956.773747098,0.4353928621858358,0.9644068628549576,0.7025887977797538
423.jpeg,0.9717562,11796648.49833907,2296795.5707993694,0.0467493666801601,0.9555330350995064,0.6212271773838438
445.jpeg,0.9717148,11836142.885210805,2323012.362613537,0.9539684951305388,0.9722895100712776,0.9626688342541456
110.jpeg,0.9716483,11788822.61622789,2336805.988103454,0.0947694536298513,0.9561995267868042,0.708334497641772
82.jpeg,0.97131324,11813564.09633606,1165619.715980143,0.1637182161211967,0.9678928777575492,0.760459590703249
368.jpeg,0.9712903,11796439.950141463,2327299.055664581,0.9498656094074248,0.9592246189713478,0.9545451141893864
239.jpeg,0.97101235,11804896.019800398,2382957.620933094,0.4353928621858358,0.9644068628549576,0.7025887977797538
80.jpeg,0.9709524,11814038.758826012,1161832.6314797946,0.4489553142338991,0.9501707404851912,0.7485560015775263
466.jpeg,0.9709435,11701350.74113416,1199779.5512820035,0.0512033803388476,0.9751881584525108,0.5246158591471612
118.jpeg,0.9708858,11792291.292100323,2289476.888544067,0.0509928537067025,0.9575708508491516,0.49554027192061767
751.jpeg,0.97079897,11838143.10602467,1108056.6529708127,0.9701831787824632,0.9739461168646812,0.9720646478235722
800.jpeg,0.97033036,11833812.962152015,1161154.1968394967,0.0827421694993972,0.9266916438937188,0.504716906696558
220.jpeg,0.9702296,11814030.968457526,2380504.825634585,0.8891395777463913,0.9640592634677888,0.9319510981440544
525.jpeg,0.97016114,11771292.609123016,1153178.0490602124,0.4535756167024374,0.9666868671774864,0.8358199722133577
478.jpeg,0.97009385,11694344.990291148,1193505.1140008476,0.9647533521056176,0.9708767235279084,0.967815037816763
446.jpeg,0.9700485,11836175.055093732,2322937.556489507,0.9539684951305388,0.9722895100712776,0.9626688342541456
804.jpeg,0.9700458,11836166.430762373,1160150.4032079896,0.0658712415024638,0.9588292986154556,0.5190819281851873
259.jpeg,0.9698323,11806611.336772382,2376865.140112905,0.0382566025946289,0.9543208852410316,0.4967306671314873
432.jpeg,0.9697786,11836074.650446463,2324497.693625991,0.9592233076691628,0.962386354804039,0.9608048312366009
96.jpeg,0.9689441,11814195.27499896,1268298.5357633992,0.399177685379982,0.9511852487921716,0.7092769052833319
228.jpeg,0.96859175,11809306.013601098,2383175.664235263,0.0418215235695242,0.959775261580944,0.5007983925752341
857.jpeg,0.9684843,11873820.27384781,1158487.7754624228,0.9527954384684564,0.9701639786362648,0.9595952033996582
782.jpeg,0.9681359,11823215.594143745,1155653.2696726755,,,
854.jpeg,0.96801364,11876921.432508595,1159631.5365201414,0.4124229922890663,0.9640571475028992,0.7834887262433767
911.jpeg,0.9678159,11773933.787171546,1150931.2034671202,0.0456601395271718,0.8840644210577011,0.4021421525394544
883.jpeg,0.9677173,11796819.525800226,2299541.319208895,0.2891505500301718,0.9557256251573564,0.7243727936875075
97.jpeg,0.9677049,11812807.619129203,1270935.089921734,0.915251724421978,0.9751169458031654,0.9480621423572302
75.jpeg,0.9676962,11827058.41227216,1159519.2379296192,,,
795.jpeg,0.9676738,11827014.252849603,1163040.4921812564,,,
776.jpeg,0.96764594,11820904.46903043,1168703.9197102897,0.2261180551722645,0.9675293788313866,0.7013497080188245
544.jpeg,0.96761996,11794093.315900616,1145246.778725296,0.9515851512551308,0.9675403013825415,0.9584746826440096
850.jpeg,0.96742153,11875121.509546977,1160071.9606400805,0.0478859390132129,0.9446744471788406,0.5940218119649217
244.jpeg,0.9673369,11803919.775894608,2378376.555311827,0.0606494257226586,0.9548952877521516,0.5077723567374051
767.jpeg,0.96732426,11813888.96764953,1164878.8344618783,0.2936698906123638,0.955927699804306,0.6478844275698066
229.jpeg,0.9672291,11809544.062624808,2382487.000395591,0.0401230934076011,0.5831728056073189,0.18074708920903498
13.jpeg,0.9671494,11739672.086755058,1158744.4181063178,0.0574340745806694,0.9022756963968276,0.4516812732908875
362.jpeg,0.96703166,11797799.998905774,2333612.1778733386,0.9458114504814148,0.9588202834129332,0.9510677792131901
280.jpeg,0.9669867,11806611.558612242,2352581.5860459344,0.0699933706782758,0.9589121118187904,0.7171956043457612
675.jpeg,0.96674913,11797732.971612504,1146138.863438466,0.3391185579821467,0.955026239156723,0.7777287166099995
881.jpeg,0.9666245,11798995.9137034,2301399.7333768443,0.0462576351128518,0.9580286666750908,0.5026461326051503
270.jpeg,0.9665959,11803707.812415486,2354960.5843371693,0.0899819945916533,0.9643035307526588,0.5271427626721561
589.jpeg,0.9663975,11837375.82809124,1163406.791519413,0.0534585295245051,0.9595324620604516,0.34226965671405196
788.jpeg,0.9661618,11836475.593708776,1156502.8479825535,0.0632033213041722,0.9577093347907066,0.568331929272972
420.jpeg,0.9660379,11798826.065574847,2300161.4746302366,0.2086779330857098,0.9579781219363211,0.7684267872245982
837.jpeg,0.965975,11839043.965990962,1160127.7856158111,0.0654060095548629,0.9578788727521896,0.5116424411535263
562.jpeg,0.96596456,11793491.17699146,1144416.0807422164,0.9331683069467543,0.9650478214025496,0.949108064174652
