image,pred,lon,lat,min_probs,max_probs,mean_probs
978.jpeg,0.98165005,11813511.32974132,1270237.3009131537,0.9767915830016136,0.9767915830016136,0.9767915830016136
122.jpeg,0.9807227,11800393.680832757,2301169.5093886307,0.9541360437870026,0.9541360437870026,0.9541360437870026
373.jpeg,0.9761263,11792632.434532398,2322513.015459868,0.9552911520004272,0.9552911520004272,0.9552911520004272
322.jpeg,0.97573996,11790296.62486418,2350059.1612061705,0.9548566937446594,0.9548566937446594,0.9548566937446594
687.jpeg,0.9749448,11778341.215496125,1126286.6294048545,0.8287240415811539,0.8287240415811539,0.8287240415811539
226.jpeg,0.9735197,11812064.185145328,2382205.06104136,0.9608198031783104,0.9608198031783104,0.9608198031783104
872.jpeg,0.973034,11794080.86221968,2304784.661425381,0.9592436477541924,0.9592436477541924,0.9592436477541924
878.jpeg,0.97301143,11799256.61840824,2298813.268039896,0.9505365192890168,0.9505365192890168,0.9505365192890168
306.jpeg,0.9725371,11801536.17841019,2354517.589465253,0.9420885890722276,0.9420885890722276,0.9420885890722276
564.jpeg,0.97226983,11792618.06172475,1143993.9035878708,0.8344091325998306,0.9502307623624802,0.8923199474811554
269.jpeg,0.9722402,11803118.132247638,2356344.1138916137,0.9553184062242508,0.9553184062242508,0.9553184062242508
841.jpeg,0.97218174,11869724.22561244,1167927.288265108,0.9543322548270226,0.9543322548270226,0.9543322548270226
238.jpeg,0.97197515,11804910.586791158,2382956.773747098,0.9644068628549576,0.9644068628549576,0.9644068628549576
423.jpeg,0.9717562,11796648.49833907,2296795.5707993694,0.9555330350995064,0.9555330350995064,0.9555330350995064
445.jpeg,0.9717148,11836142.885210805,2323012.362613537,0.6415241099894047,0.9722895100712776,0.8069068100303411
110.jpeg,0.9716483,11788822.61622789,2336805.988103454,0.798161506652832,0.9572080448269844,0.8776847757399082
82.jpeg,0.97131324,11813564.09633606,1165619.715980143,0.9678928777575492,0.9678928777575492,0.9678928777575492
368.jpeg,0.9712903,11796439.950141463,2327299.055664581,0.9592246189713478,0.9592246189713478,0.9592246189713478
239.jpeg,0.97101235,11804896.019800398,2382957.620933094,0.9644068628549576,0.9644068628549576,0.9644068628549576
80.jpeg,0.9709524,11814038.758826012,1161832.6314797946,0.8292195722460747,0.9501707404851912,0.889695156365633
466.jpeg,0.9709435,11701350.74113416,1199779.5512820035,0.6638528909534216,0.9751881584525108,0.8195205247029662
118.jpeg,0.9708858,11792291.292100323,2289476.888544067,0.9575708508491516,0.9575708508491516,0.9575708508491516
751.jpeg,0.97079897,11838143.10602467,1108056.6529708127,0.9746387153863908,0.9746387153863908,0.9746387153863908
800.jpeg,0.97033036,11833812.962152015,1161154.1968394967,0.9266916438937188,0.9266916438937188,0.9266916438937188
220.jpeg,0.9702296,11814030.968457526,2380504.825634585,0.9640592634677888,0.9640592634677888,0.9640592634677888
525.jpeg,0.97016114,11771292.609123016,1153178.0490602124,0.9666868671774864,0.9666868671774864,0.9666868671774864
478.jpeg,0.97009385,11694344.990291148,1193505.1140008476,0.7395698055624962,0.9708767235279084,0.8552232645452023
446.jpeg,0.9700485,11836175.055093732,2322937.556489507,0.6415241099894047,0.9722895100712776,0.8541649393737316
804.jpeg,0.9700458,11836166.430762373,1160150.4032079896,0.9588292986154556,0.9588292986154556,0.9588292986154556
259.jpeg,0.9698323,11806611.336772382,2376865.140112905,0.9543208852410316,0.9543208852410316,0.9543208852410316
432.jpeg,0.9697786,11836074.650446463,2324497.693625991,0.962386354804039,0.962386354804039,0.962386354804039
96.jpeg,0.9689441,11814195.27499896,1268298.5357633992,0.6463415287435055,0.9511852487921716,0.7987633887678385
228.jpeg,0.96859175,11809306.013601098,2383175.664235263,0.959775261580944,0.959775261580944,0.959775261580944
857.jpeg,0.9684843,11873820.27384781,1158487.7754624228,0.9701639786362648,0.9701639786362648,0.9701639786362648
854.jpeg,0.96801364,11876921.432508595,1159631.5365201414,0.9640571475028992,0.9640571475028992,0.9640571475028992
911.jpeg,0.9678159,11773933.787171546,1150931.2034671202,0.9444606229662896,0.9444606229662896,0.9444606229662896
883.jpeg,0.9677173,11796819.525800226,2299541.319208895,0.9557256251573564,0.9557256251573564,0.9557256251573564
97.jpeg,0.9677049,11812807.619129203,1270935.089921734,0.9751169458031654,0.9751169458031654,0.9751169458031654
776.jpeg,0.96764594,11820904.46903043,1168703.9197102897,0.9675293788313866,0.9675293788313866,0.9675293788313866
544.jpeg,0.96761996,11794093.315900616,1145246.778725296,0.97724000364542,0.97724000364542,0.97724000364542
850.jpeg,0.96742153,11875121.509546977,1160071.9606400805,0.9548889249563216,0.9612713903188704,0.958080157637596
244.jpeg,0.9673369,11803919.775894608,2378376.555311827,0.9548952877521516,0.9548952877521516,0.9548952877521516
767.jpeg,0.96732426,11813888.96764953,1164878.8344618783,0.955927699804306,0.955927699804306,0.955927699804306
229.jpeg,0.9672291,11809544.062624808,2382487.000395591,0.0,0.0,0.0
13.jpeg,0.9671494,11739672.086755058,1158744.4181063178,0.7644390724599361,0.7644390724599361,0.7644390724599361
362.jpeg,0.96703166,11797799.998905774,2333612.1778733386,0.9588202834129332,0.9588202834129332,0.9588202834129332
280.jpeg,0.9669867,11806611.558612242,2352581.5860459344,0.9589121118187904,0.9589121118187904,0.9589121118187904
675.jpeg,0.96674913,11797732.971612504,1146138.863438466,0.955026239156723,0.955026239156723,0.955026239156723
881.jpeg,0.9666245,11798995.9137034,2301399.7333768443,0.9580286666750908,0.9580286666750908,0.9580286666750908
270.jpeg,0.9665959,11803707.812415486,2354960.5843371693,0.9643035307526588,0.9643035307526588,0.9643035307526588
589.jpeg,0.9663975,11837375.82809124,1163406.791519413,0.9595324620604516,0.9595324620604516,0.9595324620604516
788.jpeg,0.9661618,11836475.593708776,1156502.8479825535,0.9577093347907066,0.9577093347907066,0.9577093347907066
420.jpeg,0.9660379,11798826.065574847,2300161.4746302366,0.9579781219363211,0.9579781219363211,0.9579781219363211
837.jpeg,0.965975,11839043.965990962,1160127.7856158111,0.9578788727521896,0.9578788727521896,0.9578788727521896
562.jpeg,0.96596456,11793491.17699146,1144416.0807422164,0.9650478214025496,0.9650478214025496,0.9650478214025496
510.jpeg,0.9659327,11758434.49469149,1171212.2056786877,0.9630620926618576,0.9630620926618576,0.9630620926618576
4.jpeg,0.9658549,11696874.796290869,1196438.563920652,0.9300206378102304,0.9300206378102304,0.9300206378102304
573.jpeg,0.9657909,11835509.120218666,1113656.1412147884,0.9580056816339492,0.9580056816339492,0.9580056816339492
380.jpeg,0.96577203,11789244.80842974,2322253.6150411163,0.8247793838381767,0.8247793838381767,0.8247793838381767
920.jpeg,0.9657362,11734991.184206776,1163227.6999844704,0.9510190114378928,0.9510190114378928,0.9510190114378928
685.jpeg,0.96573514,11801654.581036674,1150791.9270680237,0.7576805092394352,0.9515099003911018,0.8545952048152685
468.jpeg,0.9656794,11701508.046591766,1199466.891047335,0.9663314446806908,0.9663314446806908,0.9663314446806908
282.jpeg,0.9656624,11806200.582493115,2352596.47783368,0.9614522531628608,0.9614522531628608,0.9614522531628608
674.jpeg,0.96541804,11797717.141979704,1146161.6008979094,0.955026239156723,0.955026239156723,0.955026239156723
320.jpeg,0.9653197,11791311.295900537,2349261.016467601,0.957694336771965,0.957694336771965,0.957694336771965
202.jpeg,0.96521705,11823818.85624222,2425367.8477091845,0.959388367831707,0.959388367831707,0.959388367831707
340.jpeg,0.9651788,11797499.864858704,2342862.3527054708,0.7966918721795082,0.9742850810289384,0.8854884766042233
505.jpeg,0.96516335,11755455.818566468,1174018.7117284634,0.9744375422596931,0.9744375422596931,0.9744375422596931
292.jpeg,0.9650889,11806078.828499082,2350150.2176369363,0.9109832793474196,0.9109832793474196,0.9109832793474196
475.jpeg,0.96471334,11704809.988327015,1195884.3613485538,0.6025734022259712,0.6025734022259712,0.6025734022259712
555.jpeg,0.96465886,11801052.45414314,1147535.9198247846,0.9655561298131944,0.9655561298131944,0.9655561298131944
114.jpeg,0.9646286,11794032.72433261,2304977.486922276,0.9562899470329284,0.9562899470329284,0.9562899470329284
657.jpeg,0.9646165,11794376.941216275,1143028.232235739,0.9643816575407982,0.9643816575407982,0.9643816575407982
915.jpeg,0.96442074,11773638.970258836,1152539.2573876723,0.8740395978093147,0.964733988046646,0.9193867929279804
357.jpeg,0.9642807,11798422.565919513,2336354.167537955,0.9462552443146706,0.9616085961461068,0.9539319202303886
845.jpeg,0.9641895,11872625.836900204,1159979.654204565,0.7691361159086227,0.9724398627877237,0.8707879893481731
977.jpeg,0.9641247,11812948.377253948,1267084.4469044742,0.0,0.0,0.0
635.jpeg,0.9640456,11790861.33558784,2336685.773076389,0.9318940415978432,0.9318940415978432,0.9318940415978432
7.jpeg,0.9637831,11700882.10006416,1200815.30157756,0.9636770337820052,0.9636770337820052,0.9636770337820052
958.jpeg,0.9637034,11699629.164797192,1203097.2938053757,0.8939612433314323,0.8939612433314323,0.8939612433314323
396.jpeg,0.9636001,11789940.93670129,2333190.2562503107,0.9062724784016608,0.9062724784016608,0.9062724784016608
903.jpeg,0.9635461,11773633.264037294,1152534.4151164617,0.8740395978093147,0.964733988046646,0.9193867929279804
580.jpeg,0.96345943,11841606.36825142,1158738.6615177344,0.8779006376862526,0.8779006376862526,0.8779006376862526
