image,pred,lon,lat,min_probs,max_probs,mean_probs
978.jpeg,0.98165005,11813511.32974132,1270237.3009131537,0.8691941276192665,0.9655062034726144,0.9173501655459404
122.jpeg,0.9807227,11800393.680832757,2301169.5093886307,0.9620133191347122,0.9620133191347122,0.9620133191347122
373.jpeg,0.9761263,11792632.434532398,2322513.015459868,0.963088110089302,0.963088110089302,0.963088110089302
322.jpeg,0.97573996,11790296.62486418,2350059.1612061705,0.9621551185846328,0.9621551185846328,0.9621551185846328
687.jpeg,0.9749448,11778341.215496125,1126286.6294048545,0.7225943207740784,0.7225943207740784,0.7225943207740784
226.jpeg,0.9735197,11812064.185145328,2382205.06104136,0.9679928421974182,0.9679928421974182,0.9679928421974182
872.jpeg,0.973034,11794080.86221968,2304784.661425381,0.7131882794201374,0.9650811403989792,0.8391347099095583
878.jpeg,0.97301143,11799256.61840824,2298813.268039896,0.962597094476223,0.962597094476223,0.962597094476223
306.jpeg,0.9725371,11801536.17841019,2354517.589465253,0.9592082723975182,0.9592082723975182,0.9592082723975182
564.jpeg,0.97226983,11792618.06172475,1143993.9035878708,0.7980841025710106,0.9621649235486984,0.8801245130598545
269.jpeg,0.9722402,11803118.132247638,2356344.1138916137,0.6223624758422375,0.9585959613323212,0.7904792185872793
841.jpeg,0.97218174,11869724.22561244,1167927.288265108,0.9659401252865792,0.9659401252865792,0.9659401252865792
238.jpeg,0.97197515,11804910.586791158,2382956.773747098,0.9680538550019264,0.9680538550019264,0.9680538550019264
423.jpeg,0.9717562,11796648.49833907,2296795.5707993694,0.9620695635676384,0.9620695635676384,0.9620695635676384
445.jpeg,0.9717148,11836142.885210805,2323012.362613537,0.9705157801508904,0.9705157801508904,0.9705157801508904
110.jpeg,0.9716483,11788822.61622789,2336805.988103454,0.9638231694698334,0.9638231694698334,0.9638231694698334
82.jpeg,0.97131324,11813564.09633606,1165619.715980143,0.8826620727777481,0.9593594297766684,0.9210107512772083
368.jpeg,0.9712903,11796439.950141463,2327299.055664581,0.9664367511868476,0.9664367511868476,0.9664367511868476
239.jpeg,0.97101235,11804896.019800398,2382957.620933094,0.9680538550019264,0.9680538550019264,0.9680538550019264
80.jpeg,0.9709524,11814038.758826012,1161832.6314797946,0.956132896244526,0.956132896244526,0.956132896244526
466.jpeg,0.9709435,11701350.74113416,1199779.5512820035,0.9699749872088432,0.9699749872088432,0.9699749872088432
118.jpeg,0.9708858,11792291.292100323,2289476.888544067,0.9617342203855516,0.9617342203855516,0.9617342203855516
751.jpeg,0.97079897,11838143.10602467,1108056.6529708127,0.9603274017572404,0.9603274017572404,0.9603274017572404
800.jpeg,0.97033036,11833812.962152015,1161154.1968394967,0.9452638849616052,0.9452638849616052,0.9452638849616052
220.jpeg,0.9702296,11814030.968457526,2380504.825634585,0.9677493125200272,0.9677493125200272,0.9677493125200272
525.jpeg,0.97016114,11771292.609123016,1153178.0490602124,0.969960168004036,0.969960168004036,0.969960168004036
478.jpeg,0.97009385,11694344.990291148,1193505.1140008476,0.969172053039074,0.969172053039074,0.969172053039074
446.jpeg,0.9700485,11836175.055093732,2322937.556489507,0.9477997720241548,0.9705157801508904,0.9591577760875225
804.jpeg,0.9700458,11836166.430762373,1160150.4032079896,0.962761491537094,0.962761491537094,0.962761491537094
259.jpeg,0.9698323,11806611.336772382,2376865.140112905,0.9531951621174812,0.959571935236454,0.9563835486769676
