,image,pred,lon,lat
0,Duy Tiên District-5234.jpeg,0.9820406660437584,105.94465447767993N,20.672597380789824E
1,Go Cong Town-3152.jpeg,0.9808455184102058,106.63886207768692N,10.422338742476105E
2,Long Xuyen City-3620.jpeg,0.9803456366062164,105.42214915978941N,10.387958008941302E
3,Phu Ly City-57.jpeg,0.9802360609173776,105.9142509672943N,20.492558406496656E
4,Cai Lậy Town-4972.jpeg,0.9800905659794809,106.12380066850477N,10.454486843635143E
6,Long Xuyen City-3556.jpeg,0.9793016463518144,105.41940946379876N,10.38661054217843E
7,Phu Ly City-3817.jpeg,0.9792448580265044,105.94734749605469N,20.577448812560007E
8,Go Cong Town-3971.jpeg,0.9790153354406356,106.66078230876171N,10.435813410104826E
9,Cai Lậy Town-5376.jpeg,0.9786563068628312,106.18682458406407N,10.461224177449507E
11,Mỹ Hào District-1165.jpeg,0.9778597503900528,106.08920254855506N,20.91771640921813E
12,Cai Lậy Town-5721.jpeg,0.977762259542942,106.17312373285549N,10.467961511263871E
13,Go Cong Town-4042.jpeg,0.9777226820588112,106.64982219322431N,10.4371608768677E
14,Hiệp Hòa District-33.jpeg,0.9776391014456748,105.97460124466096N,21.22710400644183E
15,Go Cong Town-2001.jpeg,0.9774188697338104,106.68544256872082N,10.395389407218653E
16,Mỹ Hào District-2246.jpeg,0.977377623319626,106.04592413713877N,20.93927587742473E
17,Go Cong Town-3132.jpeg,0.97697614133358,106.61146178884346N,10.422338742476105E
18,Long Xuyen City-1941.jpeg,0.9769028946757315,105.44269687971922N,10.352923873106617E
19,Go Cong Town-1383.jpeg,0.97665087133646,106.65804227987738N,10.379219806064183E
20,Go Cong Town-1328.jpeg,0.9762694612145424,106.65393223655084N,10.37787233930131E
21,Phu Ly City-2876.jpeg,0.9761457592248916,105.92864076240751N,20.557236811116354E
22,Duy Tiên District-4669.jpeg,0.975860759615898,105.94033506327347N,20.66316511344944E
23,Go Cong Town-3205.jpeg,0.975814327597618,106.60187168774827N,10.423686209238976E
24,Go Cong Town-2540.jpeg,0.9757042229175568,106.68133252539432N,10.408864074847378E
25,Duy Tiên District-566.jpeg,0.9756445661187172,105.97776998812962N,20.587706974726427E
26,Hoa Lư District-388.jpeg,0.975440427660942,105.94927148754331N,20.19664430755339E
27,Cai Lậy Town-4866.jpeg,0.9753843769431114,106.17860407333892N,10.4517919101094E
28,Go Cong Town-2207.jpeg,0.975358210504055,106.67722248206778N,10.40077927427014E
29,Go Cong Town-2123.jpeg,0.975314773619175,106.6361220488026N,10.399431807507273E
30,Phu Ly City-17.jpeg,0.9752841144800186,105.90417811071508N,20.48851600620792E
31,Hung Yen City-1452.jpeg,0.9750424847006798,106.07632424871774N,20.643519608843928E
32,Phu Ly City-4242.jpeg,0.9750357940793036,105.93295770094146N,20.592270946952027E
34,Thái Bình-707.jpeg,0.9747660085558892,106.33063558897192N,20.433857974965385E
35,Tây Ninh City-800.jpeg,0.97454434633255,106.09076737156332N,11.320525705184215E
36,Go Cong Town-2670.jpeg,0.9745235294103622,106.62242190438084N,10.412906475136E
37,Go Cong Town-2608.jpeg,0.9745179712772368,106.61831186105434N,10.411559008373121E
38,Cai Lậy Town-4249.jpeg,0.9744691476225852,106.17860407333892N,10.441012176006414E
39,Cai Lậy Town-6058.jpeg,0.9744361639022828,106.16764339237213N,10.474698845078231E
40,Vĩnh Long-1368.jpeg,0.9744331985712053,105.94869725199236N,10.254387271928618E
41,Binh Minh Town-3355.jpeg,0.9743972197175026,105.828267715345N,10.071975342376048E
42,Thái Bình-2194.jpeg,0.974384605884552,106.35076939087223N,20.46484971051231E
44,Go Cong Town-759.jpeg,0.9741231054067612,106.65256222210868N,10.363050204909717E
45,Go Cong Town-1296.jpeg,0.974091611802578,106.67996251095214N,10.37652487253844E
46,Phu Ly City-2927.jpeg,0.9740819856524467,105.89554423364714N,20.558584277879262E
47,Hung Yen City-1138.jpeg,0.9739848226308824,106.09360514840996N,20.635434808266467E
48,Long Hồ District-1248.jpeg,0.9738878011703492,105.91673263947999N,10.16072763808944E
49,Cai Lậy Town-2171.jpeg,0.9738541394472122,106.11969041314218N,10.401935639883115E
51,Long Hồ District-4321.jpeg,0.973653756082058,105.93727131866235N,10.201151640975601E
52,Hiệp Hòa District-4729.jpeg,0.9736394360661508,106.01365821705858N,21.32277414660878E
53,Vĩnh Long-1235.jpeg,0.9736383035779,105.99662386391029N,10.251692338402876E
54,Duy Tiên District-1533.jpeg,0.9736085534095764,105.93889525847129N,20.618698710273378E
55,Chau Doc City-2006.jpeg,0.9735582545399666,105.04665765254182N,10.66748820700904E
56,Go Cong Town-2080.jpeg,0.9735235869884492,106.64845217878214N,10.398084340744397E
57,Hoa Lư District-232.jpeg,0.9735158905386924,105.94496277429069N,20.192601907264667E
58,Cai Lậy Town-3944.jpeg,0.9734567776322364,106.19093483942662N,10.435622308954924E
59,Cai Lậy Town-6008.jpeg,0.9732770547270776,106.0991391363294N,10.474698845078231E
61,Bac Giang City-1451.jpeg,0.9732219278812408,106.16347291657819N,21.272614943430767E
62,Cai Lậy Town-5934.jpeg,0.973083071410656,106.17997415845981N,10.472003911552486E
63,Duy Tiên District-3437.jpeg,0.9730416387319564,105.94321467287777N,20.645648045531594E
64,Cai Lậy Town-4086.jpeg,0.9730353876948356,106.17449381797637N,10.43831724248067E
65,Bac Giang City-2505.jpeg,0.9729781821370124,106.20540567787614N,21.291479478111572E
66,Chau Doc City-2406.jpeg,0.9729181081056596,105.13716055064552N,10.67287807406053E
67,Thái Bình-607.jpeg,0.9728828221559525,106.35939816311522N,20.43116304143958E
68,Long Xuyen City-876.jpeg,0.9728671610355376,105.48379231957885N,10.328669471374916E
70,Tam Điệp-3396.jpeg,0.97284347563982,105.94406570916391N,20.16820427718152E
71,Go Cong Town-3316.jpeg,0.9728231728076936,106.64023209212911N,10.425033676001851E
73,Phu Ly City-3939.jpeg,0.9727879837155342,105.9631762706792N,20.580143746085835E
74,Cai Lậy Town-5869.jpeg,0.9727039858698844,106.18408441382235N,10.470656444789617E
75,Châu Thành District-6614.jpeg,0.9726089090108871,106.3607895859649N,10.297430873665688E
76,Duy Tiên District-955.jpeg,0.9726034551858902,105.97920979293177N,20.60387657588136E
77,Tây Ninh City-2185.jpeg,0.9725174978375436,106.14574414745852N,11.350169973967462E
78,Duy Tiên District-2980.jpeg,0.9725037068128586,105.99504764575553N,20.638910711717042E
79,Go Cong Town-2498.jpeg,0.9723999723792076,106.62379191882302N,10.408864074847378E
82,Thái Bình-298.jpeg,0.9722840040922164,106.33782623250777N,20.4217307740992E
83,Long Hồ District-4167.jpeg,0.9722746983170508,105.92084037531647N,10.198456707449855E
86,Tam Điệp-1836.jpeg,0.9722113907337188,105.92253450785479N,20.146644808974987E
87,Long Xuyen City-2924.jpeg,0.9721680358052254,105.39201250389236N,10.374483341312578E
88,Mỹ Hào District-3789.jpeg,0.9721022546291352,106.08487470741343N,20.967572679445905E
89,Go Cong Town-3338.jpeg,0.9721013307571412,106.67037240985691N,10.425033676001851E
90,Yên Mỹ District-1153.jpeg,0.9720969125628472,106.0205108548486N,20.873402075391663E
91,Cao Lanh City-3056.jpeg,0.9720201641321182,105.58791183307821N,10.46348580695066E
92,Cai Lậy Town-5575.jpeg,0.9718648344278336,106.16764339237213N,10.465266577738122E
93,Phu Ly City-821.jpeg,0.9718251302838326,105.96173729116788N,20.522202675280678E
95,Duy Tiên District-4873.jpeg,0.9717132076621056,105.99216803615124N,20.66586004697526E
96,Thanh Liêm District-6526.jpeg,0.9716915115714072,105.98509988924968N,20.492216815120244E
97,Thanh Liêm District-5006.jpeg,0.971683956682682,105.91319704556706N,20.470657346913683E
98,Long Hồ District-4236.jpeg,0.9716674834489822,105.91673263947999N,10.19980417421273E
99,Duy Tiên District-1168.jpeg,0.9716553688049316,105.9417748680756N,20.610613909695914E
100,Hung Yen City-3566.jpeg,0.9716274663805962,106.0619234989742N,20.712240413752408E
101,Thái Bình-714.jpeg,0.9715541750192642,106.34070248992211N,20.433857974965385E
102,Go Cong Town-2724.jpeg,0.9715496674180032,106.61146178884346N,10.414253941898867E
103,Duy Tiên District-3077.jpeg,0.9715471938252448,105.99216803615124N,20.640258178479957E
104,Duy Tiên District-1840.jpeg,0.9715245440602304,105.99072823134907N,20.622741110562114E
