image,pred,lon,lat,min_probs,max_probs,mean_probs
978.jpeg,0.98165005,11813511.32974132,1270237.3009131537,0.9365707114338876,0.9365707114338876,0.9365707114338876
122.jpeg,0.9807227,11800393.680832757,2301169.5093886307,0.9508693367242812,0.9508693367242812,0.9508693367242812
373.jpeg,0.9761263,11792632.434532398,2322513.015459868,0.958932064473629,0.958932064473629,0.958932064473629
322.jpeg,0.97573996,11790296.62486418,2350059.1612061705,0.9610772281885148,0.9610772281885148,0.9610772281885148
687.jpeg,0.9749448,11778341.215496125,1126286.6294048545,0.7247127741575241,0.7247127741575241,0.7247127741575241
226.jpeg,0.9735197,11812064.185145328,2382205.06104136,0.9600025415420532,0.9600025415420532,0.9600025415420532
872.jpeg,0.973034,11794080.86221968,2304784.661425381,0.96170674264431,0.96170674264431,0.96170674264431
878.jpeg,0.97301143,11799256.61840824,2298813.268039896,0.9492022469639778,0.9492022469639778,0.9492022469639778
306.jpeg,0.9725371,11801536.17841019,2354517.589465253,0.9533791095018388,0.9533791095018388,0.9533791095018388
564.jpeg,0.97226983,11792618.06172475,1143993.9035878708,0.7664371579885483,0.9445087164640428,0.8554729372262955
269.jpeg,0.9722402,11803118.132247638,2356344.1138916137,0.9475989863276482,0.9475989863276482,0.9475989863276482
841.jpeg,0.97218174,11869724.22561244,1167927.288265108,0.9606715440750122,0.9606715440750122,0.9606715440750122
238.jpeg,0.97197515,11804910.586791158,2382956.773747098,0.9633795693516732,0.9633795693516732,0.9633795693516732
423.jpeg,0.9717562,11796648.49833907,2296795.5707993694,0.957411214709282,0.957411214709282,0.957411214709282
445.jpeg,0.9717148,11836142.885210805,2323012.362613537,0.9682230427861214,0.9682230427861214,0.9682230427861214
110.jpeg,0.9716483,11788822.61622789,2336805.988103454,0.7177103385329247,0.9578873813152312,0.837798859924078
82.jpeg,0.97131324,11813564.09633606,1165619.715980143,0.92743868380785,0.92743868380785,0.92743868380785
368.jpeg,0.9712903,11796439.950141463,2327299.055664581,0.9613402709364892,0.9613402709364892,0.9613402709364892
239.jpeg,0.97101235,11804896.019800398,2382957.620933094,0.9633795693516732,0.9633795693516732,0.9633795693516732
80.jpeg,0.9709524,11814038.758826012,1161832.6314797946,0.9415962472558022,0.9415962472558022,0.9415962472558022
466.jpeg,0.9709435,11701350.74113416,1199779.5512820035,0.9629189223051072,0.9629189223051072,0.9629189223051072
118.jpeg,0.9708858,11792291.292100323,2289476.888544067,0.9554445743560792,0.9554445743560792,0.9554445743560792
751.jpeg,0.97079897,11838143.10602467,1108056.6529708127,0.9582166895270348,0.9582166895270348,0.9582166895270348
800.jpeg,0.97033036,11833812.962152015,1161154.1968394967,0.9190505966544152,0.9190505966544152,0.9190505966544152
220.jpeg,0.9702296,11814030.968457526,2380504.825634585,0.956347480416298,0.956347480416298,0.956347480416298
525.jpeg,0.97016114,11771292.609123016,1153178.0490602124,0.9608882144093512,0.9608882144093512,0.9608882144093512
478.jpeg,0.97009385,11694344.990291148,1193505.1140008476,0.9598939046263696,0.9598939046263696,0.9598939046263696
446.jpeg,0.9700485,11836175.055093732,2322937.556489507,0.949672356247902,0.9682230427861214,0.9589476995170116
804.jpeg,0.9700458,11836166.430762373,1160150.4032079896,0.95141089707613,0.95141089707613,0.95141089707613
259.jpeg,0.9698323,11806611.336772382,2376865.140112905,0.9578702375292778,0.9582796841859818,0.9580749608576298
432.jpeg,0.9697786,11836074.650446463,2324497.693625991,0.9549528136849404,0.9549528136849404,0.9549528136849404
96.jpeg,0.9689441,11814195.27499896,1268298.5357633992,0.9439726695418358,0.9439726695418358,0.9439726695418358
228.jpeg,0.96859175,11809306.013601098,2383175.664235263,0.9510342702269554,0.9510342702269554,0.9510342702269554
857.jpeg,0.9684843,11873820.27384781,1158487.7754624228,0.9710752442479134,0.9710752442479134,0.9710752442479134
854.jpeg,0.96801364,11876921.432508595,1159631.5365201414,0.962235227227211,0.962235227227211,0.962235227227211
911.jpeg,0.9678159,11773933.787171546,1150931.2034671202,0.5556998327374458,0.5556998327374458,0.5556998327374458
883.jpeg,0.9677173,11796819.525800226,2299541.319208895,0.9581237360835076,0.9581237360835076,0.9581237360835076
97.jpeg,0.9677049,11812807.619129203,1270935.089921734,0.8009670451283455,0.8009670451283455,0.8009670451283455
776.jpeg,0.96764594,11820904.46903043,1168703.9197102897,0.9415754154324532,0.9415754154324532,0.9415754154324532
544.jpeg,0.96761996,11794093.315900616,1145246.778725296,0.9283046126365662,0.9283046126365662,0.9283046126365662
850.jpeg,0.96742153,11875121.509546977,1160071.9606400805,0.9383005350828172,0.9535927474498748,0.945946641266346
244.jpeg,0.9673369,11803919.775894608,2378376.555311827,0.9601626992225648,0.9601626992225648,0.9601626992225648
767.jpeg,0.96732426,11813888.96764953,1164878.8344618783,0.945610910654068,0.945610910654068,0.945610910654068
229.jpeg,0.9672291,11809544.062624808,2382487.000395591,0.0,0.0,0.0
13.jpeg,0.9671494,11739672.086755058,1158744.4181063178,0.0,0.0,0.0
362.jpeg,0.96703166,11797799.998905774,2333612.1778733386,0.9610107019543648,0.9610107019543648,0.9610107019543648
280.jpeg,0.9669867,11806611.558612242,2352581.5860459344,0.95555629581213,0.95555629581213,0.95555629581213
675.jpeg,0.96674913,11797732.971612504,1146138.863438466,0.9524167999625206,0.9524167999625206,0.9524167999625206
881.jpeg,0.9666245,11798995.9137034,2301399.7333768443,0.9392860606312752,0.9392860606312752,0.9392860606312752
270.jpeg,0.9665959,11803707.812415486,2354960.5843371693,0.9068874716758728,0.9068874716758728,0.9068874716758728
589.jpeg,0.9663975,11837375.82809124,1163406.791519413,0.9533575177192688,0.9533575177192688,0.9533575177192688
788.jpeg,0.9661618,11836475.593708776,1156502.8479825535,0.9559425488114356,0.9559425488114356,0.9559425488114356
420.jpeg,0.9660379,11798826.065574847,2300161.4746302366,0.9543666765093805,0.9543666765093805,0.9543666765093805
837.jpeg,0.965975,11839043.965990962,1160127.7856158111,0.9539104253053664,0.9539104253053664,0.9539104253053664
562.jpeg,0.96596456,11793491.17699146,1144416.0807422164,0.9580115452408792,0.9580115452408792,0.9580115452408792
510.jpeg,0.9659327,11758434.49469149,1171212.2056786877,0.9492866471409798,0.9492866471409798,0.9492866471409798
4.jpeg,0.9658549,11696874.796290869,1196438.563920652,0.915209487080574,0.915209487080574,0.915209487080574
573.jpeg,0.9657909,11835509.120218666,1113656.1412147884,0.8846583366394043,0.8846583366394043,0.8846583366394043
380.jpeg,0.96577203,11789244.80842974,2322253.6150411163,0.9548582211136818,0.9548582211136818,0.9548582211136818
920.jpeg,0.9657362,11734991.184206776,1163227.6999844704,0.9559631943702698,0.9559631943702698,0.9559631943702698
685.jpeg,0.96573514,11801654.581036674,1150791.9270680237,0.9421023279428482,0.9421023279428482,0.9421023279428482
468.jpeg,0.9656794,11701508.046591766,1199466.891047335,0.9357415363192558,0.9357415363192558,0.9357415363192558
282.jpeg,0.9656624,11806200.582493115,2352596.47783368,0.9583473950624466,0.9583473950624466,0.9583473950624466
674.jpeg,0.96541804,11797717.141979704,1146161.6008979094,0.9524167999625206,0.9524167999625206,0.9524167999625206
320.jpeg,0.9653197,11791311.295900537,2349261.016467601,0.958224855363369,0.958224855363369,0.958224855363369
202.jpeg,0.96521705,11823818.85624222,2425367.8477091845,0.9601069539785384,0.9601069539785384,0.9601069539785384
340.jpeg,0.9651788,11797499.864858704,2342862.3527054708,0.9671647027134896,0.9671647027134896,0.9671647027134896
505.jpeg,0.96516335,11755455.818566468,1174018.7117284634,0.949670933187008,0.949670933187008,0.949670933187008
292.jpeg,0.9650889,11806078.828499082,2350150.2176369363,0.947847530245781,0.947847530245781,0.947847530245781
475.jpeg,0.96471334,11704809.988327015,1195884.3613485538,0.6760476566851139,0.6760476566851139,0.6760476566851139
555.jpeg,0.96465886,11801052.45414314,1147535.9198247846,0.5361466482281685,0.665298193693161,0.6007224209606647
114.jpeg,0.9646286,11794032.72433261,2304977.486922276,0.96170674264431,0.96170674264431,0.96170674264431
657.jpeg,0.9646165,11794376.941216275,1143028.232235739,0.9580319598317146,0.9580319598317146,0.9580319598317146
915.jpeg,0.96442074,11773638.970258836,1152539.2573876723,0.9577626660466194,0.9577626660466194,0.9577626660466194
357.jpeg,0.9642807,11798422.565919513,2336354.167537955,0.9461697787046432,0.9628662019968032,0.9545179903507233
845.jpeg,0.9641895,11872625.836900204,1159979.654204565,0.9626349434256554,0.9626349434256554,0.9626349434256554
977.jpeg,0.9641247,11812948.377253948,1267084.4469044742,0.0,0.0,0.0
635.jpeg,0.9640456,11790861.33558784,2336685.773076389,0.920528084039688,0.920528084039688,0.920528084039688
7.jpeg,0.9637831,11700882.10006416,1200815.30157756,0.9616044238209724,0.9616044238209724,0.9616044238209724
958.jpeg,0.9637034,11699629.164797192,1203097.2938053757,0.0,0.0,0.0
396.jpeg,0.9636001,11789940.93670129,2333190.2562503107,0.9199262112379074,0.9199262112379074,0.9199262112379074
903.jpeg,0.9635461,11773633.264037294,1152534.4151164617,0.9577626660466194,0.9577626660466194,0.9577626660466194
580.jpeg,0.96345943,11841606.36825142,1158738.6615177344,0.0,0.0,0.0
86.jpeg,0.9634283,11815298.230947364,1165310.7602779388,0.9605479836463928,0.9605479836463928,0.9605479836463928
6.jpeg,0.9631248,11700963.035892168,1200696.7468921472,0.9616044238209724,0.9616044238209724,0.9616044238209724
291.jpeg,0.96305436,11806114.630186828,2350005.3539584544,0.947847530245781,0.947847530245781,0.947847530245781
191.jpeg,0.96301156,11818079.125519833,2424415.6950360327,0.9623660296201706,0.9623660296201706,0.9623660296201706
419.jpeg,0.9627651,11796710.510366865,2301470.2650203137,0.957421325147152,0.957421325147152,0.957421325147152
941.jpeg,0.9626952,11757971.528805029,1172136.366117595,0.0,0.0,0.0
