image,pred,lon,lat
Duy Tiên District-5367.jpeg,0.984200730919838,105.94465447767993N,20.675292314315648E
Duy Tiên District-5301.jpeg,0.9813299477100372,105.94465447767993N,20.67394484755273E
Hiệp Hòa District-6944.jpeg,0.9807258397340775,106.02233754425805N,21.3524184153929E
Duy Tiên District-841.jpeg,0.9792464226484299,105.9417748680756N,20.601181642355538E
Duy Tiên District-1709.jpeg,0.9783364683389664,105.93457584406481N,20.621393643799195E
Trà Vinh City-1487.jpeg,0.9777654111385345,106.34544614638844N,9.951311307379353E
Go Cong Town-2540.jpeg,0.977538526058197,106.68133252539432N,10.408864074847378E
Go Cong Town-2608.jpeg,0.977468378841877,106.61831186105434N,10.411559008373121E
Go Cong Town-2724.jpeg,0.977313831448555,106.61146178884346N,10.414253941898867E
Go Cong Town-2923.jpeg,0.9770819395780563,106.61557183216999N,10.418296342187489E
Go Cong Town-3963.jpeg,0.9769978746771812,106.64982219322431N,10.435813410104826E
Go Cong Town-3643.jpeg,0.9767224788665771,106.64297212101346N,10.430423543053335E
Phu Ly City-3939.jpeg,0.9765093922615051,105.9631762706792N,20.580143746085835E
Long Hồ District-4167.jpeg,0.9764596298336983,105.92084037531647N,10.198456707449855E
Go Cong Town-2777.jpeg,0.9763758033514023,106.68407255427864N,10.414253941898867E
Go Cong Town-3707.jpeg,0.9759412184357643,106.62242190438084N,10.431771009816211E
Go Cong Town-2717.jpeg,0.9753618389368057,106.68681258316299N,10.412906475136E
Duy Tiên District-3864.jpeg,0.9750965759158134,105.99216803615124N,20.651037912583238E
Phu Ly City-1966.jpeg,0.9747211635112762,105.9214458648509N,20.541067209961426E
Go Cong Town-2646.jpeg,0.9746830686926842,106.67037240985691N,10.411559008373121E
Phu Ly City-17.jpeg,0.9746745377779007,105.90417811071508N,20.48851600620792E
Go Cong Town-2711.jpeg,0.9745697751641273,106.67859249650996N,10.412906475136E
Thanh Liêm District-3227.jpeg,0.9741957485675812,105.95921486552396N,20.44505547841839E
Go Cong Town-3488.jpeg,0.9741829335689545,106.6457121498978N,10.427728609527595E
Hiệp Hòa District-4644.jpeg,0.974174439907074,106.01944443519157N,21.321426679845857E
Long Xuyen City-3620.jpeg,0.9739521965384483,105.42214915978941N,10.387958008941302E
Thái Bình-707.jpeg,0.9739241451025009,106.33063558897192N,20.433857974965385E
Go Cong Town-2001.jpeg,0.9738373979926109,106.68544256872082N,10.395389407218653E
Go Cong Town-2609.jpeg,0.9737183600664139,106.61968187549651N,10.411559008373121E
Thanh Liêm District-1066.jpeg,0.9736533686518669,105.93332984179821N,20.408673875819822E
Go Cong Town-2670.jpeg,0.973435215651989,106.62242190438084N,10.412906475136E
Go Cong Town-3800.jpeg,0.9733587726950645,106.64297212101346N,10.43311847657908E
Go Cong Town-3316.jpeg,0.9732222482562065,106.64023209212911N,10.425033676001851E
Hung Yen City-1138.jpeg,0.973159171640873,106.09360514840996N,20.635434808266467E
Hiệp Hòa District-5171.jpeg,0.973123587667942,105.95724259026198N,21.329511480423346E
Go Cong Town-3971.jpeg,0.9730553105473518,106.66078230876171N,10.435813410104826E
Go Cong Town-2498.jpeg,0.9729948416352272,106.62379191882302N,10.408864074847378E
Binh Minh Town-692.jpeg,0.972961075603962,105.8570051787719N,10.01133933804682E
Hiệp Hòa District-500.jpeg,0.9729125201702118,105.97170813559445N,21.24596854112263E
Long Hồ District-1536.jpeg,0.9727788344025612,106.01668754483413N,10.163422571615186E
Go Cong Town-2862.jpeg,0.9727085679769516,106.62379191882302N,10.416948875424618E
Go Cong Town-2996.jpeg,0.9725001901388168,106.62242190438084N,10.419643808950358E
Hiệp Hòa District-305.jpeg,0.9724868685007095,105.97170813559445N,21.239231207308055E
Go Cong Town-3831.jpeg,0.9721388220787048,106.68544256872082N,10.43311847657908E
Hiệp Hòa District-33.jpeg,0.9721236824989319,105.97460124466096N,21.22710400644183E
Go Cong Town-1296.jpeg,0.9721180275082588,106.67996251095214N,10.37652487253844E
Thanh Liêm District-1366.jpeg,0.9720879420638084,105.9275776143036N,20.415411209634375E
Duy Tiên District-3604.jpeg,0.9719721525907516,105.90146033361509N,20.64834297905743E
Hiệp Hòa District-3226.jpeg,0.9719691798090935,105.95290292666226N,21.301214678402133E
Go Cong Town-1564.jpeg,0.971914604306221,106.63338201991824N,10.384609673115675E
Long Hồ District-688.jpeg,0.9719017818570137,106.00847207316117N,10.15264283751221E
Go Cong Town-2991.jpeg,0.9718927592039108,106.61557183216999N,10.419643808950358E
Go Cong Town-4115.jpeg,0.9718829095363617,106.64982219322431N,10.438508343630575E
Go Cong Town-2733.jpeg,0.9718311876058578,106.62379191882302N,10.414253941898867E
Mỹ Hào District-1165.jpeg,0.971768707036972,106.08920254855506N,20.91771640921813E
Trà Vinh City-1737.jpeg,0.9717658683657646,106.35091834595066N,9.95939610795658E
Cai Lậy Town-4972.jpeg,0.9716903567314148,106.12380066850477N,10.454486843635143E
Cai Lậy Town-4249.jpeg,0.9716595187783241,106.17860407333892N,10.441012176006414E
Go Cong Town-2268.jpeg,0.9715856909751892,106.68544256872082N,10.402126741033015E
Go Cong Town-2895.jpeg,0.9715692847967148,106.66900239541475N,10.416948875424618E
Go Cong Town-2790.jpeg,0.971513457596302,106.61557183216999N,10.415601408661741E
Go Cong Town-2201.jpeg,0.9713295623660088,106.66900239541475N,10.40077927427014E
Go Cong Town-3338.jpeg,0.971239723265171,106.67037240985691N,10.425033676001851E
Duy Tiên District-928.jpeg,0.9712041467428207,105.94033506327347N,20.60387657588136E
Bac Giang City-2979.jpeg,0.9711131528019905,106.17937844672568N,21.302259212214892E
Go Cong Town-298.jpeg,0.9710752442479134,106.66489235208824N,10.34957553728099E
Hiệp Hòa District-4729.jpeg,0.9710266292095184,106.01365821705858N,21.32277414660878E
Go Cong Town-2207.jpeg,0.9709916561841965,106.67722248206778N,10.40077927427014E
Long Hồ District-4094.jpeg,0.9709816202521324,105.92084037531647N,10.197109240686984E
Go Cong Town-2442.jpeg,0.9709110036492348,106.62379191882302N,10.407516608084503E
Go Cong Town-3722.jpeg,0.9708638861775398,106.64297212101346N,10.431771009816211E
Go Cong Town-2551.jpeg,0.9708585068583488,106.61968187549651N,10.410211541610249E
Go Cong Town-2985.jpeg,0.9705136492848396,106.60735174551695N,10.419643808950358E
Go Cong Town-4716.jpeg,0.9704146385192871,106.65119220766648N,10.460067811836536E
