Unnamed: 0,image,pred,lon,lat,found_Anditi
0,Duy Tiên District-5367.jpeg,0.984200730919838,105.94465447767993N,20.675292314315648E,[]
2,Hiệp Hòa District-6944.jpeg,0.9807258397340776,106.02233754425805N,21.3524184153929E,[]
3,Duy Tiên District-841.jpeg,0.97924642264843,105.9417748680756N,20.601181642355538E,[]
4,Duy Tiên District-1709.jpeg,0.9783364683389664,105.93457584406481N,20.621393643799195E,[]
5,Trà Vinh City-1487.jpeg,0.9777654111385344,106.34544614638844N,9.951311307379353E,[]
6,Go Cong Town-2540.jpeg,0.977538526058197,106.68133252539432N,10.408864074847378E,[]
7,Go Cong Town-2608.jpeg,0.977468378841877,106.61831186105434N,10.411559008373121E,[]
8,Go Cong Town-2724.jpeg,0.977313831448555,106.61146178884346N,10.414253941898867E,[]
9,Go Cong Town-2923.jpeg,0.9770819395780564,106.61557183216999N,10.418296342187489E,[]
10,Go Cong Town-3963.jpeg,0.9769978746771812,106.64982219322431N,10.435813410104826E,['53.jpeg']
11,Go Cong Town-3643.jpeg,0.9767224788665771,106.64297212101346N,10.430423543053335E,['844.jpeg']
12,Phu Ly City-3939.jpeg,0.9765093922615052,105.9631762706792N,20.580143746085835E,[]
13,Long Hồ District-4167.jpeg,0.9764596298336984,105.92084037531647N,10.198456707449855E,[]
14,Go Cong Town-2777.jpeg,0.9763758033514024,106.68407255427864N,10.414253941898867E,[]
15,Go Cong Town-3707.jpeg,0.9759412184357644,106.62242190438084N,10.431771009816211E,[]
16,Go Cong Town-2717.jpeg,0.9753618389368056,106.68681258316299N,10.412906475136E,[]
17,Duy Tiên District-3864.jpeg,0.9750965759158134,105.99216803615124N,20.651037912583238E,[]
18,Phu Ly City-1966.jpeg,0.9747211635112762,105.9214458648509N,20.541067209961426E,['637.jpeg']
19,Go Cong Town-2646.jpeg,0.9746830686926842,106.67037240985691N,10.411559008373121E,[]
20,Phu Ly City-17.jpeg,0.9746745377779008,105.90417811071508N,20.48851600620792E,[]
21,Go Cong Town-2711.jpeg,0.9745697751641272,106.67859249650996N,10.412906475136E,[]
22,Thanh Liêm District-3227.jpeg,0.9741957485675812,105.95921486552396N,20.44505547841839E,[]
23,Go Cong Town-3488.jpeg,0.9741829335689544,106.6457121498978N,10.427728609527595E,[]
24,Hiệp Hòa District-4644.jpeg,0.974174439907074,106.01944443519157N,21.321426679845857E,[]
25,Long Xuyen City-3620.jpeg,0.9739521965384484,105.42214915978941N,10.387958008941302E,['485.jpeg']
26,Thái Bình-707.jpeg,0.9739241451025008,106.33063558897192N,20.433857974965385E,[]
27,Go Cong Town-2001.jpeg,0.9738373979926108,106.68544256872082N,10.395389407218653E,[]
29,Thanh Liêm District-1066.jpeg,0.9736533686518668,105.93332984179821N,20.408673875819822E,['374.jpeg']
30,Go Cong Town-2670.jpeg,0.973435215651989,106.62242190438084N,10.412906475136E,[]
31,Go Cong Town-3800.jpeg,0.9733587726950644,106.64297212101346N,10.43311847657908E,[]
32,Go Cong Town-3316.jpeg,0.9732222482562064,106.64023209212911N,10.425033676001851E,[]
33,Hung Yen City-1138.jpeg,0.973159171640873,106.09360514840996N,20.635434808266467E,['304.jpeg']
34,Hiệp Hòa District-5171.jpeg,0.973123587667942,105.95724259026198N,21.329511480423346E,['150.jpeg']
35,Go Cong Town-3971.jpeg,0.9730553105473518,106.66078230876171N,10.435813410104826E,['847.jpeg']
36,Go Cong Town-2498.jpeg,0.9729948416352272,106.62379191882302N,10.408864074847378E,[]
37,Binh Minh Town-692.jpeg,0.972961075603962,105.8570051787719N,10.01133933804682E,['32.jpeg']
38,Hiệp Hòa District-500.jpeg,0.9729125201702118,105.97170813559445N,21.24596854112263E,[]
39,Long Hồ District-1536.jpeg,0.9727788344025612,106.01668754483413N,10.163422571615186E,[]
40,Go Cong Town-2862.jpeg,0.9727085679769516,106.62379191882302N,10.416948875424618E,['842.jpeg']
41,Go Cong Town-2996.jpeg,0.9725001901388168,106.62242190438084N,10.419643808950358E,[]
42,Hiệp Hòa District-305.jpeg,0.9724868685007096,105.97170813559445N,21.239231207308055E,['168.jpeg']
43,Go Cong Town-3831.jpeg,0.9721388220787048,106.68544256872082N,10.43311847657908E,[]
44,Hiệp Hòa District-33.jpeg,0.972123682498932,105.97460124466096N,21.22710400644183E,['167.jpeg']
45,Go Cong Town-1296.jpeg,0.9721180275082588,106.67996251095214N,10.37652487253844E,[]
46,Thanh Liêm District-1366.jpeg,0.9720879420638084,105.9275776143036N,20.415411209634375E,['389.jpeg']
47,Duy Tiên District-3604.jpeg,0.9719721525907516,105.90146033361509N,20.64834297905743E,"['325.jpeg', '326.jpeg', '327.jpeg']"
48,Hiệp Hòa District-3226.jpeg,0.9719691798090936,105.95290292666226N,21.301214678402133E,[]
49,Go Cong Town-1564.jpeg,0.971914604306221,106.63338201991824N,10.384609673115675E,[]
50,Long Hồ District-688.jpeg,0.9719017818570136,106.00847207316117N,10.15264283751221E,[]
52,Go Cong Town-4115.jpeg,0.9718829095363616,106.64982219322431N,10.438508343630575E,['53.jpeg']
54,Mỹ Hào District-1165.jpeg,0.971768707036972,106.08920254855506N,20.91771640921813E,[]
55,Trà Vinh City-1737.jpeg,0.9717658683657646,106.35091834595066N,9.95939610795658E,[]
56,Cai Lậy Town-4972.jpeg,0.9716903567314148,106.12380066850477N,10.454486843635143E,[]
57,Cai Lậy Town-4249.jpeg,0.971659518778324,106.17860407333892N,10.441012176006414E,[]
58,Go Cong Town-2268.jpeg,0.9715856909751892,106.68544256872082N,10.402126741033015E,[]
59,Go Cong Town-2895.jpeg,0.9715692847967148,106.66900239541475N,10.416948875424618E,[]
60,Go Cong Town-2790.jpeg,0.971513457596302,106.61557183216999N,10.415601408661741E,[]
61,Go Cong Town-2201.jpeg,0.9713295623660088,106.66900239541475N,10.40077927427014E,[]
62,Go Cong Town-3338.jpeg,0.971239723265171,106.67037240985691N,10.425033676001851E,[]
63,Duy Tiên District-928.jpeg,0.9712041467428209,105.94033506327347N,20.60387657588136E,[]
64,Bac Giang City-2979.jpeg,0.9711131528019904,106.17937844672568N,21.302259212214892E,['196.jpeg']
65,Go Cong Town-298.jpeg,0.9710752442479134,106.66489235208824N,10.34957553728099E,['857.jpeg']
66,Hiệp Hòa District-4729.jpeg,0.9710266292095184,106.01365821705858N,21.32277414660878E,[]
67,Go Cong Town-2207.jpeg,0.9709916561841964,106.67722248206778N,10.40077927427014E,"['851.jpeg', '54.jpeg']"
72,Go Cong Town-2985.jpeg,0.9705136492848396,106.60735174551695N,10.419643808950358E,[]
73,Go Cong Town-4716.jpeg,0.9704146385192872,106.65119220766648N,10.460067811836536E,[]
74,Go Cong Town-3132.jpeg,0.9703886210918428,106.61146178884346N,10.422338742476105E,[]
76,Tây Ninh City-356.jpeg,0.9703007787466048,106.09076737156332N,11.308398504318339E,['986.jpeg']
77,Go Cong Town-3818.jpeg,0.970291182398796,106.66763238097258N,10.43311847657908E,[]
78,Hiệp Hòa District-4950.jpeg,0.9701528921723366,105.9225252814641N,21.32681654689752E,['158.jpeg']
79,Long Hồ District-4159.jpeg,0.970131978392601,106.00984131843998N,10.197109240686984E,[]
81,Thái Bình-548.jpeg,0.9700349718332292,106.35939816311522N,20.429815574676653E,[]
83,Phu Ly City-2462.jpeg,0.969935342669487,105.96893218872448N,20.54915201053889E,['359.jpeg']
