image,pred,lat,lon,found_Anditi
Long Hồ District-1060.jpeg,0.9865048080682756,10.158032704563702N,105.95096377145056E,['655.jpeg']
Cao Lanh City-2651.jpeg,0.9857328236103058,10.454053539610552N,105.62216777975802E,['940.jpeg']
Long Xuyen City-1941.jpeg,0.9852674007415771,10.352923873106617N,105.44269687971922E,[]
Cai Lậy Town-6403.jpeg,0.9851657003164292,10.484131112418343N,106.11969041314218E,[]
Cai Lậy Town-6622.jpeg,0.9850139766931534,10.492215912995576N,106.09502888096684E,"['761.jpeg', '760.jpeg', '762.jpeg']"
Sa Đéc City-1282.jpeg,0.9846231490373611,10.307142672806073N,105.75729800817835E,[]
Go Cong Town-2540.jpeg,0.9844495132565498,10.408864074847378N,106.68133252539432E,[]
Trà Vinh City-493.jpeg,0.983071245253086,9.909539837730343N,106.31671709868672E,[]
Trà Vinh City-496.jpeg,0.9829334765672684,9.909539837730343N,106.32082124835837E,[]
Long Hồ District-1751.jpeg,0.9828661605715752,10.16611750514093N,106.00847207316117E,[]
Trà Vinh City-1331.jpeg,0.9828258827328682,9.944573973564998N,106.3495502960601E,[]
Phu Ly City-3939.jpeg,0.9824442118406296,20.580143746085835N,105.9631762706792E,[]
Cai Lậy Town-6075.jpeg,0.9823922142386436,10.476046311841102N,106.10187930657109E,[]
Trà Vinh City-498.jpeg,0.9820483326911926,9.909539837730343N,106.32355734813949E,[]
Trà Vinh City-1603.jpeg,0.981877826154232,9.95535370766797N,106.34407809649787E,[]
Trà Vinh City-1487.jpeg,0.9817251563072203,9.951311307379353N,106.34544614638844E,[]
Go Cong Town-3152.jpeg,0.9815599769353868,10.422338742476105N,106.63886207768692E,[]
Châu Thành District-1449.jpeg,0.9813289120793344,10.263744204593879N,106.2525996394792E,[]
Cai Lậy Town-6621.jpeg,0.9813172221183776,10.492215912995576N,106.09365879584597E,"['761.jpeg', '760.jpeg', '762.jpeg']"
Cai Lậy Town-6156.jpeg,0.9811561927199364,10.477393778603979N,106.12791092386735E,[]
Trà Vinh City-1307.jpeg,0.9811285138130188,9.943226506802128N,106.34818224616954E,[]
Long Xuyen City-3913.jpeg,0.9810546264052392,10.394695342755663N,105.41256022382217E,[]
Trà Vinh City-450.jpeg,0.981029324233532,9.90819237096747N,106.31398099890559E,[]
Long Xuyen City-4533.jpeg,0.9809355512261392,10.409517477147261N,105.4276285517707E,[]
Vĩnh Long-929.jpeg,0.9809338971972466,10.24764993811426N,105.910355962458E,[]
Cai Lậy Town-4167.jpeg,0.9809116944670676,10.439664709243544N,106.17586390309722E,[]
Trà Vinh City-663.jpeg,0.9807515889406204,9.914929704781827N,106.32902954770172E,[]
Trà Vinh City-247.jpeg,0.9806922674179076,9.90010757039024N,106.34544614638844E,[]
Tây Ninh City-146.jpeg,0.9805796518921852,11.301661170503968N,106.10451156553712E,['969.jpeg']
Trà Vinh City-624.jpeg,0.9805520623922348,9.913582238018956N,106.32902954770172E,[]
Long Hồ District-6291.jpeg,0.9803739711642264,10.242923110624638N,106.00162584676706E,[]
Trà Vinh City-1110.jpeg,0.9801807925105096,9.932446772699157N,106.34818224616954E,[]
Long Xuyen City-4314.jpeg,0.9801547676324844,10.404127610095772N,105.42214915978941E,[]
Long Hồ District-1530.jpeg,0.9800406619906424,10.163422571615186N,106.00847207316117E,[]
Cai Lậy Town-4576.jpeg,0.9800120890140532,10.446402043057908N,106.19504509478917E,[]
Long Xuyen City-2301.jpeg,0.9797266125679016,10.361008673683854N,105.45091596769116E,[]
Cai Lậy Town-5376.jpeg,0.9797094091773032,10.461224177449507N,106.18682458406407E,[]
Trà Vinh City-429.jpeg,0.9796571880578996,9.906844904204599N,106.34134199671676E,[]
Trà Vinh City-1737.jpeg,0.9796514958143234,9.95939610795658N,106.35091834595066E,[]
Trà Vinh City-694.jpeg,0.979593813419342,9.916277171544703N,106.31808514857725E,[]
Cai Lậy Town-4166.jpeg,0.9795800745487212,10.439664709243544N,106.17449381797637E,[]
Cao Lanh City-4720.jpeg,0.979548804461956,10.49851994278535N,105.57009874080471E,['503.jpeg']
Long Xuyen City-3674.jpeg,0.9794953539967536,10.389305475704175N,105.41256022382217E,[]
Long Xuyen City-1942.jpeg,0.9794380366802216,10.352923873106617N,105.44406672771456E,[]
Go Cong Town-2001.jpeg,0.9794260263442992,10.395389407218653N,106.68544256872082E,[]
Long Xuyen City-3418.jpeg,0.9793983697891236,10.383915608652682N,105.41529991981282E,['919.jpeg']
Long Xuyen City-2113.jpeg,0.9793728590011596,10.356966273395233N,105.43721748773795E,[]
Long Xuyen City-3280.jpeg,0.9793305471539496,10.381220675126938N,105.41393007181749E,[]
Long Xuyen City-3620.jpeg,0.9792788922786712,10.387958008941302N,105.42214915978941E,['485.jpeg']
Trà Vinh City-500.jpeg,0.9792258217930794,9.909539837730343N,106.32629344792062E,[]
Long Hồ District-1710.jpeg,0.9792244657874108,10.16611750514093N,105.95233301672941E,[]
Cao Lanh City-3749.jpeg,0.979162149131298,10.478307941342258N,105.63587015842995E,[]
Cai Lậy Town-3944.jpeg,0.979103147983551,10.435622308954924N,106.19093483942662E,['779.jpeg']
Cai Lậy Town-6338.jpeg,0.979095883667469,10.481436178892595N,106.15394254116356E,[]
Trà Vinh City-431.jpeg,0.9790632277727128,9.906844904204599N,106.34407809649787E,[]
Trà Vinh City-244.jpeg,0.9790169522166252,9.90010757039024N,106.34134199671676E,[]
Cai Lậy Town-6119.jpeg,0.9789982065558434,10.476046311841102N,106.16216305188868E,[]
Cai Lậy Town-4340.jpeg,0.9789830446243286,10.442359642769288N,106.19504509478917E,[]
Cai Lậy Town-3350.jpeg,0.9789033085107804,10.424842574851947N,106.14572203043844E,[]
Long Xuyen City-4480.jpeg,0.9788409993052484,10.40817001038439N,105.4276285517707E,[]
Sa Đéc City-618.jpeg,0.9788318425416946,10.285583204600115N,105.72853570377463E,[]
Long Xuyen City-1772.jpeg,0.9788132011890412,10.348881472817999N,105.45639535967244E,[]
Sa Đéc City-1535.jpeg,0.9788034409284592,10.316574940146179N,105.73401423794677E,[]
Long Hồ District-3048.jpeg,0.978769339621067,10.182287106295396N,105.94274829977763E,[]
Long Xuyen City-3683.jpeg,0.9786791130900384,10.389305475704175N,105.42488885578004E,[]
Go Cong Town-1328.jpeg,0.9786255061626434,10.37787233930131N,106.65393223655084E,[]
Long Xuyen City-3488.jpeg,0.9786156117916108,10.385263075415558N,105.41803961580345E,[]
Long Xuyen City-4189.jpeg,0.9786153435707092,10.401432676570025N,105.40160143985962E,[]
Trà Vinh City-2074.jpeg,0.9784392341971396,9.968828375296683N,106.35365444573176E,"['755.jpeg', '51.jpeg', '754.jpeg']"
Cao Lanh City-4532.jpeg,0.9783087745308876,10.494477542496732N,105.59202254667983E,[]
Trà Vinh City-535.jpeg,0.9782515615224838,9.910887304493212N,106.31808514857725E,[]
Long Xuyen City-2835.jpeg,0.9781912490725516,10.371788407786832N,105.44954611969584E,"['12.jpeg', '928.jpeg']"
Vĩnh Long-1368.jpeg,0.9781610816717148,10.254387271928618N,105.94869725199236E,[]
Cai Lậy Town-4083.jpeg,0.9780609235167504,10.43831724248067N,106.17038356261381E,[]
