image,pred,lon,lat,min_probs,max_probs,mean_probs
978.jpeg,0.98165005,11813511.32974132,1270237.3009131537,0.514342412352562,0.9767915830016136,0.8186436083633453
122.jpeg,0.9807227,11800393.680832757,2301169.5093886307,0.0411953807342797,0.9541360437870026,0.3465199390064097
373.jpeg,0.9761263,11792632.434532398,2322513.015459868,0.0716314590536058,0.9552911520004272,0.3544123033352662
322.jpeg,0.97573996,11790296.62486418,2350059.1612061705,0.040480509866029,0.9548566937446594,0.44478350126051475
687.jpeg,0.9749448,11778341.215496125,1126286.6294048545,0.0241952189244329,0.8287240415811539,0.1425824350735638
226.jpeg,0.9735197,11812064.185145328,2382205.06104136,0.0337819135747849,0.9608198031783104,0.2632367569603957
872.jpeg,0.973034,11794080.86221968,2304784.661425381,0.0238745373208075,0.9592436477541924,0.5948847780528013
878.jpeg,0.97301143,11799256.61840824,2298813.268039896,0.0488024230580776,0.9505365192890168,0.3145519325820108
306.jpeg,0.9725371,11801536.17841019,2354517.589465253,0.0180638324236497,0.9420885890722276,0.23230379911547058
564.jpeg,0.97226983,11792618.06172475,1143993.9035878708,0.0957955997437238,0.9502307623624802,0.6455607562093064
269.jpeg,0.9722402,11803118.132247638,2356344.1138916137,0.0418385080993175,0.9553184062242508,0.3746998529531993
841.jpeg,0.97218174,11869724.22561244,1167927.288265108,0.0828549903817474,0.9600093588232994,0.6108600163715892
238.jpeg,0.97197515,11804910.586791158,2382956.773747098,0.0852262685075402,0.9644068628549576,0.5094334121261325
423.jpeg,0.9717562,11796648.49833907,2296795.5707993694,0.0378373803105205,0.9555330350995064,0.353764271538239
445.jpeg,0.9717148,11836142.885210805,2323012.362613537,0.0351475779898464,0.9722895100712776,0.7140440375660546
110.jpeg,0.9716483,11788822.61622789,2336805.988103454,0.0947694536298513,0.9572080448269844,0.7247245547478087
82.jpeg,0.97131324,11813564.09633606,1165619.715980143,0.0599370738491416,0.9678928777575492,0.6640597903169692
368.jpeg,0.9712903,11796439.950141463,2327299.055664581,0.0564346686005592,0.9592246189713478,0.6060021840967238
239.jpeg,0.97101235,11804896.019800398,2382957.620933094,0.0852262685075402,0.9644068628549576,0.5094334121261325
80.jpeg,0.9709524,11814038.758826012,1161832.6314797946,0.1455826386809349,0.9501707404851912,0.6918373803862117
466.jpeg,0.9709435,11701350.74113416,1199779.5512820035,0.0512033803388476,0.9751881584525108,0.43799173790547585
118.jpeg,0.9708858,11792291.292100323,2289476.888544067,0.0423096874728798,0.9575708508491516,0.3051525975377964
751.jpeg,0.97079897,11838143.10602467,1108056.6529708127,0.0415670210495591,0.9746387153863908,0.8080487380632095
800.jpeg,0.97033036,11833812.962152015,1161154.1968394967,0.0827421694993972,0.9266916438937188,0.33145966483280065
220.jpeg,0.9702296,11814030.968457526,2380504.825634585,0.1123435897752642,0.9640592634677888,0.7841024046231594
525.jpeg,0.97016114,11771292.609123016,1153178.0490602124,0.4529207041487098,0.9666868671774864,0.781107180337939
478.jpeg,0.97009385,11694344.990291148,1193505.1140008476,0.0482825208455324,0.9708767235279084,0.5290088002156053
446.jpeg,0.9700485,11836175.055093732,2322937.556489507,0.0351475779898464,0.9722895100712776,0.7221995249274187
804.jpeg,0.9700458,11836166.430762373,1160150.4032079896,0.0500075966119766,0.9588292986154556,0.5068005431094207
259.jpeg,0.9698323,11806611.336772382,2376865.140112905,0.0382566025946289,0.9543208852410316,0.3793595081369858
432.jpeg,0.9697786,11836074.650446463,2324497.693625991,0.028506449656561,0.962386354804039,0.4881025366817734
96.jpeg,0.9689441,11814195.27499896,1268298.5357633992,0.0466582938097417,0.9511852487921716,0.48133630290006596
228.jpeg,0.96859175,11809306.013601098,2383175.664235263,0.0315811219625175,0.959775261580944,0.1526989227471252
857.jpeg,0.9684843,11873820.27384781,1158487.7754624228,0.2889907788485288,0.9701639786362648,0.7546123134670779
854.jpeg,0.96801364,11876921.432508595,1159631.5365201414,0.0775631200522184,0.9640571475028992,0.55974932677216
911.jpeg,0.9678159,11773933.787171546,1150931.2034671202,0.0456601395271718,0.9444606229662896,0.5575148473144509
883.jpeg,0.9677173,11796819.525800226,2299541.319208895,0.0389153864234685,0.9557256251573564,0.43232275848276913
97.jpeg,0.9677049,11812807.619129203,1270935.089921734,0.915251724421978,0.9751169458031654,0.9417901551350951
776.jpeg,0.96764594,11820904.46903043,1168703.9197102897,0.2261180551722645,0.9675293788313866,0.689983817955686
544.jpeg,0.96761996,11794093.315900616,1145246.778725296,0.8193171918392181,0.97724000364542,0.9372190054919984
850.jpeg,0.96742153,11875121.509546977,1160071.9606400805,0.0478859390132129,0.9612713903188704,0.5646319757797755
244.jpeg,0.9673369,11803919.775894608,2378376.555311827,0.0267582880333066,0.9548952877521516,0.19492817900350523
767.jpeg,0.96732426,11813888.96764953,1164878.8344618783,0.1286269864067435,0.955927699804306,0.44855294718096655
229.jpeg,0.9672291,11809544.062624808,2382487.000395591,0.0401230934076011,0.5831728056073189,0.1556450654752552
13.jpeg,0.9671494,11739672.086755058,1158744.4181063178,0.0574340745806694,0.9022756963968276,0.3406623643822968
