,image,pred,lon,lat
0,Linh Xuan Ward-70.jpeg,0.9708102643489838,106.76596384634573E,10.876351303619344N
1,Hiep Binh Phuoc Ward-342.jpeg,0.9688787460327148,106.72115885768011E,10.862344005052638N
2,Tam Binh Ward-140.jpeg,0.966231107711792,106.7339857899446E,10.873140437430866N
3,Linh Xuan Ward-147.jpeg,0.9657654836773872,106.76321957317288E,10.883088637433714N
4,Linh Xuan Ward-149.jpeg,0.9640972763299942,106.76596384634573E,10.883088637433714N
5,Linh Xuan Ward-91.jpeg,0.9627075716853142,106.77282452927795E,10.87769877038222N
6,Binh Chieu Ward-67.jpeg,0.9617186635732652,106.7221927273828E,10.875694570094184N
7,Hiep Binh Phuoc Ward-186.jpeg,0.9610379114747049,106.72253086695538E,10.847521870661028N
9,Binh Chieu Ward-188.jpeg,0.9604987353086472,106.73591419507252E,10.881084437145677N
10,Tam Binh Ward-61.jpeg,0.9599167928099632,106.74359027988919E,10.866403103616495N
11,Binh Chieu Ward-190.jpeg,0.9590598493814468,106.73865848861047E,10.881084437145677N
12,Binh Chieu Ward-81.jpeg,0.9575828686356544,106.7414027821484E,10.875694570094184N
13,Linh Xuan Ward-138.jpeg,0.9559135138988496,106.77145239269153E,10.881741170670843N
15,Linh Xuan Ward-179.jpeg,0.9548553600907326,106.76870811951865E,10.885783570959461N
20,Tam Binh Ward-78.jpeg,0.9497577250003816,106.7463344198734E,10.867750570379368N
24,Hiep Binh Phuoc Ward-80.jpeg,0.9356384500861168,106.71841483912952E,10.840784536846662N
27,Tam Binh Ward-93.jpeg,0.9258525520563126,106.74221820989712E,10.86909803714224N
28,Tam Binh Ward-55.jpeg,0.9249611720442772,106.73535785993668E,10.866403103616495N
29,Hiep Binh Phuoc Ward-73.jpeg,0.924198053777218,106.70881077420239E,10.840784536846662N
31,Binh Chieu Ward-25.jpeg,0.9203541204333304,106.73316990153458E,10.872999636568434N
32,Linh Xuan Ward-89.jpeg,0.9168165549635888,106.77008025610506E,10.87769877038222N
33,Linh Xuan Ward-155.jpeg,0.9145309552550316,106.77419666586437E,10.883088637433714N
36,Binh Chieu Ward-56.jpeg,0.9023766815662384,106.74689136922427E,10.87434710333131N
37,Linh Xuan Ward-151.jpeg,0.9022977724671364,106.76870811951865E,10.883088637433714N
38,Linh Xuan Ward-227.jpeg,0.871338002383709,106.7673359829322E,10.893868371536705N
41,Binh Chieu Ward-244.jpeg,0.8513404801487923,106.72768131445869E,10.885126837434298N
42,Linh Xuan Ward-83.jpeg,0.8436941877007484,106.76184743658641E,10.87769877038222N
43,Binh Chieu Ward-156.jpeg,0.8335310965776443,106.7263091676897E,10.879736970382805N
44,Hiep Binh Phuoc Ward-179.jpeg,0.8255373202264309,106.71292680202829E,10.847521870661028N
45,Linh Xuan Ward-204.jpeg,0.8166244104504585,106.77282452927795E,10.888478504485208N
46,Binh Chieu Ward-184.jpeg,0.7942412942647934,106.73042560799664E,10.881084437145677N
47,Linh Xuan Ward-52.jpeg,0.7875362411141396,106.76321957317288E,10.875003836856475N
48,Linh Xuan Ward-43.jpeg,0.7860692068934441,106.77282452927795E,10.873656370093599N
50,Hiep Binh Phuoc Ward-298.jpeg,0.7612341120839119,106.72390287623071E,10.856954138001145N
51,Binh Chieu Ward-78.jpeg,0.7412689626216888,106.73728634184151E,10.875694570094184N
52,Tam Binh Ward-29.jpeg,0.739774726331234,106.73261371995252E,10.86370817009075N
53,Binh Chieu Ward-347.jpeg,0.7382558211684227,106.72082058061385E,10.895906571537289N
62,Binh Chieu Ward-135.jpeg,0.6722056325525045,106.73591419507252E,10.878389503619928N
64,Binh Chieu Ward-209.jpeg,0.6657289806753397,106.73316990153458E,10.882431903908552N
