,image,pred,lon,lat
0,Linh Xuan Ward-163.jpeg,0.9651706144213676,106.76459170975932E,10.884436104196588N
2,Linh Xuan Ward-70.jpeg,0.9635870680212976,106.76596384634573E,10.876351303619344N
5,Linh Xuan Ward-138.jpeg,0.957316443324089,106.77145239269153E,10.881741170670843N
6,Hiep Binh Phuoc Ward-342.jpeg,0.9568491578102112,106.72115885768011E,10.862344005052638N
7,Tam Binh Ward-140.jpeg,0.9563708081841468,106.7339857899446E,10.873140437430866N
8,Linh Xuan Ward-91.jpeg,0.9555788561701776,106.77282452927795E,10.87769877038222N
9,Binh Chieu Ward-188.jpeg,0.9553503096103668,106.73591419507252E,10.881084437145677N
10,Linh Xuan Ward-204.jpeg,0.954477682709694,106.77282452927795E,10.888478504485208N
11,Binh Chieu Ward-190.jpeg,0.9542009979486464,106.73865848861047E,10.881084437145677N
12,Linh Xuan Ward-155.jpeg,0.952263668179512,106.77419666586437E,10.883088637433714N
13,Binh Chieu Ward-67.jpeg,0.9522017240524292,106.7221927273828E,10.875694570094184N
14,Hiep Binh Phuoc Ward-186.jpeg,0.9514876529574394,106.72253086695538E,10.847521870661028N
15,Hiep Binh Phuoc Ward-73.jpeg,0.9507248401641846,106.70881077420239E,10.840784536846662N
17,Tam Binh Ward-79.jpeg,0.9486473575234412,106.74770648986546E,10.867750570379368N
18,Hiep Binh Phuoc Ward-179.jpeg,0.9481753036379814,106.71292680202829E,10.847521870661028N
19,Binh Chieu Ward-81.jpeg,0.947394423186779,106.7414027821484E,10.875694570094184N
22,Tam Binh Ward-61.jpeg,0.9437080547213554,106.74359027988919E,10.866403103616495N
24,Linh Xuan Ward-179.jpeg,0.94310761988163,106.76870811951865E,10.885783570959461N
30,Linh Xuan Ward-43.jpeg,0.938623048365116,106.77282452927795E,10.873656370093599N
32,Linh Xuan Ward-151.jpeg,0.9267193824052812,106.76870811951865E,10.883088637433714N
33,Binh Chieu Ward-156.jpeg,0.92417611181736,106.7263091676897E,10.879736970382805N
36,Linh Xuan Ward-227.jpeg,0.9168203696608545,106.7673359829322E,10.893868371536705N
37,Linh Xuan Ward-83.jpeg,0.9162587374448776,106.76184743658641E,10.87769877038222N
38,Tam Binh Ward-93.jpeg,0.9141921475529672,106.74221820989712E,10.86909803714224N
39,Binh Chieu Ward-25.jpeg,0.9107227697968484,106.73316990153458E,10.872999636568434N
40,Hiep Binh Phuoc Ward-194.jpeg,0.909333124756813,106.70469474637649E,10.848869337423903N
41,Hiep Binh Phuoc Ward-80.jpeg,0.9036797285079956,106.71841483912952E,10.840784536846662N
44,Binh Chieu Ward-217.jpeg,0.8952566459774971,106.74551922245533E,10.882431903908552N
45,Linh Xuan Ward-52.jpeg,0.8912726193666458,106.76321957317288E,10.875003836856475N
47,Tam Binh Ward-29.jpeg,0.8827141299843788,106.73261371995252E,10.86370817009075N
50,Binh Chieu Ward-209.jpeg,0.872807577252388,106.73316990153458E,10.882431903908552N
51,Binh Chieu Ward-56.jpeg,0.8725642040371895,106.74689136922427E,10.87434710333131N
52,Binh Chieu Ward-338.jpeg,0.8719698935747147,106.71670414030693E,10.894559104774414N
54,Binh Chieu Ward-101.jpeg,0.8682954087853432,106.72905346122765E,10.877042036857056N
55,Linh Xuan Ward-218.jpeg,0.8679627552628517,106.77008025610506E,10.891173438010956N
56,Tam Binh Ward-55.jpeg,0.866545058786869,106.73535785993668E,10.866403103616495N
58,Binh Chieu Ward-78.jpeg,0.8634907901287079,106.73728634184151E,10.875694570094184N
59,Linh Xuan Ward-32.jpeg,0.8588262796401978,106.77968521221015E,10.872308903330724N
60,Binh Chieu Ward-192.jpeg,0.8550695031881332,106.7414027821484E,10.881084437145677N
61,Tam Binh Ward-21.jpeg,0.8516255468130112,106.73535785993668E,10.862360703327875N
62,Binh Chieu Ward-239.jpeg,0.8431966379284859,106.72082058061385E,10.885126837434298N
63,Tam Binh Ward-89.jpeg,0.8356575965881348,106.73672992992879E,10.86909803714224N
64,Linh Xuan Ward-104.jpeg,0.8331061154603958,106.76870811951865E,10.879046237145094N
65,Binh Chieu Ward-135.jpeg,0.8204438798129559,106.73591419507252E,10.878389503619928N
67,Binh Chieu Ward-304.jpeg,0.8077248111367226,106.72082058061385E,10.890516704485794N
71,Hiep Binh Phuoc Ward-132.jpeg,0.7706921957433224,106.70606675565179E,10.844826937135283N
72,Hiep Binh Phuoc Ward-298.jpeg,0.7692760564386845,106.72390287623071E,10.856954138001145N
73,Linh Xuan Ward-233.jpeg,0.7625945657491684,106.77008025610506E,10.89521583829958N
75,Linh Xuan Ward-25.jpeg,0.7486195527017117,106.77008025610506E,10.872308903330724N
77,Linh Xuan Ward-115.jpeg,0.745408684015274,106.76184743658641E,10.880393703907968N
78,Binh Chieu Ward-184.jpeg,0.7435530610382557,106.73042560799664E,10.881084437145677N
79,Hiep Binh Phuoc Ward-290.jpeg,0.7427704036235809,106.72664689478133E,10.855606671238268N
80,Hiep Binh Phuoc Ward-35.jpeg,0.730808150023222,106.70881077420239E,10.838089603320915N
81,Binh Chieu Ward-292.jpeg,0.7287319358438253,106.72493702092075E,10.889169237722918N
84,Binh Chieu Ward-60.jpeg,0.7160812206566334,106.75237995630019E,10.87434710333131N
87,Hiep Binh Phuoc Ward-96.jpeg,0.7066346034407616,106.71292680202829E,10.842132003609533N
89,Linh Xuan Ward-197.jpeg,0.7025066260248423,106.77694093903727E,10.887131037722336N
90,Binh Chieu Ward-234.jpeg,0.6986672896891832,106.73728634184151E,10.883779370671427N
91,Tam Binh Ward-156.jpeg,0.6979480739682913,106.74770648986546E,10.874487904193737N
92,Binh Chieu Ward-144.jpeg,0.6954080425202847,106.74826351599329E,10.878389503619928N
94,Binh Chieu Ward-311.jpeg,0.6861487254500389,106.73042560799664E,10.890516704485794N
96,Linh Xuan Ward-187.jpeg,0.6789986696094275,106.76321957317288E,10.887131037722336N
97,Hiep Binh Phuoc Ward-267.jpeg,0.6785104908049107,106.72253086695538E,10.852911737712523N
100,Linh Xuan Ward-56.jpeg,0.6585403922945261,106.76870811951865E,10.875003836856475N
102,Hiep Binh Phuoc Ward-45.jpeg,0.6497275978326797,106.72253086695538E,10.838089603320915N
103,Binh Chieu Ward-244.jpeg,0.6490496546030045,106.72768131445869E,10.885126837434298N
105,Linh Xuan Ward-181.jpeg,0.6457622833549976,106.77145239269153E,10.885783570959461N
106,Linh Xuan Ward-161.jpeg,0.6443011350929737,106.76184743658641E,10.884436104196588N
107,Hiep Binh Phuoc Ward-82.jpeg,0.6379950037226081,106.72115885768011E,10.840784536846662N
108,Hiep Binh Phuoc Ward-257.jpeg,0.635869724676013,106.70469474637649E,10.852911737712523N
111,Tam Binh Ward-83.jpeg,0.6208637729287148,106.72849750997626E,10.86909803714224N
112,Hiep Binh Phuoc Ward-416.jpeg,0.6202134378254414,106.71978684840481E,10.870428805629881N
117,Binh Chieu Ward-336.jpeg,0.6068336069583893,106.72493702092075E,10.893211638011541N
118,Binh Chieu Ward-347.jpeg,0.6040403582155704,106.72082058061385E,10.895906571537289N
