image,pred,lon,lat
Binh Chieu Ward-213.jpeg,0.3973814286291599,106.74003063537943E,10.882431903908552N
Binh Chieu Ward-212.jpeg,0.34416065365076065,106.73728634184151E,10.882431903908552N
Binh Chieu Ward-81.jpeg,0.2724251579493284,106.7414027821484E,10.875694570094184N
Binh Chieu Ward-191.jpeg,0.2566658901050687,106.74003063537943E,10.881084437145677N
Binh Chieu Ward-214.jpeg,0.2072097803466022,106.7414027821484E,10.882431903908552N
Binh Chieu Ward-192.jpeg,0.20233602356165648,106.7414027821484E,10.881084437145677N
Linh Xuan Ward-44.jpeg,0.19765173085033894,106.77419666586437E,10.873656370093599N
Binh Chieu Ward-47.jpeg,0.18360132910311222,106.73454204830357E,10.87434710333131N
Binh Chieu Ward-190.jpeg,0.15973028633743525,106.73865848861047E,10.881084437145677N
Linh Xuan Ward-7.jpeg,0.15582849318161607,106.78105734879661E,10.869613969804979N
Binh Chieu Ward-135.jpeg,0.15042187459766865,106.73591419507252E,10.878389503619928N
Binh Chieu Ward-80.jpeg,0.14811585191637278,106.74003063537943E,10.875694570094184N
Linh Xuan Ward-28.jpeg,0.14390609227120876,106.77419666586437E,10.872308903330724N
Binh Chieu Ward-83.jpeg,0.12256048619747162,106.74414707568636E,10.875694570094184N
Linh Xuan Ward-19.jpeg,0.11976693756878376,106.78242948538302E,10.870961436567852N
Binh Chieu Ward-82.jpeg,0.11895705154165626,106.74277492891738E,10.875694570094184N
Binh Chieu Ward-189.jpeg,0.117480359505862,106.73728634184151E,10.881084437145677N
Binh Chieu Ward-106.jpeg,0.1144255013205111,106.73591419507252E,10.877042036857056N
Linh Xuan Ward-43.jpeg,0.10049262852407992,106.77282452927795E,10.873656370093599N
Binh Chieu Ward-164.jpeg,0.09378882916644216,106.73728634184151E,10.879736970382805N
Binh Chieu Ward-286.jpeg,0.087650730391033,106.71670414030693E,10.889169237722918N
Tam Binh Ward-140.jpeg,0.08690033759921789,106.7339857899446E,10.873140437430866N
Binh Chieu Ward-234.jpeg,0.08247269433923066,106.73728634184151E,10.883779370671427N
Linh Xuan Ward-157.jpeg,0.08208622224628925,106.77694093903727E,10.883088637433714N
Linh Xuan Ward-65.jpeg,0.07643757434561849,106.78105734879661E,10.875003836856475N
Binh Chieu Ward-26.jpeg,0.07591072982177138,106.73454204830357E,10.872999636568434N
Binh Chieu Ward-110.jpeg,0.06865017674863338,106.7414027821484E,10.877042036857056N
Linh Xuan Ward-197.jpeg,0.0643980570603162,106.77694093903727E,10.887131037722336N
Binh Chieu Ward-285.jpeg,0.06372846418526024,106.71533199353793E,10.889169237722918N
Linh Xuan Ward-49.jpeg,0.06367919500917196,106.78105734879661E,10.873656370093599N
Linh Xuan Ward-34.jpeg,0.06316907471045852,106.78242948538302E,10.872308903330724N
Tam Binh Ward-79.jpeg,0.06152144190855324,106.74770648986546E,10.867750570379368N
Tam Binh Ward-78.jpeg,0.05608875211328268,106.7463344198734E,10.867750570379368N
Tam Binh Ward-153.jpeg,0.05495626572519541,106.74359027988919E,10.874487904193737N
Linh Xuan Ward-81.jpeg,0.0544499522075057,106.78105734879661E,10.876351303619344N
Linh Xuan Ward-64.jpeg,0.053542338544502854,106.77968521221015E,10.875003836856475N
Linh Xuan Ward-91.jpeg,0.052467173896729946,106.77282452927795E,10.87769877038222N
Binh Chieu Ward-48.jpeg,0.04926040722057223,106.73591419507252E,10.87434710333131N
Linh Xuan Ward-80.jpeg,0.04902219329960644,106.77968521221015E,10.876351303619344N
Binh Chieu Ward-165.jpeg,0.04734233603812754,106.73865848861047E,10.879736970382805N
Linh Xuan Ward-143.jpeg,0.046485345577821136,106.77831307562371E,10.881741170670843N
Binh Chieu Ward-163.jpeg,0.0463897482259199,106.73591419507252E,10.879736970382805N
