,image,pred,lon,lat
0,Binh Chieu Ward-213.jpeg,0.3973814286291599,106.74003063537943E,10.882431903908552N
1,Binh Chieu Ward-212.jpeg,0.3441606536507606,106.73728634184151E,10.882431903908552N
2,Binh Chieu Ward-81.jpeg,0.2724251579493284,106.7414027821484E,10.875694570094184N
6,Linh Xuan Ward-44.jpeg,0.1976517308503389,106.77419666586437E,10.873656370093599N
7,Binh Chieu Ward-47.jpeg,0.1836013291031122,106.73454204830357E,10.87434710333131N
9,Linh Xuan Ward-7.jpeg,0.155828493181616,106.78105734879661E,10.869613969804979N
10,Binh Chieu Ward-135.jpeg,0.1504218745976686,106.73591419507252E,10.878389503619928N
13,Binh Chieu Ward-83.jpeg,0.1225604861974716,106.74414707568636E,10.875694570094184N
20,Binh Chieu Ward-286.jpeg,0.087650730391033,106.71670414030693E,10.889169237722918N
21,Tam Binh Ward-140.jpeg,0.0869003375992178,106.7339857899446E,10.873140437430866N
23,Linh Xuan Ward-157.jpeg,0.0820862222462892,106.77694093903727E,10.883088637433714N
24,Linh Xuan Ward-65.jpeg,0.0764375743456184,106.78105734879661E,10.875003836856475N
27,Linh Xuan Ward-197.jpeg,0.0643980570603162,106.77694093903727E,10.887131037722336N
30,Linh Xuan Ward-34.jpeg,0.0631690747104585,106.78242948538302E,10.872308903330724N
31,Tam Binh Ward-79.jpeg,0.0615214419085532,106.74770648986546E,10.867750570379368N
33,Tam Binh Ward-153.jpeg,0.0549562657251954,106.74359027988919E,10.874487904193737N
36,Linh Xuan Ward-91.jpeg,0.0524671738967299,106.77282452927795E,10.87769877038222N
39,Binh Chieu Ward-165.jpeg,0.0473423360381275,106.73865848861047E,10.879736970382805N
44,Binh Chieu Ward-193.jpeg,0.0446736118756234,106.74277492891738E,10.881084437145677N
46,Tam Binh Ward-92.jpeg,0.0437402359675616,106.74084613990506E,10.86909803714224N
52,Linh Xuan Ward-83.jpeg,0.0396648906171321,106.76184743658641E,10.87769877038222N
59,Linh Xuan Ward-69.jpeg,0.0374272963963449,106.76459170975932E,10.876351303619344N
61,Linh Xuan Ward-144.jpeg,0.0365841265302151,106.77968521221015E,10.881741170670843N
62,Linh Xuan Ward-58.jpeg,0.0350987752899527,106.77145239269153E,10.875003836856475N
63,Binh Chieu Ward-251.jpeg,0.0336836697533726,106.73728634184151E,10.885126837434298N
66,Tam Binh Ward-62.jpeg,0.0318865797016769,106.7449623498813E,10.866403103616495N
71,Binh Chieu Ward-328.jpeg,0.0304028367390856,106.71395984676897E,10.893211638011541N
73,Linh Xuan Ward-180.jpeg,0.0287450373871251,106.77008025610506E,10.885783570959461N
75,Linh Xuan Ward-78.jpeg,0.028403979842551,106.77694093903727E,10.876351303619344N
79,Binh Chieu Ward-50.jpeg,0.0272690125275403,106.73865848861047E,10.87434710333131N
83,Binh Chieu Ward-143.jpeg,0.0266179558821022,106.74689136922427E,10.878389503619928N
85,Linh Xuan Ward-207.jpeg,0.0258182887919247,106.76459170975932E,10.889825971248083N
87,Hiep Binh Phuoc Ward-312.jpeg,0.0254805934382602,106.72801890405661E,10.858301604764018N
