,image,pred,lon,lat
0,Tam Binh Ward-140.jpeg,0.9658855572342872,106.7339857899446E,10.873140437430866N
1,Linh Xuan Ward-91.jpeg,0.9623404443264008,106.77282452927795E,10.87769877038222N
2,Linh Xuan Ward-70.jpeg,0.959395371377468,106.76596384634573E,10.876351303619344N
3,Binh Chieu Ward-67.jpeg,0.9562652185559272,106.7221927273828E,10.875694570094184N
4,Binh Chieu Ward-189.jpeg,0.955851823091507,106.73728634184151E,10.881084437145677N
5,Linh Xuan Ward-147.jpeg,0.9506245851516724,106.76321957317288E,10.883088637433714N
6,Hiep Binh Phuoc Ward-186.jpeg,0.9504080563783646,106.72253086695538E,10.847521870661028N
8,Binh Chieu Ward-81.jpeg,0.935367338359356,106.7414027821484E,10.875694570094184N
10,Linh Xuan Ward-179.jpeg,0.9122911617159845,106.76870811951865E,10.885783570959461N
13,Hiep Binh Phuoc Ward-342.jpeg,0.8805617541074753,106.72115885768011E,10.862344005052638N
14,Linh Xuan Ward-197.jpeg,0.8475242890417576,106.77694093903727E,10.887131037722336N
15,Hiep Binh Phuoc Ward-80.jpeg,0.8385633155703545,106.71841483912952E,10.840784536846662N
16,Linh Xuan Ward-123.jpeg,0.8322270885109901,106.77282452927795E,10.880393703907968N
17,Linh Xuan Ward-149.jpeg,0.7700432315468788,106.76596384634573E,10.883088637433714N
19,Binh Chieu Ward-191.jpeg,0.7366232201457024,106.74003063537943E,10.881084437145677N
21,Hiep Binh Phuoc Ward-194.jpeg,0.6803295016288757,106.70469474637649E,10.848869337423903N
23,Binh Chieu Ward-209.jpeg,0.606055986136198,106.73316990153458E,10.882431903908552N
24,Linh Xuan Ward-43.jpeg,0.5207155225798488,106.77282452927795E,10.873656370093599N
27,Binh Chieu Ward-56.jpeg,0.4466643705964088,106.74689136922427E,10.87434710333131N
28,Hiep Binh Phuoc Ward-73.jpeg,0.4435258191078901,106.70881077420239E,10.840784536846662N
29,Hiep Binh Phuoc Ward-290.jpeg,0.4227106738835573,106.72664689478133E,10.855606671238268N
31,Linh Xuan Ward-50.jpeg,0.383087083697319,106.78242948538302E,10.873656370093599N
32,Tam Binh Ward-78.jpeg,0.3671573931351304,106.7463344198734E,10.867750570379368N
35,Binh Chieu Ward-292.jpeg,0.3207969279028475,106.72493702092075E,10.889169237722918N
36,Binh Chieu Ward-123.jpeg,0.3132477682083845,106.71944843384486E,10.878389503619928N
37,Binh Chieu Ward-184.jpeg,0.3096004873514175,106.73042560799664E,10.881084437145677N
38,Tam Binh Ward-93.jpeg,0.3047607466578483,106.74221820989712E,10.86909803714224N
40,Linh Xuan Ward-233.jpeg,0.2955273352563381,106.77008025610506E,10.89521583829958N
41,Linh Xuan Ward-144.jpeg,0.2938883909955621,106.77968521221015E,10.881741170670843N
42,Hiep Binh Phuoc Ward-132.jpeg,0.2907521477900445,106.70606675565179E,10.844826937135283N
43,Linh Xuan Ward-130.jpeg,0.2905863877385854,106.78242948538302E,10.880393703907968N
45,Linh Xuan Ward-193.jpeg,0.2660283553414047,106.77145239269153E,10.887131037722336N
46,Tam Binh Ward-61.jpeg,0.2647141092456877,106.74359027988919E,10.866403103616495N
47,Hiep Binh Phuoc Ward-155.jpeg,0.2610098868608475,106.70881077420239E,10.846174403898155N
49,Binh Chieu Ward-47.jpeg,0.2515404475852847,106.73454204830357E,10.87434710333131N
50,Binh Chieu Ward-120.jpeg,0.2501168306916952,106.71533199353793E,10.878389503619928N
