,image,pred,lon,lat
0,Tam Binh Ward-140.jpeg,0.950441673398018,106.7339857899446E,10.873140437430866N
1,Hiep Binh Phuoc Ward-186.jpeg,0.9453061744570732,106.72253086695538E,10.847521870661028N
2,Linh Xuan Ward-91.jpeg,0.9440325796604156,106.77282452927795E,10.87769877038222N
4,Binh Chieu Ward-189.jpeg,0.932604119181633,106.73728634184151E,10.881084437145677N
5,Binh Chieu Ward-67.jpeg,0.9308236092329024,106.7221927273828E,10.875694570094184N
6,Linh Xuan Ward-70.jpeg,0.9294350072741508,106.76596384634573E,10.876351303619344N
7,Linh Xuan Ward-147.jpeg,0.731484804302454,106.76321957317288E,10.883088637433714N
8,Binh Chieu Ward-81.jpeg,0.6860214984044433,106.7414027821484E,10.875694570094184N
9,Hiep Binh Phuoc Ward-342.jpeg,0.620893394574523,106.72115885768011E,10.862344005052638N
10,Linh Xuan Ward-179.jpeg,0.340728004463017,106.76870811951865E,10.885783570959461N
12,Linh Xuan Ward-155.jpeg,0.1988324122503399,106.77419666586437E,10.883088637433714N
13,Linh Xuan Ward-149.jpeg,0.1242473726160824,106.76596384634573E,10.883088637433714N
14,Binh Chieu Ward-292.jpeg,0.1033440050669014,106.72493702092075E,10.889169237722918N
15,Hiep Binh Phuoc Ward-80.jpeg,0.0994875216856598,106.71841483912952E,10.840784536846662N
17,Tam Binh Ward-78.jpeg,0.0763721913099289,106.7463344198734E,10.867750570379368N
18,Linh Xuan Ward-43.jpeg,0.0749821695499122,106.77282452927795E,10.873656370093599N
21,Linh Xuan Ward-50.jpeg,0.0543862162157893,106.78242948538302E,10.873656370093599N
23,Binh Chieu Ward-107.jpeg,0.0530568077228963,106.73728634184151E,10.877042036857056N
24,Binh Chieu Ward-73.jpeg,0.0512571791186928,106.73042560799664E,10.875694570094184N
25,Hiep Binh Phuoc Ward-194.jpeg,0.050569259095937,106.70469474637649E,10.848869337423903N
26,Linh Xuan Ward-233.jpeg,0.0504174786619842,106.77008025610506E,10.89521583829958N
27,Linh Xuan Ward-68.jpeg,0.0495106424205005,106.76321957317288E,10.876351303619344N
29,Linh Xuan Ward-138.jpeg,0.0480347359552979,106.77145239269153E,10.881741170670843N
32,Binh Chieu Ward-213.jpeg,0.0478874025866389,106.74003063537943E,10.882431903908552N
34,Binh Chieu Ward-143.jpeg,0.0477299657650291,106.74689136922427E,10.878389503619928N
37,Binh Chieu Ward-235.jpeg,0.0475178826600313,106.71533199353793E,10.885126837434298N
38,Binh Chieu Ward-266.jpeg,0.0467912177555263,106.73316990153458E,10.88647430419717N
39,Linh Xuan Ward-218.jpeg,0.0467436155304312,106.77008025610506E,10.891173438010956N
40,Linh Xuan Ward-19.jpeg,0.0464385589584708,106.78242948538302E,10.870961436567852N
41,Hiep Binh Phuoc Ward-108.jpeg,0.0463654636405408,106.70195072782592E,10.843479470372408N
42,Linh Xuan Ward-17.jpeg,0.0461500892415642,106.77968521221015E,10.870961436567852N
45,Linh Xuan Ward-184.jpeg,0.0459189442917704,106.77556880245083E,10.885783570959461N
47,Linh Xuan Ward-160.jpeg,0.0457758414559066,106.78105734879661E,10.883088637433714N
48,Tam Binh Ward-133.jpeg,0.0453436486423015,106.74770648986546E,10.871792970667988N
49,Hiep Binh Phuoc Ward-70.jpeg,0.0452334787696599,106.70469474637649E,10.840784536846662N
50,Binh Chieu Ward-195.jpeg,0.0452291271649301,106.74551922245533E,10.881084437145677N
51,Binh Chieu Ward-123.jpeg,0.0450408174656331,106.71944843384486E,10.878389503619928N
54,Hiep Binh Phuoc Ward-56.jpeg,0.0446667452342808,106.711554792753E,10.839437070083784N
55,Linh Xuan Ward-82.jpeg,0.0446658940054476,106.78242948538302E,10.876351303619344N
58,Linh Xuan Ward-115.jpeg,0.0443937145173549,106.76184743658641E,10.880393703907968N
59,Hiep Binh Phuoc Ward-163.jpeg,0.0443902504630386,106.71978684840481E,10.846174403898155N
60,Binh Chieu Ward-290.jpeg,0.0443326625972986,106.7221927273828E,10.889169237722918N
61,Binh Chieu Ward-92.jpeg,0.044308946467936,106.71670414030693E,10.877042036857056N
62,Hiep Binh Phuoc Ward-223.jpeg,0.0443034805357456,106.71567082057891E,10.850216804186774N
