,image,pred,lon,lat
0,Tam Binh Ward-140.jpeg,0.9575415775179864,106.7339857899446E,10.873140437430866N
1,Linh Xuan Ward-91.jpeg,0.9469649717211724,106.77282452927795E,10.87769877038222N
2,Binh Chieu Ward-189.jpeg,0.9359551593661308,106.73728634184151E,10.881084437145677N
3,Linh Xuan Ward-147.jpeg,0.9224030897021294,106.76321957317288E,10.883088637433714N
4,Binh Chieu Ward-67.jpeg,0.9133018776774406,106.7221927273828E,10.875694570094184N
5,Hiep Binh Phuoc Ward-186.jpeg,0.9005301669239998,106.72253086695538E,10.847521870661028N
7,Binh Chieu Ward-81.jpeg,0.8866343274712563,106.7414027821484E,10.875694570094184N
8,Linh Xuan Ward-179.jpeg,0.865188866853714,106.76870811951865E,10.885783570959461N
9,Linh Xuan Ward-70.jpeg,0.8459506630897522,106.76596384634573E,10.876351303619344N
12,Binh Chieu Ward-191.jpeg,0.6662576533854008,106.74003063537943E,10.881084437145677N
15,Hiep Binh Phuoc Ward-342.jpeg,0.5880756638944149,106.72115885768011E,10.862344005052638N
16,Tam Binh Ward-93.jpeg,0.4948783703148365,106.74221820989712E,10.86909803714224N
19,Tam Binh Ward-62.jpeg,0.4191000629216432,106.7449623498813E,10.866403103616495N
20,Linh Xuan Ward-123.jpeg,0.4180070608854294,106.77282452927795E,10.880393703907968N
21,Binh Chieu Ward-184.jpeg,0.3833023533225059,106.73042560799664E,10.881084437145677N
22,Linh Xuan Ward-89.jpeg,0.317058702930808,106.77008025610506E,10.87769877038222N
23,Binh Chieu Ward-47.jpeg,0.3035097438842058,106.73454204830357E,10.87434710333131N
25,Binh Chieu Ward-135.jpeg,0.2723805420100689,106.73591419507252E,10.878389503619928N
26,Linh Xuan Ward-155.jpeg,0.2690455503761768,106.77419666586437E,10.883088637433714N
28,Linh Xuan Ward-43.jpeg,0.227763582020998,106.77282452927795E,10.873656370093599N
29,Linh Xuan Ward-197.jpeg,0.2255889130756259,106.77694093903727E,10.887131037722336N
30,Hiep Binh Phuoc Ward-80.jpeg,0.2204813072457909,106.71841483912952E,10.840784536846662N
33,Hiep Binh Phuoc Ward-194.jpeg,0.1868402194231748,106.70469474637649E,10.848869337423903N
37,Tam Binh Ward-4.jpeg,0.1719319503754377,106.7339857899446E,10.859665769802124N
38,Tam Binh Ward-90.jpeg,0.1660435879603028,106.73810199992089E,10.86909803714224N
39,Linh Xuan Ward-149.jpeg,0.1633928148075938,106.76596384634573E,10.883088637433714N
41,Binh Chieu Ward-120.jpeg,0.152065584436059,106.71533199353793E,10.878389503619928N
42,Binh Chieu Ward-123.jpeg,0.1453051632270217,106.71944843384486E,10.878389503619928N
44,Binh Chieu Ward-56.jpeg,0.1367690050974488,106.74689136922427E,10.87434710333131N
45,Binh Chieu Ward-83.jpeg,0.1286306558176875,106.74414707568636E,10.875694570094184N
47,Hiep Binh Phuoc Ward-71.jpeg,0.1219939105212688,106.70606675565179E,10.840784536846662N
48,Hiep Binh Phuoc Ward-217.jpeg,0.1215224368497729,106.7074387649271E,10.850216804186774N
49,Hiep Binh Phuoc Ward-108.jpeg,0.1212598923593759,106.70195072782592E,10.843479470372408N
51,Linh Xuan Ward-144.jpeg,0.112330793403089,106.77968521221015E,10.881741170670843N
53,Linh Xuan Ward-151.jpeg,0.1105691082775592,106.76870811951865E,10.883088637433714N
55,Tam Binh Ward-55.jpeg,0.1094135800376534,106.73535785993668E,10.866403103616495N
57,Binh Chieu Ward-235.jpeg,0.1072205621749162,106.71533199353793E,10.885126837434298N
59,Tam Binh Ward-79.jpeg,0.1068307170644402,106.74770648986546E,10.867750570379368N
61,Hiep Binh Phuoc Ward-221.jpeg,0.1066092420369386,106.71292680202829E,10.850216804186774N
