,district,index,longitude,latitude,geometry,sum
0,Binh Chieu Ward,0,11880260.15075386,1217554.9256232243,POINT (11880260.15075386 1217554.9256232243),626
1,Binh Chieu Ward,1,11880412.897433475,1217554.9256232243,POINT (11880412.897433475 1217554.9256232243),732
2,Binh Chieu Ward,2,11880565.64411309,1217554.9256232243,POINT (11880565.64411309 1217554.9256232243),901
3,Binh Chieu Ward,3,11880718.390792705,1217554.9256232243,POINT (11880718.390792705 1217554.9256232243),1067
4,Binh Chieu Ward,4,11880871.13747232,1217554.9256232243,POINT (11880871.13747232 1217554.9256232243),1059
5,Binh Chieu Ward,5,11881023.884151936,1217554.9256232243,POINT (11881023.884151936 1217554.9256232243),893
6,Binh Chieu Ward,6,11881329.37751117,1217554.9256232243,POINT (11881329.37751117 1217554.9256232243),788
7,Binh Chieu Ward,7,11881482.124190783,1217554.9256232243,POINT (11881482.124190783 1217554.9256232243),818
8,Binh Chieu Ward,8,11881634.8708704,1217554.9256232243,POINT (11881634.8708704 1217554.9256232243),838
9,Binh Chieu Ward,9,11881787.617550015,1217554.9256232243,POINT (11881787.617550015 1217554.9256232243),845
10,Binh Chieu Ward,10,11881940.36422963,1217554.9256232243,POINT (11881940.36422963 1217554.9256232243),855
11,Binh Chieu Ward,11,11882093.110909246,1217554.9256232243,POINT (11882093.110909246 1217554.9256232243),841
12,Binh Chieu Ward,12,11882245.857588861,1217554.9256232243,POINT (11882245.857588861 1217554.9256232243),825
13,Binh Chieu Ward,13,11882398.604268476,1217554.9256232243,POINT (11882398.604268476 1217554.9256232243),817
14,Binh Chieu Ward,14,11882551.350948092,1217554.9256232243,POINT (11882551.350948092 1217554.9256232243),816
15,Binh Chieu Ward,15,11882704.097627707,1217554.9256232243,POINT (11882704.097627707 1217554.9256232243),841
16,Binh Chieu Ward,16,11880107.404074244,1217707.6666489257,POINT (11880107.404074244 1217707.6666489257),410
17,Binh Chieu Ward,17,11880260.15075386,1217707.6666489257,POINT (11880260.15075386 1217707.6666489257),485
18,Binh Chieu Ward,18,11880412.897433475,1217707.6666489257,POINT (11880412.897433475 1217707.6666489257),728
19,Binh Chieu Ward,19,11880565.64411309,1217707.6666489257,POINT (11880565.64411309 1217707.6666489257),849
20,Binh Chieu Ward,20,11880718.390792705,1217707.6666489257,POINT (11880718.390792705 1217707.6666489257),849
21,Binh Chieu Ward,21,11880871.13747232,1217707.6666489257,POINT (11880871.13747232 1217707.6666489257),868
22,Binh Chieu Ward,22,11881023.884151936,1217707.6666489257,POINT (11881023.884151936 1217707.6666489257),871
23,Binh Chieu Ward,23,11881176.63083155,1217707.6666489257,POINT (11881176.63083155 1217707.6666489257),870
24,Binh Chieu Ward,24,11881329.37751117,1217707.6666489257,POINT (11881329.37751117 1217707.6666489257),858
25,Binh Chieu Ward,25,11881482.124190783,1217707.6666489257,POINT (11881482.124190783 1217707.6666489257),866
26,Binh Chieu Ward,26,11881634.8708704,1217707.6666489257,POINT (11881634.8708704 1217707.6666489257),882
27,Binh Chieu Ward,27,11881787.617550015,1217707.6666489257,POINT (11881787.617550015 1217707.6666489257),882
28,Binh Chieu Ward,28,11881940.36422963,1217707.6666489257,POINT (11881940.36422963 1217707.6666489257),834
29,Binh Chieu Ward,29,11882093.110909246,1217707.6666489257,POINT (11882093.110909246 1217707.6666489257),776
30,Binh Chieu Ward,30,11882245.857588861,1217707.6666489257,POINT (11882245.857588861 1217707.6666489257),813
31,Binh Chieu Ward,31,11882398.604268476,1217707.6666489257,POINT (11882398.604268476 1217707.6666489257),844
32,Binh Chieu Ward,32,11882551.350948092,1217707.6666489257,POINT (11882551.350948092 1217707.6666489257),844
33,Binh Chieu Ward,33,11882704.097627707,1217707.6666489257,POINT (11882704.097627707 1217707.6666489257),857
34,Binh Chieu Ward,34,11882856.844307324,1217707.6666489257,POINT (11882856.844307324 1217707.6666489257),856
35,Binh Chieu Ward,35,11883009.590986937,1217707.6666489257,POINT (11883009.590986937 1217707.6666489257),878
36,Binh Chieu Ward,36,11883162.337666556,1217707.6666489257,POINT (11883162.337666556 1217707.6666489257),963
37,Binh Chieu Ward,37,11880107.404074244,1217860.4083646073,POINT (11880107.404074244 1217860.4083646073),299
38,Binh Chieu Ward,38,11880260.15075386,1217860.4083646073,POINT (11880260.15075386 1217860.4083646073),531
39,Binh Chieu Ward,39,11880412.897433475,1217860.4083646073,POINT (11880412.897433475 1217860.4083646073),807
40,Binh Chieu Ward,40,11880565.64411309,1217860.4083646073,POINT (11880565.64411309 1217860.4083646073),829
41,Binh Chieu Ward,41,11880718.390792705,1217860.4083646073,POINT (11880718.390792705 1217860.4083646073),773
42,Binh Chieu Ward,42,11880871.13747232,1217860.4083646073,POINT (11880871.13747232 1217860.4083646073),796
43,Binh Chieu Ward,43,11881023.884151936,1217860.4083646073,POINT (11881023.884151936 1217860.4083646073),849
44,Binh Chieu Ward,44,11881176.63083155,1217860.4083646073,POINT (11881176.63083155 1217860.4083646073),855
45,Binh Chieu Ward,45,11881329.37751117,1217860.4083646073,POINT (11881329.37751117 1217860.4083646073),851
46,Binh Chieu Ward,46,11881482.124190783,1217860.4083646073,POINT (11881482.124190783 1217860.4083646073),851
47,Binh Chieu Ward,47,11881634.8708704,1217860.4083646073,POINT (11881634.8708704 1217860.4083646073),856
48,Binh Chieu Ward,48,11881787.617550015,1217860.4083646073,POINT (11881787.617550015 1217860.4083646073),824
49,Binh Chieu Ward,49,11881940.36422963,1217860.4083646073,POINT (11881940.36422963 1217860.4083646073),770
50,Binh Chieu Ward,50,11882093.110909246,1217860.4083646073,POINT (11882093.110909246 1217860.4083646073),758
51,Binh Chieu Ward,51,11882245.857588861,1217860.4083646073,POINT (11882245.857588861 1217860.4083646073),813
52,Binh Chieu Ward,52,11882398.604268476,1217860.4083646073,POINT (11882398.604268476 1217860.4083646073),856
53,Binh Chieu Ward,53,11882551.350948092,1217860.4083646073,POINT (11882551.350948092 1217860.4083646073),856
54,Binh Chieu Ward,54,11882704.097627707,1217860.4083646073,POINT (11882704.097627707 1217860.4083646073),855
55,Binh Chieu Ward,55,11882856.844307324,1217860.4083646073,POINT (11882856.844307324 1217860.4083646073),838
56,Binh Chieu Ward,56,11883009.590986937,1217860.4083646073,POINT (11883009.590986937 1217860.4083646073),825
57,Binh Chieu Ward,57,11883162.337666556,1217860.4083646073,POINT (11883162.337666556 1217860.4083646073),735
58,Binh Chieu Ward,58,11883315.084346171,1217860.4083646073,POINT (11883315.084346171 1217860.4083646073),670
59,Binh Chieu Ward,59,11883467.831025787,1217860.4083646073,POINT (11883467.831025787 1217860.4083646073),794
60,Binh Chieu Ward,60,11883620.577705402,1217860.4083646073,POINT (11883620.577705402 1217860.4083646073),943
61,Binh Chieu Ward,61,11879343.670676164,1218013.1507703592,POINT (11879343.670676164 1218013.1507703592),377
62,Binh Chieu Ward,62,11879496.41735578,1218013.1507703592,POINT (11879496.41735578 1218013.1507703592),281
63,Binh Chieu Ward,63,11879649.164035395,1218013.1507703592,POINT (11879649.164035395 1218013.1507703592),201
64,Binh Chieu Ward,64,11879801.910715014,1218013.1507703592,POINT (11879801.910715014 1218013.1507703592),235
65,Binh Chieu Ward,65,11879954.657394627,1218013.1507703592,POINT (11879954.657394627 1218013.1507703592),202
66,Binh Chieu Ward,66,11880107.404074244,1218013.1507703592,POINT (11880107.404074244 1218013.1507703592),350
67,Binh Chieu Ward,67,11880260.15075386,1218013.1507703592,POINT (11880260.15075386 1218013.1507703592),661
68,Binh Chieu Ward,68,11880412.897433475,1218013.1507703592,POINT (11880412.897433475 1218013.1507703592),864
69,Binh Chieu Ward,69,11880565.64411309,1218013.1507703592,POINT (11880565.64411309 1218013.1507703592),858
70,Binh Chieu Ward,70,11880718.390792705,1218013.1507703592,POINT (11880718.390792705 1218013.1507703592),860
71,Binh Chieu Ward,71,11880871.13747232,1218013.1507703592,POINT (11880871.13747232 1218013.1507703592),857
72,Binh Chieu Ward,72,11881023.884151936,1218013.1507703592,POINT (11881023.884151936 1218013.1507703592),866
73,Binh Chieu Ward,73,11881176.63083155,1218013.1507703592,POINT (11881176.63083155 1218013.1507703592),870
74,Binh Chieu Ward,74,11881329.37751117,1218013.1507703592,POINT (11881329.37751117 1218013.1507703592),873
75,Binh Chieu Ward,75,11881482.124190783,1218013.1507703592,POINT (11881482.124190783 1218013.1507703592),881
76,Binh Chieu Ward,76,11881634.8708704,1218013.1507703592,POINT (11881634.8708704 1218013.1507703592),876
77,Binh Chieu Ward,77,11881787.617550015,1218013.1507703592,POINT (11881787.617550015 1218013.1507703592),756
78,Binh Chieu Ward,78,11881940.36422963,1218013.1507703592,POINT (11881940.36422963 1218013.1507703592),719
79,Binh Chieu Ward,79,11882093.110909246,1218013.1507703592,POINT (11882093.110909246 1218013.1507703592),835
80,Binh Chieu Ward,80,11882245.857588861,1218013.1507703592,POINT (11882245.857588861 1218013.1507703592),863
81,Binh Chieu Ward,81,11882398.604268476,1218013.1507703592,POINT (11882398.604268476 1218013.1507703592),877
82,Binh Chieu Ward,82,11882551.350948092,1218013.1507703592,POINT (11882551.350948092 1218013.1507703592),886
83,Binh Chieu Ward,83,11882704.097627707,1218013.1507703592,POINT (11882704.097627707 1218013.1507703592),903
84,Binh Chieu Ward,84,11882856.844307324,1218013.1507703592,POINT (11882856.844307324 1218013.1507703592),896
85,Binh Chieu Ward,85,11883009.590986937,1218013.1507703592,POINT (11883009.590986937 1218013.1507703592),865
86,Binh Chieu Ward,86,11883162.337666556,1218013.1507703592,POINT (11883162.337666556 1218013.1507703592),761
87,Binh Chieu Ward,87,11883315.084346171,1218013.1507703592,POINT (11883315.084346171 1218013.1507703592),701
88,Binh Chieu Ward,88,11883467.831025787,1218013.1507703592,POINT (11883467.831025787 1218013.1507703592),854
89,Binh Chieu Ward,89,11883620.577705402,1218013.1507703592,POINT (11883620.577705402 1218013.1507703592),911
90,Binh Chieu Ward,90,11879343.670676164,1218165.8938662724,POINT (11879343.670676164 1218165.8938662724),184
91,Binh Chieu Ward,91,11879496.41735578,1218165.8938662724,POINT (11879496.41735578 1218165.8938662724),131
92,Binh Chieu Ward,92,11879649.164035395,1218165.8938662724,POINT (11879649.164035395 1218165.8938662724),45
93,Binh Chieu Ward,93,11879801.910715014,1218165.8938662724,POINT (11879801.910715014 1218165.8938662724),48
94,Binh Chieu Ward,94,11879954.657394627,1218165.8938662724,POINT (11879954.657394627 1218165.8938662724),41
95,Binh Chieu Ward,95,11880107.404074244,1218165.8938662724,POINT (11880107.404074244 1218165.8938662724),366
96,Binh Chieu Ward,96,11880260.15075386,1218165.8938662724,POINT (11880260.15075386 1218165.8938662724),755
97,Binh Chieu Ward,97,11880412.897433475,1218165.8938662724,POINT (11880412.897433475 1218165.8938662724),755
98,Binh Chieu Ward,98,11880565.64411309,1218165.8938662724,POINT (11880565.64411309 1218165.8938662724),758
99,Binh Chieu Ward,99,11880718.390792705,1218165.8938662724,POINT (11880718.390792705 1218165.8938662724),846
100,Binh Chieu Ward,100,11880871.13747232,1218165.8938662724,POINT (11880871.13747232 1218165.8938662724),695
101,Binh Chieu Ward,101,11881023.884151936,1218165.8938662724,POINT (11881023.884151936 1218165.8938662724),701
102,Binh Chieu Ward,102,11881176.63083155,1218165.8938662724,POINT (11881176.63083155 1218165.8938662724),840
103,Binh Chieu Ward,103,11881329.37751117,1218165.8938662724,POINT (11881329.37751117 1218165.8938662724),843
104,Binh Chieu Ward,104,11881482.124190783,1218165.8938662724,POINT (11881482.124190783 1218165.8938662724),854
105,Binh Chieu Ward,105,11881634.8708704,1218165.8938662724,POINT (11881634.8708704 1218165.8938662724),842
106,Binh Chieu Ward,106,11881787.617550015,1218165.8938662724,POINT (11881787.617550015 1218165.8938662724),636
107,Binh Chieu Ward,107,11881940.36422963,1218165.8938662724,POINT (11881940.36422963 1218165.8938662724),507
108,Binh Chieu Ward,108,11882093.110909246,1218165.8938662724,POINT (11882093.110909246 1218165.8938662724),643
109,Binh Chieu Ward,109,11882245.857588861,1218165.8938662724,POINT (11882245.857588861 1218165.8938662724),757
110,Binh Chieu Ward,110,11882398.604268476,1218165.8938662724,POINT (11882398.604268476 1218165.8938662724),841
111,Binh Chieu Ward,111,11882551.350948092,1218165.8938662724,POINT (11882551.350948092 1218165.8938662724),857
112,Binh Chieu Ward,112,11882704.097627707,1218165.8938662724,POINT (11882704.097627707 1218165.8938662724),863
113,Binh Chieu Ward,113,11882856.844307324,1218165.8938662724,POINT (11882856.844307324 1218165.8938662724),886
114,Binh Chieu Ward,114,11883009.590986937,1218165.8938662724,POINT (11883009.590986937 1218165.8938662724),986
115,Binh Chieu Ward,115,11883162.337666556,1218165.8938662724,POINT (11883162.337666556 1218165.8938662724),969
116,Binh Chieu Ward,116,11883315.084346171,1218165.8938662724,POINT (11883315.084346171 1218165.8938662724),879
117,Binh Chieu Ward,117,11883467.831025787,1218165.8938662724,POINT (11883467.831025787 1218165.8938662724),1007
118,Binh Chieu Ward,118,11883620.577705402,1218165.8938662724,POINT (11883620.577705402 1218165.8938662724),961
119,Binh Chieu Ward,119,11879343.670676164,1218318.6376524377,POINT (11879343.670676164 1218318.6376524377),140
120,Binh Chieu Ward,120,11879496.41735578,1218318.6376524377,POINT (11879496.41735578 1218318.6376524377),48
121,Binh Chieu Ward,121,11879649.164035395,1218318.6376524377,POINT (11879649.164035395 1218318.6376524377),126
122,Binh Chieu Ward,122,11879801.910715014,1218318.6376524377,POINT (11879801.910715014 1218318.6376524377),121
123,Binh Chieu Ward,123,11879954.657394627,1218318.6376524377,POINT (11879954.657394627 1218318.6376524377),17
