,image,pred,lon,lat
0,Linh Xuan Ward-147.jpeg,0.9710918217897416,106.76321957317288E,10.883088637433714N
1,Linh Xuan Ward-149.jpeg,0.970944970846176,106.76596384634573E,10.883088637433714N
2,Linh Xuan Ward-70.jpeg,0.970609836280346,106.76596384634573E,10.876351303619344N
4,Tam Binh Ward-140.jpeg,0.9660424441099168,106.7339857899446E,10.873140437430866N
5,Linh Xuan Ward-91.jpeg,0.9656625315546988,106.77282452927795E,10.87769877038222N
6,Hiep Binh Phuoc Ward-342.jpeg,0.965129479765892,106.72115885768011E,10.862344005052638N
7,Binh Chieu Ward-188.jpeg,0.9628519490361214,106.73591419507252E,10.881084437145677N
8,Hiep Binh Phuoc Ward-186.jpeg,0.9619281142950058,106.72253086695538E,10.847521870661028N
9,Binh Chieu Ward-67.jpeg,0.9618137329816818,106.7221927273828E,10.875694570094184N
10,Binh Chieu Ward-190.jpeg,0.9615198820829391,106.73865848861047E,10.881084437145677N
11,Binh Chieu Ward-156.jpeg,0.9582766592502594,106.7263091676897E,10.879736970382805N
12,Tam Binh Ward-61.jpeg,0.9569498226046562,106.74359027988919E,10.866403103616495N
14,Binh Chieu Ward-81.jpeg,0.9568688720464706,106.7414027821484E,10.875694570094184N
15,Linh Xuan Ward-179.jpeg,0.9540456309914588,106.76870811951865E,10.885783570959461N
17,Tam Binh Ward-79.jpeg,0.9524099826812744,106.74770648986546E,10.867750570379368N
25,Tam Binh Ward-93.jpeg,0.9090679734945296,106.74221820989712E,10.86909803714224N
27,Linh Xuan Ward-123.jpeg,0.896803967654705,106.77282452927795E,10.880393703907968N
28,Linh Xuan Ward-52.jpeg,0.8919745236635208,106.76321957317288E,10.875003836856475N
31,Linh Xuan Ward-155.jpeg,0.877775065600872,106.77419666586437E,10.883088637433714N
32,Linh Xuan Ward-227.jpeg,0.8758509904146194,106.7673359829322E,10.893868371536705N
33,Linh Xuan Ward-83.jpeg,0.8756030648946762,106.76184743658641E,10.87769877038222N
34,Hiep Binh Phuoc Ward-73.jpeg,0.8693579807877541,106.70881077420239E,10.840784536846662N
35,Hiep Binh Phuoc Ward-80.jpeg,0.8671391233801842,106.71841483912952E,10.840784536846662N
36,Tam Binh Ward-51.jpeg,0.8650308176875114,106.72986957996837E,10.866403103616495N
40,Binh Chieu Ward-195.jpeg,0.8298994526267052,106.74551922245533E,10.881084437145677N
42,Tam Binh Ward-89.jpeg,0.8224922344088554,106.73672992992879E,10.86909803714224N
44,Hiep Binh Phuoc Ward-298.jpeg,0.8162988964468241,106.72390287623071E,10.856954138001145N
46,Linh Xuan Ward-187.jpeg,0.8104970082640648,106.76321957317288E,10.887131037722336N
47,Linh Xuan Ward-104.jpeg,0.8055998235940933,106.76870811951865E,10.879046237145094N
48,Binh Chieu Ward-101.jpeg,0.8033662792295218,106.72905346122765E,10.877042036857056N
49,Binh Chieu Ward-209.jpeg,0.7933751493692398,106.73316990153458E,10.882431903908552N
51,Linh Xuan Ward-204.jpeg,0.7865338698029518,106.77282452927795E,10.888478504485208N
52,Hiep Binh Phuoc Ward-179.jpeg,0.7864821534603834,106.71292680202829E,10.847521870661028N
53,Binh Chieu Ward-25.jpeg,0.7730455473065376,106.73316990153458E,10.872999636568434N
54,Binh Chieu Ward-78.jpeg,0.7716115117073059,106.73728634184151E,10.875694570094184N
55,Linh Xuan Ward-20.jpeg,0.7545699048787355,106.76321957317288E,10.872308903330724N
58,Tam Binh Ward-55.jpeg,0.7291483338922262,106.73535785993668E,10.866403103616495N
60,Linh Xuan Ward-56.jpeg,0.7198581304401159,106.76870811951865E,10.875003836856475N
63,Linh Xuan Ward-43.jpeg,0.7041821172460914,106.77282452927795E,10.873656370093599N
64,Binh Chieu Ward-311.jpeg,0.7038401123136282,106.73042560799664E,10.890516704485794N
65,Hiep Binh Phuoc Ward-132.jpeg,0.6716100480407476,106.70606675565179E,10.844826937135283N
66,Hiep Binh Phuoc Ward-416.jpeg,0.6672263070940971,106.71978684840481E,10.870428805629881N
68,Tam Binh Ward-59.jpeg,0.6590342833660543,106.74084613990506E,10.866403103616495N
69,Tam Binh Ward-29.jpeg,0.6387231014668941,106.73261371995252E,10.86370817009075N
70,Linh Xuan Ward-25.jpeg,0.6381709612905979,106.77008025610506E,10.872308903330724N
73,Hiep Binh Phuoc Ward-96.jpeg,0.6287275776267052,106.71292680202829E,10.842132003609533N
75,Binh Chieu Ward-60.jpeg,0.6246967129409313,106.75237995630019E,10.87434710333131N
77,Binh Chieu Ward-244.jpeg,0.6105297915637493,106.72768131445869E,10.885126837434298N
78,Linh Xuan Ward-181.jpeg,0.5995767768472433,106.77145239269153E,10.885783570959461N
79,Binh Chieu Ward-56.jpeg,0.5950360577553511,106.74689136922427E,10.87434710333131N
80,Linh Xuan Ward-115.jpeg,0.5809568846598268,106.76184743658641E,10.880393703907968N
83,Linh Xuan Ward-153.jpeg,0.5504855569452047,106.77145239269153E,10.883088637433714N
85,Binh Chieu Ward-239.jpeg,0.5303105020429939,106.72082058061385E,10.885126837434298N
86,Linh Xuan Ward-151.jpeg,0.5289424997754395,106.76870811951865E,10.883088637433714N
87,Hiep Binh Phuoc Ward-418.jpeg,0.5281730387359858,106.72253086695538E,10.870428805629881N
88,Linh Xuan Ward-218.jpeg,0.5276884287595749,106.77008025610506E,10.891173438010956N
89,Hiep Binh Phuoc Ward-45.jpeg,0.5244974996894598,106.72253086695538E,10.838089603320915N
90,Linh Xuan Ward-233.jpeg,0.5241125039756298,106.77008025610506E,10.89521583829958N
91,Binh Chieu Ward-347.jpeg,0.5161021910607815,106.72082058061385E,10.895906571537289N
93,Binh Chieu Ward-278.jpeg,0.5057966317981482,106.7263091676897E,10.887821770960048N
94,Hiep Binh Phuoc Ward-387.jpeg,0.5040867384523153,106.72939091333191E,10.86638640534126N
96,Tam Binh Ward-21.jpeg,0.501827098429203,106.73535785993668E,10.862360703327875N
97,Hiep Binh Phuoc Ward-290.jpeg,0.4952798746526241,106.72664689478133E,10.855606671238268N
98,Hiep Binh Phuoc Ward-396.jpeg,0.4734807731583714,106.72253086695538E,10.867733872104134N
99,Hiep Binh Phuoc Ward-194.jpeg,0.4625215549021959,106.70469474637649E,10.848869337423903N
102,Linh Xuan Ward-31.jpeg,0.449677680619061,106.77831307562371E,10.872308903330724N
109,Binh Chieu Ward-167.jpeg,0.4092989172786474,106.7414027821484E,10.879736970382805N
110,Tam Binh Ward-83.jpeg,0.3964956384152174,106.72849750997626E,10.86909803714224N
112,Hiep Binh Phuoc Ward-267.jpeg,0.3904711932409554,106.72253086695538E,10.852911737712523N
120,Binh Chieu Ward-135.jpeg,0.3443042961880564,106.73591419507252E,10.878389503619928N
128,Hiep Binh Phuoc Ward-82.jpeg,0.3286709722597152,106.72115885768011E,10.840784536846662N
129,Linh Xuan Ward-112.jpeg,0.3257214967161417,106.77968521221015E,10.879046237145094N
131,Binh Chieu Ward-338.jpeg,0.3213765709660947,106.71670414030693E,10.894559104774414N
135,Linh Xuan Ward-144.jpeg,0.2916738716885447,106.77968521221015E,10.881741170670843N
136,Hiep Binh Phuoc Ward-35.jpeg,0.2916715303435921,106.70881077420239E,10.838089603320915N
138,Tam Binh Ward-156.jpeg,0.2839890015311539,106.74770648986546E,10.874487904193737N
140,Linh Xuan Ward-206.jpeg,0.2800252018496394,106.77556880245083E,10.888478504485208N
145,Hiep Binh Phuoc Ward-296.jpeg,0.2597806779667735,106.72115885768011E,10.856954138001145N
147,Binh Chieu Ward-184.jpeg,0.2530167517252266,106.73042560799664E,10.881084437145677N
153,Linh Xuan Ward-50.jpeg,0.2294917460530996,106.78242948538302E,10.873656370093599N
155,Linh Xuan Ward-117.jpeg,0.2248297380283475,106.76459170975932E,10.880393703907968N
156,Hiep Binh Phuoc Ward-161.jpeg,0.2190441922284662,106.7170428298542E,10.846174403898155N
158,Hiep Binh Phuoc Ward-319.jpeg,0.2175295362249016,106.72253086695538E,10.859649071526892N
162,Binh Chieu Ward-18.jpeg,0.2053960443008691,106.7235648741518E,10.872999636568434N
