,image,pred,lon,lat
1,Long Xuyen City-841.jpeg,0.9854177,10.382568141889761N,105.4139300718175E
3,Cao Lanh City-1210.jpeg,0.98315954,10.499867409548163N,105.62216777975802E
4,Cai Lậy Town-1472.jpeg,0.98276937,10.470656444789533N,106.18134424358063E
8,Long Hồ District-757.jpeg,0.98041266,10.18093963953249N,105.99751811093057E
9,Mỹ Hào District-501.jpeg,0.9800101,20.933886010373165N,106.14546448339627E
10,Cai Lậy Town-1153.jpeg,0.9796112,10.446402043057844N,106.19504509478917E
11,Cao Lanh City-1209.jpeg,0.9795782,10.499867409548163N,105.61942730402363E
12,Châu Thành District-2674.jpeg,0.97935724,10.337854876551788N,106.36900654392467E
13,Châu Thành District-405.jpeg,0.97919434,10.265091671356737N,106.25670811845906E
14,Long Hồ District-706.jpeg,0.97851926,10.178244706006748N,106.0112105637188E
15,Cai Lậy Town-1567.jpeg,0.9783981,10.48143617889251N,106.0991391363294E
16,Long Hồ District-671.jpeg,0.97812563,10.178244706006748N,105.91536339420118E
17,Long Xuyen City-909.jpeg,0.97785324,10.387958008941244N,105.42214915978941E
18,Cai Lậy Town-1045.jpeg,0.97729295,10.441012176006357N,106.11832032802134E
19,Long Xuyen City-188.jpeg,0.97715354,10.325974537849158N,105.46598429563967E
20,Duy Tiên District-327.jpeg,0.97713906,20.6133088432218N,105.97345057372313E
22,Chau Doc City-933.jpeg,0.97701573,10.693090075503575N,105.12070547826302E
24,Long Hồ District-1089.jpeg,0.9768463,10.202499107738426N,105.91810188475881E
25,Long Hồ District-1148.jpeg,0.97673506,10.20519404126417N,105.98656414869998E
26,Long Hồ District-150.jpeg,0.9766831,10.15129537074933N,105.98930263925763E
27,Cai Lậy Town-1587.jpeg,0.9766649,10.48143617889251N,106.15394254116356E
28,Cai Lậy Town-1473.jpeg,0.97665185,10.470656444789533N,106.18408441382235E
29,Cai Lậy Town-1434.jpeg,0.9763406,10.467961511263793N,106.17312373285552E
30,Trà Vinh City-290.jpeg,0.9763164,9.933794239461992N,106.3399739468262E
31,Long Hồ District-258.jpeg,0.9762054,10.156685237800811N,106.00847207316117E
32,Phu Ly City-962.jpeg,0.9761687,20.577448812560128N,105.94734749605432E
33,Ninh Bình-61.jpeg,0.97613096,20.217273073747467N,105.96583578475317E
34,Cai Lậy Town-1362.jpeg,0.97605646,10.462571644212304N,106.1676433923721E
35,Long Hồ District-726.jpeg,0.97591144,10.18093963953249N,105.91262490364353E
36,Trà Vinh City-211.jpeg,0.9757942,9.92031957183329N,106.32902954770172E
38,Trà Vinh City-526.jpeg,0.97512496,9.968828375296628N,106.35365444573178E
39,Long Hồ District-368.jpeg,0.97509414,10.162075104852295N,106.00847207316117E
40,Cai Lậy Town-1532.jpeg,0.9749562,10.476046311841023N,106.16216305188868E
41,Long Hồ District-813.jpeg,0.97494954,10.183634573058232N,106.00025660148823E
42,Duy Tiên District-1311.jpeg,0.9749483,20.672597380789963N,105.94465447767993E
43,Trà Vinh City-305.jpeg,0.97480303,9.936489172987736N,106.34818224616954E
44,Cai Lậy Town-1025.jpeg,0.97475547,10.438317242480615N,106.17312373285552E
45,Duy Tiên District-1339.jpeg,0.9746602,20.67529231431579N,105.93025642965831E
46,Long Hồ District-456.jpeg,0.97464675,10.16746497190378N,105.94548679033528E
47,Cao Lanh City-1249.jpeg,0.9745386,10.502562343073906N,105.64957253710186E
48,Tam Điệp-401.jpeg,0.9744523,20.143949875449223N,105.8464575965625E
49,Thái Bình-178.jpeg,0.974441,20.433857974965427N,106.3407024899221E
50,Trà Vinh City-355.jpeg,0.97440624,9.947268907090702N,106.34818224616954E
51,Cai Lậy Town-1322.jpeg,0.9740735,10.459876710686562N,106.15394254116356E
52,Long Hồ District-727.jpeg,0.9739831,10.18093963953249N,105.91536339420118E
53,Long Xuyen City-1137.jpeg,0.9738246,10.40951747714719N,105.4276285517707E
54,Cao Lanh City-1050.jpeg,0.97376776,10.486392741919444N,105.65231301283626E
55,Yên Mỹ District-1047.jpeg,0.9737004,20.9286482126712N,106.01329924799226E
56,Duy Tiên District-1344.jpeg,0.9735516,20.67529231431579N,105.94465447767993E
57,Long Hồ District-1362.jpeg,0.97343665,10.224058575944365N,105.94274829977763E
58,Cao Lanh City-458.jpeg,0.9733893,10.43788393845606N,105.68519872164886E
59,Cai Lậy Town-994.jpeg,0.97324973,10.435622308954873N,106.19778526503087E
60,Trà Vinh City-127.jpeg,0.9732237,9.909539837730328N,106.32082124835838E
61,Cai Lậy Town-1367.jpeg,0.9731784,10.462571644212304N,106.18134424358063E
62,Duy Tiên District-1336.jpeg,0.9731065,20.67529231431579N,105.92161760084535E
64,Go Cong Town-1236.jpeg,0.9728779,10.476237412990915N,106.64297212101346E
65,Long Xuyen City-876.jpeg,0.97282887,10.385263075415502N,105.41666976780813E
66,Cai Lậy Town-1495.jpeg,0.9728075,10.47335137831528N,106.15120237092184E
67,Sa Đéc City-105.jpeg,0.97279096,10.278845870785746N,105.75181947400598E
68,Trà Vinh City-418.jpeg,0.9727896,9.958048641193665N,106.31534904879615E
69,Sa Đéc City-39.jpeg,0.9726658,10.270761070208517N,105.75455874109204E
70,Long Hồ District-304.jpeg,0.9726289,10.159380171326553N,105.98382565814235E
71,Long Hồ District-407.jpeg,0.9726087,10.164770038378037N,105.96465622423882E
72,Cai Lậy Town-1519.jpeg,0.9725648,10.476046311841023N,106.12654083874648E
73,Hiệp Hòa District-140.jpeg,0.97248894,21.24866347464849N,105.95145637212903E
