image,pred,lon,lat
Thái Bình-343,0.974190890789032,20.447332642594546N,106.32632120285044E
Hoa Lư District-58,0.9736391305923462,20.192601907264688N,105.94496277429069E
Châu Thành District-1668,0.9734469652175903,10.297430873665649N,106.36078958596379E
Hung Yen City-210,0.9720967411994934,20.62869747445194N,106.10368567323044E
Hoa Lư District-135,0.9712775945663452,20.200686707842156N,105.92485544577856E
Tam Điệp-623,0.9708031415939331,20.157424543078324N,105.87229503813344E
Yên Mỹ District-750,0.9707876443862915,20.904393810938735N,105.97291424959843E
Tam Điệp-468,0.9704153537750244,20.146644808975044N,105.92971157495782E
Duy Tiên District-151,0.9704052209854126,20.589054441489374N,105.97920979293177E
Chau Doc City-1170,0.9703665971755981,10.714649543709534N,105.11522045413554E
Hung Yen City-752,0.9701917171478271,20.693375879071755N,106.03744222441014E
Long Xuyen City-1158,0.9699312448501587,10.412212410672934N,105.41393007181749E
Phu Ly City-726,0.9698526263237,20.55858427787936N,105.89554423364706E
Châu Thành District-2195,0.9697971343994141,10.313600474820104N,106.23205724457637E
Tam Điệp-919,0.9697494506835938,20.170899210707425N,105.94406570916391E
Mỹ Hào District-931,0.9696426391601562,20.96353027915728N,106.09930084455222E
Chau Doc City-351,0.9696381092071533,10.655361006143153N,105.12070547826302E
Yên Mỹ District-811,0.9695028066635132,20.907088744464566N,106.039261032674E
Yên Mỹ District-883,0.9692488312721252,20.912478611516228N,106.03637638993158E
Thái Bình-628,0.9690538644790649,20.471587044326956N,106.3780938363084E
Long Hồ District-1920,0.9690242409706116,10.280652179984958N,105.99751811093057E
Hoa Lư District-19,0.9688796401023865,20.181822173161407N,105.95070772529417E
Long Xuyen City-666,0.9687142372131348,10.369093474261044N,105.39749189587363E
Chau Doc City-476,0.9686753749847412,10.66614074024613N,105.04665765254182E
Tam Điệp-1050,0.9685781002044678,20.178984011284886N,105.90674496022807E
Mỹ Hào District-260,0.9684779644012451,20.915021475692363N,106.10218607197996E
Bến Tre City-800,0.9682613611221313,10.267754408331982N,106.3406309042958E
Mỹ Tho-345,0.968224287033081,10.35296487195676N,106.40123912327536E
Long Xuyen City-1165,0.9682210683822632,10.412212410672934N,105.43310794375199E
Long Xuyen City-1221,0.9681290984153748,10.417602277724422N,105.4468064237052E
Long Hồ District-2297,0.9681063890457153,10.31029644876813N,105.99751811093057E
Hiệp Hòa District-2236,0.9679926633834839,21.391494951517664N,105.97170813559445E
Chau Doc City-1138,0.9679009914398193,10.709259676658043N,105.12070547826302E
Vĩnh Long-153,0.967682957649231,10.240912604299886N,105.96102123791452E
Duy Tiên District-913,0.9676827192306519,20.648342979057535N,105.95905252570155E
Tam Điệp-592,0.9676739573478699,20.1547296095525N,105.92109909443417E
Chau Doc City-1104,0.9675803184509277,10.7065647431323N,105.09876538175307E
Cao Lanh City-644,0.9675642251968384,10.451358606084778N,105.6660153915082E
Cao Lanh City-145,0.967544436454773,10.419019403775858N,105.6440915856331E
Chau Doc City-935,0.967525839805603,10.693090075503575N,105.12619050239051E
Go Cong Town-220,0.9672466516494751,10.365745138435436N,106.67037240985691E
Thái Bình-192,0.9672058820724487,20.433857974965427N,106.38097009372268E
Thái Bình-589,0.9671298265457153,20.468892110801132N,106.34070248992211E
Châu Thành District-391,0.9670981168746948,10.265091671356737N,106.21836231464154E
Bến Tre City-635,0.9669541120529175,10.251584807177524N,106.4036170923903E
Tam Điệp-740,0.9668716192245483,20.162814410129968N,105.91822826759295E
Phu Ly City-754,0.9668315649032593,20.55858427787936N,105.9761270862806E
Tam Điệp-549,0.9668252468109131,20.15203467602668N,105.92684074811658E
Thái Bình-174,0.9667092561721802,20.433857974965427N,106.32919746026477E
Bến Tre City-721,0.9666996002197266,10.259669607754754N,106.35158502396443E
Long Xuyen City-317,0.966614842414856,10.33675427195213N,105.4742033836116E
Tam Điệp-1146,0.9665515422821045,20.18706881186235N,105.87803669181591E
Yên Mỹ District-374,0.9664251804351807,20.880139409206294N,105.97002960685603E
Hoa Lư District-1071,0.966192901134491,20.297704314771725N,105.94783524979243E
Bac Giang City-233,0.9661090970039368,21.259140275801677N,106.21118950702068E
Mỹ Tho-309,0.9660744667053223,10.350269938431014N,106.41493719836875E
Duy Tiên District-278,0.9660675525665283,20.607918976170158N,105.97345057372313E
Duy Tiên District-775,0.9660395979881287,20.640258178480057N,105.99072823134907E
Duy Tiên District-1192,0.9659834504127502,20.6645125802125N,105.9417748680756E
Long Xuyen City-551,0.965886116027832,10.35831374015807N,105.4468064237052E
Châu Thành District-576,0.9657881259918213,10.270481538408221N,106.24301318852424E
Bến Tre City-220,0.9657831192016602,10.221940538394358N,106.36527767355018E
Bac Giang City-624,0.9657331705093384,21.291479478111672N,106.20540567787614E
Long Xuyen City-616,0.9656216502189636,10.363703607209557N,105.4468064237052E
Go Cong Town-173,0.9655768871307373,10.360355271383954N,106.6922926409317E
Yên Mỹ District-714,0.965525209903717,20.90169887741291N,105.98445282056811E
Châu Thành District-185,0.9653135538101196,10.25700687077951N,106.23479623056335E
Yên Mỹ District-872,0.9652551412582397,20.912478611516228N,106.004645319765E
Long Hồ District-1442,0.9652136564254761,10.229448442995853N,105.98382565814235E
Long Xuyen City-1164,0.965080738067627,10.412212410672934N,105.43036824776134E
Duy Tiên District-20,0.965004563331604,20.564800039756957N,105.97057096411882E
Yên Mỹ District-612,0.9649606943130493,20.893614076835426N,106.04214567541645E
Mỹ Tho-412,0.9648900032043457,10.358354739008243N,106.36562412803248E
Long Hồ District-2312,0.9647970199584961,10.312991382293871N,105.97287169591176E
Duy Tiên District-418,0.9647969603538513,20.62139364379928N,105.92449721044969E
Tam Điệp-672,0.9647942185401917,20.160119476604144N,105.87229503813344E
Thái Bình-67,0.9646106958389282,20.42038330733631N,106.32632120285044E
Chau Doc City-427,0.9644900560379028,10.660750873194642N,105.12893301445428E
Mỹ Hào District-330,0.9644606113433838,20.92041134274402N,106.1310383462575E
