image,pred,lon,lat
Thái Bình-343.jpeg,0.9741908311843872,20.447332642594546N,106.32632120285044E
Hoa Lư District-58.jpeg,0.9736391380429268,20.192601907264688N,105.94496277429069E
Châu Thành District-1668.jpeg,0.9734470248222351,10.297430873665649N,106.36078958596379E
Hung Yen City-210.jpeg,0.972096785902977,20.62869747445194N,106.10368567323044E
Hoa Lư District-135.jpeg,0.9712775722146034,20.200686707842156N,105.92485544577856E
Tam Điệp-623.jpeg,0.9708031192421913,20.157424543078324N,105.87229503813344E
Yên Mỹ District-750.jpeg,0.9707876294851303,20.904393810938735N,105.97291424959843E
Tam Điệp-468.jpeg,0.9704154208302498,20.146644808975044N,105.92971157495782E
Duy Tiên District-151.jpeg,0.970405139029026,20.589054441489374N,105.97920979293177E
Chau Doc City-1170.jpeg,0.9703665971755981,10.714649543709534N,105.11522045413554E
Hung Yen City-752.jpeg,0.970191702246666,20.693375879071755N,106.03744222441014E
Long Xuyen City-1158.jpeg,0.9699311926960945,10.412212410672934N,105.41393007181749E
Phu Ly City-726.jpeg,0.9698526412248611,20.55858427787936N,105.89554423364706E
Châu Thành District-2195.jpeg,0.9697971642017365,10.313600474820104N,106.23205724457637E
Tam Điệp-919.jpeg,0.9697493836283684,20.170899210707425N,105.94406570916391E
Mỹ Hào District-931.jpeg,0.9696425646543503,20.96353027915728N,106.09930084455222E
Chau Doc City-351.jpeg,0.9696381241083145,10.655361006143153N,105.12070547826302E
Yên Mỹ District-811.jpeg,0.9695028439164162,20.907088744464566N,106.039261032674E
Yên Mỹ District-883.jpeg,0.96924889087677,20.912478611516228N,106.03637638993158E
Thái Bình-628.jpeg,0.9690538719296455,20.471587044326956N,106.3780938363084E
Long Hồ District-1920.jpeg,0.9690242260694504,10.280652179984958N,105.99751811093057E
Hoa Lư District-19.jpeg,0.9688795879483223,20.181822173161407N,105.95070772529417E
Long Xuyen City-666.jpeg,0.968714214861393,10.369093474261044N,105.39749189587363E
Chau Doc City-476.jpeg,0.9686753824353218,10.66614074024613N,105.04665765254182E
Tam Điệp-1050.jpeg,0.9685781449079514,20.178984011284886N,105.90674496022807E
Mỹ Hào District-260.jpeg,0.9684779644012451,20.915021475692363N,106.10218607197996E
Bến Tre City-800.jpeg,0.9682613536715508,10.267754408331982N,106.3406309042958E
Mỹ Tho-345.jpeg,0.9682243093848228,10.35296487195676N,106.40123912327536E
Long Xuyen City-1165.jpeg,0.9682210385799408,10.412212410672934N,105.43310794375199E
Long Xuyen City-1221.jpeg,0.9681290239095688,10.417602277724422N,105.4468064237052E
Long Hồ District-2297.jpeg,0.9681063964962959,10.31029644876813N,105.99751811093057E
Hiệp Hòa District-2236.jpeg,0.9679926931858063,21.391494951517664N,105.97170813559445E
Chau Doc City-1138.jpeg,0.9679009839892387,10.709259676658043N,105.12070547826302E
Vĩnh Long-153.jpeg,0.9676830023527145,10.240912604299886N,105.96102123791452E
Duy Tiên District-913.jpeg,0.9676826819777489,20.648342979057535N,105.95905252570155E
