image,pred,lon,lat
Tam Điệp-244.jpeg,0.9718369394540787,20.13047520782012N,105.92971157495782E
Hung Yen City-210.jpeg,0.9710270911455154,20.62869747445194N,106.10368567323044E
Châu Thành District-1668.jpeg,0.9709089249372482,10.297430873665649N,106.36078958596379E
Hoa Lư District-58.jpeg,0.969928041100502,20.192601907264688N,105.94496277429069E
Trà Vinh City-211.jpeg,0.9698727801442146,9.92031957183329N,106.32902954770172E
Bac Giang City-233.jpeg,0.9673294499516487,21.259140275801677N,106.21118950702068E
Chau Doc City-351.jpeg,0.9669166579842567,10.655361006143153N,105.12070547826302E
Chau Doc City-1170.jpeg,0.9664279147982597,10.714649543709534N,105.11522045413554E
Yên Mỹ District-750.jpeg,0.9662093743681908,20.904393810938735N,105.97291424959843E
Thái Bình-174.jpeg,0.9660778567194939,20.433857974965427N,106.32919746026477E
Tam Điệp-623.jpeg,0.9657593220472336,20.157424543078324N,105.87229503813344E
Hung Yen City-752.jpeg,0.9655526578426361,20.693375879071755N,106.03744222441014E
Thái Bình-178.jpeg,0.9649121537804604,20.433857974965427N,106.34070248992211E
Long Hồ District-1920.jpeg,0.9645913913846016,10.280652179984958N,105.99751811093057E
Long Xuyen City-666.jpeg,0.9636415988206863,10.369093474261044N,105.39749189587363E
Duy Tiên District-775.jpeg,0.9635230973362923,20.640258178480057N,105.99072823134907E
Go Cong Town-220.jpeg,0.9633293077349663,10.365745138435436N,106.67037240985691E
Hoa Lư District-135.jpeg,0.963223434984684,20.200686707842156N,105.92485544577856E
Chau Doc City-1138.jpeg,0.9630601555109024,10.709259676658043N,105.12070547826302E
Yên Mỹ District-883.jpeg,0.9629026800394058,20.912478611516228N,106.03637638993158E
Tam Điệp-740.jpeg,0.9625814035534859,20.162814410129968N,105.91822826759295E
Tam Điệp-862.jpeg,0.9623227417469025,20.168204277181605N,105.94406570916391E
Tam Điệp-672.jpeg,0.9621317237615585,20.160119476604144N,105.87229503813344E
Thái Bình-628.jpeg,0.9615911096334457,20.471587044326956N,106.3780938363084E
Chau Doc City-427.jpeg,0.9613295570015907,10.660750873194642N,105.12893301445428E
Bến Tre City-800.jpeg,0.9612849578261375,10.267754408331982N,106.3406309042958E
Chau Doc City-935.jpeg,0.961267851293087,10.693090075503575N,105.12619050239051E
Mỹ Hào District-260.jpeg,0.9610116258263588,20.915021475692363N,106.10218607197996E
Tam Điệp-468.jpeg,0.9607616886496544,20.146644808975044N,105.92971157495782E
Chau Doc City-476.jpeg,0.9605173543095589,10.66614074024613N,105.04665765254182E
Hiệp Hòa District-2236.jpeg,0.9603922218084335,21.391494951517664N,105.97170813559445E
Duy Tiên District-913.jpeg,0.959991917014122,20.648342979057535N,105.95905252570155E
Long Xuyen City-317.jpeg,0.9596321955323219,10.33675427195213N,105.4742033836116E
Duy Tiên District-278.jpeg,0.9589200019836426,20.607918976170158N,105.97345057372313E
