image,pred,lon,lat
Tam Điệp-163,0.987762451171875,20.125085340768482N,105.91248661391052E
Thái Bình-343,0.9800286293029785,20.447332642594546N,106.32632120285044E
Mỹ Hào District-443,0.9782052636146545,20.931191076847337N,106.09064516226894E
Yên Mỹ District-811,0.9760618209838867,20.907088744464566N,106.039261032674E
Binh Minh Town-713,0.9759265780448914,10.058500674747284N,105.82689926470549E
Thanh Liêm District-1185,0.97590172290802,20.466614946625093N,105.9160731593144E
Long Xuyen City-977,0.9755869507789612,10.39334787599273N,105.4413270317239E
Hoa Lư District-1205,0.9754806756973267,20.311178982400836N,105.93921782328722E
Hiệp Hòa District-2158,0.9753011465072632,21.38341015094016N,106.00063922625938E
Binh Minh Town-962,0.9752987623214722,10.085450010004697N,105.82689926470549E
Long Xuyen City-1080,0.9752969145774841,10.404127610095701N,105.41666976780813E
Mỹ Hào District-939,0.9752085208892822,20.96622521268311N,106.08487470741343E
Châu Thành District-1544,0.9751952290534973,10.294735940139905N,106.30053189425054E
Hiệp Hòa District-62,0.9748951196670532,21.237883740545165N,105.95145637212903E
Go Cong Town-73,0.9748499393463135,10.349575537280982N,106.66489235208824E
Vĩnh Long-347,0.9747785329818726,10.254387271928598N,105.94458925668548E
Hoa Lư District-19,0.9746032357215881,20.181822173161407N,105.95070772529417E
Long Hồ District-336,0.9745786786079407,10.162075104852295N,105.9181018847588E
Binh Minh Town-841,0.97432941198349,10.071975342375989N,105.82963616598423E
Go Cong Town-997,0.974284827709198,10.435813410104764N,106.65941229431952E
Hoa Lư District-58,0.9742822051048279,20.192601907264688N,105.94496277429069E
Long Xuyen City-305,0.9742423892021179,10.33675427195213N,105.4413270317239E
Hiệp Hòa District-1522,0.9740748405456543,21.340291214526815N,106.01799788065833E
Châu Thành District-1668,0.9739463925361633,10.297430873665649N,106.36078958596379E
Tam Điệp-686,0.9739346504211426,20.160119476604144N,105.91248661391052E
Cai Lậy Town-1567,0.9739136099815369,10.481436178892512N,106.0991391363294E
Tam Điệp-623,0.9738532304763794,20.157424543078324N,105.87229503813344E
Long Xuyen City-405,0.9736828804016113,10.344839072529355N,105.45776520766776E
Binh Minh Town-808,0.9736500978469849,10.069280408850249N,105.80774095575431E
Cai Lậy Town-1434,0.9735829830169678,10.467961511263793N,106.17312373285549E
Mỹ Hào District-349,0.9735597968101501,20.92310627626985N,106.09353038969671E
Binh Minh Town-739,0.9735553860664368,10.061195608273021N,105.82689926470549E
Long Hồ District-443,0.9735518097877502,10.16746497190378N,105.90988641308587E
Trà Vinh City-200,0.9735234379768372,9.917624638307553N,106.35365444573176E
Bến Tre City-220,0.9733268618583679,10.221940538394358N,106.36527767355018E
Thái Bình-455,0.9733060002326965,20.455417443172013N,106.36658880665104E
Vĩnh Long-115,0.9732697606086731,10.238217670774144N,105.94458925668548E
Duy Tiên District-151,0.973210334777832,20.589054441489374N,105.97920979293177E
Tam Điệp-466,0.9731765985488892,20.146644808975044N,105.9239699212754E
Thái Bình-589,0.9729135036468506,20.468892110801132N,106.34070248992211E
Mỹ Tho-345,0.9728968739509583,10.35296487195676N,106.40123912327536E
Yên Mỹ District-994,0.9728560447692871,20.92325834561954N,105.98156817782571E
Cai Lậy Town-1652,0.9726721048355103,10.492215912995487N,106.10461947681281E
Long Xuyen City-616,0.9726019501686096,10.363703607209557N,105.4468064237052E
Binh Minh Town-379,0.9725906252861023,10.028856405964122N,105.89258489539517E
Chau Doc City-592,0.9725080132484436,10.67153060729762N,105.13716055064552E
Chau Doc City-476,0.9724745154380798,10.66614074024613N,105.04665765254182E
Yên Mỹ District-1047,0.972429633140564,20.928648212671206N,106.01329924799226E
Go Cong Town-1236,0.9724135398864746,10.476237412990915N,106.64297212101346E
Duy Tiên District-541,0.9723979830741882,20.62678351085093N,106.00800588897498E
Chau Doc City-1170,0.97230464220047,10.714649543709534N,105.11522045413554E
Hoa Lư District-135,0.9722283482551575,20.200686707842156N,105.92485544577856E
Tam Điệp-862,0.9721555709838867,20.168204277181605N,105.94406570916391E
Ninh Bình-142,0.972150981426239,20.228052807850748N,105.99743200936688E
Châu Thành District-2144,0.9721211194992065,10.310905541294362N,106.3361387120811E
Tam Điệp-636,0.9721034169197083,20.157424543078324N,105.90961578706928E
Yên Mỹ District-750,0.97200608253479,20.904393810938735N,105.97291424959843E
Hiệp Hòa District-1570,0.971950352191925,21.34298614805265N,106.00642544439235E
Chau Doc City-1115,0.9719402194023132,10.7065647431323N,105.12893301445428E
Tam Điệp-412,0.9719362854957581,20.143949875449223N,105.87803669181591E
Hiệp Hòa District-1835,0.9719005823135376,21.359155749207655N,105.95145637212903E
