image,pred,lon,lat
Tam Điệp-163.jpeg,0.98776245,20.125085340768482N,105.91248661391052E
Thái Bình-343.jpeg,0.9795829,20.447332642594546N,106.32632120285044E
Yên Mỹ District-811.jpeg,0.9749162,20.907088744464566N,106.039261032674E
Châu Thành District-1668.jpeg,0.9736704,10.297430873665649N,106.36078958596379E
Hoa Lư District-58.jpeg,0.97314507,20.192601907264688N,105.94496277429069E
Cai Lậy Town-1652.jpeg,0.9726721,10.492215912995487N,106.10461947681281E
Mỹ Tho-345.jpeg,0.9725178,10.35296487195676N,106.40123912327536E
Go Cong Town-1236.jpeg,0.9724134,10.476237412990915N,106.64297212101346E
Hoa Lư District-135.jpeg,0.97222835,20.200686707842156N,105.92485544577856E
Tam Điệp-862.jpeg,0.9721556,20.168204277181605N,105.94406570916391E
Binh Minh Town-713.jpeg,0.9721158,10.058500674747284N,105.82689926470549E
Yên Mỹ District-750.jpeg,0.9720061,20.904393810938735N,105.97291424959843E
Hoa Lư District-1205.jpeg,0.9719704,20.311178982400836N,105.93921782328722E
Hiệp Hòa District-1570.jpeg,0.97195023,21.34298614805265N,106.00642544439235E
Tam Điệp-549.jpeg,0.9718366,20.15203467602668N,105.92684074811658E
Thái Bình-178.jpeg,0.97173184,20.433857974965427N,106.34070248992211E
Duy Tiên District-151.jpeg,0.9713272,20.589054441489374N,105.97920979293177E
Hung Yen City-210.jpeg,0.9713008,20.62869747445194N,106.10368567323044E
Mỹ Hào District-931.jpeg,0.9712725,20.96353027915728N,106.09930084455222E
Tam Điệp-623.jpeg,0.97106546,20.157424543078324N,105.87229503813344E
Chau Doc City-1170.jpeg,0.9707201,10.714649543709534N,105.11522045413554E
Tam Điệp-468.jpeg,0.9703965,20.146644808975044N,105.92971157495782E
Long Hồ District-1920.jpeg,0.9702186,10.280652179984958N,105.99751811093057E
Tam Điệp-592.jpeg,0.9701543,20.1547296095525N,105.92109909443417E
Hoa Lư District-19.jpeg,0.97003776,20.181822173161407N,105.95070772529417E
Phu Ly City-726.jpeg,0.9699504,20.55858427787936N,105.89554423364706E
Tam Điệp-919.jpeg,0.9697006,20.170899210707425N,105.94406570916391E
Hung Yen City-752.jpeg,0.96960396,20.693375879071755N,106.03744222441014E
Chau Doc City-351.jpeg,0.96959496,10.655361006143153N,105.12070547826302E
Chau Doc City-476.jpeg,0.9695369,10.66614074024613N,105.04665765254182E
Thái Bình-628.jpeg,0.9689435,20.471587044326956N,106.3780938363084E
Long Xuyen City-666.jpeg,0.96880734,10.369093474261044N,105.39749189587363E
Chau Doc City-935.jpeg,0.9687696,10.693090075503575N,105.12619050239051E
Cao Lanh City-644.jpeg,0.9686604,10.451358606084778N,105.6660153915082E
Tam Điệp-1050.jpeg,0.96858627,20.178984011284886N,105.90674496022807E
Bac Giang City-233.jpeg,0.96858436,21.259140275801677N,106.21118950702068E
Chau Doc City-1104.jpeg,0.96858144,10.7065647431323N,105.09876538175307E
Hiệp Hòa District-1723.jpeg,0.9685579,21.351070948630156N,106.03246342599076E
Thái Bình-174.jpeg,0.9685523,20.433857974965427N,106.32919746026477E
Yên Mỹ District-883.jpeg,0.9684032,20.912478611516228N,106.03637638993158E
Long Xuyen City-1158.jpeg,0.9683376,10.412212410672934N,105.41393007181749E
Tây Ninh City-363.jpeg,0.9682017,11.334000372812936N,106.13612321167716E
Phu Ly City-754.jpeg,0.9680467,20.55858427787936N,105.9761270862806E
Binh Minh Town-851.jpeg,0.9680063,10.071975342375989N,105.85700517877159E
Yên Mỹ District-714.jpeg,0.9678744,20.90169887741291N,105.98445282056811E
Hoa Lư District-975.jpeg,0.9678137,20.28961951419425N,105.95358020079591E
Bến Tre City-800.jpeg,0.96776617,10.267754408331982N,106.3406309042958E
Long Hồ District-2297.jpeg,0.9677311,10.31029644876813N,105.99751811093057E
Mỹ Tho-309.jpeg,0.96751815,10.350269938431014N,106.41493719836875E
Vĩnh Long-153.jpeg,0.9675107,10.240912604299886N,105.96102123791452E
Long Xuyen City-730.jpeg,0.9674645,10.374483341312532N,105.39201250389236E
Hiệp Hòa District-2236.jpeg,0.96744686,21.391494951517664N,105.97170813559445E
Binh Minh Town-841.jpeg,0.9674205,10.071975342375989N,105.82963616598423E
Long Xuyen City-1165.jpeg,0.96741694,10.412212410672934N,105.43310794375199E
Long Hồ District-844.jpeg,0.967362,10.186329506583974N,105.9345328281047E
Duy Tiên District-913.jpeg,0.9671395,20.648342979057535N,105.95905252570155E
Duy Tiên District-999.jpeg,0.9671285,20.653732846109186N,105.92449721044969E
Long Xuyen City-616.jpeg,0.9670021,10.363703607209557N,105.4468064237052E
