image,pred,lon,lat
Tam Điệp-163.jpeg,0.9846336,20.125085340768482N,105.91248661391052E
Go Cong Town-1236.jpeg,0.9766312,10.476237412990915N,106.64297212101346E
Yên Mỹ District-811.jpeg,0.9763812,20.907088744464566N,106.039261032674E
Tam Điệp-862.jpeg,0.9740898,20.168204277181605N,105.94406570916391E
Thái Bình-178.jpeg,0.971565,20.433857974965427N,106.34070248992211E
Bac Giang City-233.jpeg,0.97133,21.259140275801677N,106.21118950702068E
Châu Thành District-1668.jpeg,0.9710018,10.297430873665649N,106.36078958596379E
Tam Điệp-244.jpeg,0.9703591,20.13047520782012N,105.92971157495782E
Hoa Lư District-58.jpeg,0.9699423,20.192601907264688N,105.94496277429069E
Hung Yen City-210.jpeg,0.96898323,20.62869747445194N,106.10368567323044E
Tam Điệp-549.jpeg,0.96882814,20.15203467602668N,105.92684074811658E
Thái Bình-174.jpeg,0.9687441,20.433857974965427N,106.32919746026477E
Hoa Lư District-135.jpeg,0.9682939,20.200686707842156N,105.92485544577856E
Yên Mỹ District-750.jpeg,0.96764386,20.904393810938735N,105.97291424959843E
Châu Thành District-576.jpeg,0.9671706,10.270481538408221N,106.24301318852424E
Chau Doc City-427.jpeg,0.96684664,10.660750873194642N,105.12893301445428E
Thái Bình-343.jpeg,0.96642935,20.447332642594546N,106.32632120285044E
Chau Doc City-1170.jpeg,0.9660471,10.714649543709534N,105.11522045413554E
Long Hồ District-1920.jpeg,0.9655707,10.280652179984958N,105.99751811093057E
Duy Tiên District-775.jpeg,0.96554947,20.640258178480057N,105.99072823134907E
Binh Minh Town-841.jpeg,0.9654215,10.071975342375989N,105.82963616598423E
Chau Doc City-351.jpeg,0.96535426,10.655361006143153N,105.12070547826302E
Chau Doc City-935.jpeg,0.9652125,10.693090075503575N,105.12619050239051E
Hung Yen City-752.jpeg,0.9650453,20.693375879071755N,106.03744222441014E
Chau Doc City-476.jpeg,0.9648447,10.66614074024613N,105.04665765254182E
Tam Điệp-1050.jpeg,0.96422523,20.178984011284886N,105.90674496022807E
Tam Điệp-126.jpeg,0.964026,20.12239040724266N,105.90961578706928E
Tam Điệp-623.jpeg,0.9637449,20.157424543078324N,105.87229503813344E
Tam Điệp-672.jpeg,0.9634149,20.160119476604144N,105.87229503813344E
Trà Vinh City-211.jpeg,0.96295387,9.92031957183329N,106.32902954770172E
