,UID,source,iso,country,region,subregion,name,giga_id_school,clean,class,ghsl_smod,rurban,dataset,geometry,filepath
1,OSM-VNM-NON_SCHOOL-00005423,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Nha di 2,,0,non_school,1,urban,train,POINT (11708707.940229764 1220797.211629797),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00005423.jpeg
2,OSM-VNM-NON_SCHOOL-00011389,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Nha khoa Tuấn Mậu,,0,non_school,1,urban,train,POINT (11797107.415785648 1073988.0062400058),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00011389.jpeg
3,OSM-VNM-NON_SCHOOL-00001303,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11783359.013394717 2393843.1641146676),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00001303.jpeg
4,OSM-VNM-NON_SCHOOL-00001180,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11777902.911192464 2396914.4193373513),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00001180.jpeg
5,OSM-VNM-NON_SCHOOL-00016406,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11873862.983924046 1210285.3905990801),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00016406.jpeg
6,OSM-VNM-NON_SCHOOL-00008368,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11875133.361952981 1874387.671366385),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00008368.jpeg
7,OSM-VNM-NON_SCHOOL-00021341,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Orion Resort and Hotel,,0,non_school,1,urban,train,POINT (12065850.70031812 1342652.516324094),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00021341.jpeg
8,OSM-VNM-NON_SCHOOL-00009990,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Thanh mai,,0,non_school,1,urban,train,POINT (12061484.081972266 1789620.4942084271),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00009990.jpeg
9,OSM-VNM-NON_SCHOOL-00026028,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Cà Phê / Rửa Xe,,0,non_school,1,urban,train,POINT (11847656.483359968 1147829.3875155302),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00026028.jpeg
10,OSM-VNM-NON_SCHOOL-00020098,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11580513.082549177 2561196.716361406),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00020098.jpeg
11,OSM-VNM-NON_SCHOOL-00005817,OSM,VNM,Viet Nam,Asia,South-eastern Asia,드라마,,0,non_school,1,urban,train,POINT (11877729.44379777 1205775.6221971475),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00005817.jpeg
13,OSM-VNM-NON_SCHOOL-00013145,OSM,VNM,Viet Nam,Asia,South-eastern Asia,You & Me Cafè Bar,,0,non_school,1,urban,train,POINT (11920294.12089494 1156580.266568874),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00013145.jpeg
14,OSM-VNM-NON_SCHOOL-00019273,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11870083.353253143 1206522.0340194711),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00019273.jpeg
15,OSM-VNM-NON_SCHOOL-00014928,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (12058476.563289499 1308845.3619664584),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00014928.jpeg
16,OSM-VNM-NON_SCHOOL-00014167,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Bệnh viện đa khoa Hợp Lực,,0,non_school,1,urban,train,POINT (11775224.341605 2252622.0014738296),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00014167.jpeg
17,OSM-VNM-NON_SCHOOL-00019826,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Chợ Xanh Linh Đàm,,0,non_school,1,urban,train,POINT (11781411.47890329 2387806.792420184),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00019826.jpeg
18,OSM-VNM-NON_SCHOOL-00016457,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Tran Pnu,,0,non_school,1,urban,train,POINT (12157328.493752912 1369974.5351103626),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00016457.jpeg
19,OSM-VNM-NON_SCHOOL-00026135,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Khải Hoàn,,0,non_school,1,urban,train,POINT (12034024.012622358 1223387.2441225005),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00026135.jpeg
20,OSM-VNM-NON_SCHOOL-00029609,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (12049692.342271008 1810588.6010396492),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00029609.jpeg
21,OSM-VNM-NON_SCHOOL-00009821,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Chùa Thông,,0,non_school,1,urban,train,POINT (11812033.02179172 2343100.241370899),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00009821.jpeg
22,OSM-VNM-NON_SCHOOL-00021446,OSM,VNM,Viet Nam,Asia,South-eastern Asia,ADOD-Coffee & Bottle,,0,non_school,1,urban,train,POINT (12047089.247298295 1810687.871855884),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00021446.jpeg
24,OSM-VNM-NON_SCHOOL-00002664,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Trùng Dương,,0,non_school,1,urban,train,POINT (11573692.203389797 1143255.5021124296),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00002664.jpeg
25,OSM-VNM-NON_SCHOOL-00008651,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (12159504.010561485 1538342.9327399062),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00008651.jpeg
26,OSM-VNM-NON_SCHOOL-00017896,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Trà Sữa Teapub,,0,non_school,1,urban,train,POINT (12128724.616635107 1668422.216654279),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00017896.jpeg
27,OSM-VNM-NON_SCHOOL-00027470,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Thanh Lan,,0,non_school,1,urban,train,POINT (11924141.879094208 1163471.7197796376),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00027470.jpeg
28,OSM-VNM-NON_SCHOOL-00013224,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Café,,0,non_school,1,urban,train,POINT (11804048.965273047 1159025.1719701574),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00013224.jpeg
29,OSM-VNM-NON_SCHOOL-00017922,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Kosmos Bistro,,0,non_school,1,urban,train,POINT (11573038.757978845 1142429.3372939208),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00017922.jpeg
30,OSM-VNM-NON_SCHOOL-00001534,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11895179.330577068 2392558.622751933),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00001534.jpeg
31,OSM-VNM-NON_SCHOOL-00020791,OSM,VNM,Viet Nam,Asia,South-eastern Asia,198 Nguyễn Công Trứ BBQ & Beer Barn House,,0,non_school,1,urban,train,POINT (12070920.746526303 1340764.0306408827),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00020791.jpeg
32,OSM-VNM-NON_SCHOOL-00004214,OSM,VNM,Viet Nam,Asia,South-eastern Asia,024,,0,non_school,1,urban,train,POINT (11847972.964672294 2563246.9217942692),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00004214.jpeg
33,OSM-VNM-NON_SCHOOL-00007944,OSM,VNM,Viet Nam,Asia,South-eastern Asia,thiên nhiên,,0,non_school,1,urban,train,POINT (11872083.430544227 1216819.1338856556),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00007944.jpeg
34,OSM-VNM-NON_SCHOOL-00011317,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Phòng khám tư nhân Nguyễn Phước Lộc,,0,non_school,1,urban,train,POINT (11774975.319904095 1124219.8199329763),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00011317.jpeg
36,OSM-VNM-NON_SCHOOL-00008012,OSM,VNM,Viet Nam,Asia,South-eastern Asia,FULL,,0,non_school,1,urban,train,POINT (12158594.41900221 1548397.1107877528),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00008012.jpeg
37,OSM-VNM-NON_SCHOOL-00008082,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,0,urban,train,POINT (11825153.359615596 1997769.0817518455),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00008082.jpeg
38,OSM-VNM-NON_SCHOOL-00019810,OSM,VNM,Viet Nam,Asia,South-eastern Asia,The Choco,,0,non_school,1,urban,train,POINT (12073109.621673768 1339121.9979682772),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00019810.jpeg
40,OSM-VNM-NON_SCHOOL-00010635,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Cơm Tấm 419,,0,non_school,1,urban,train,POINT (11875450.065904286 1204857.33254525),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00010635.jpeg
41,OSM-VNM-NON_SCHOOL-00017599,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Chùa Quan Thánh Đế Quân,,0,non_school,1,urban,train,POINT (11737832.45860601 1162156.6305647404),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00017599.jpeg
42,OSM-VNM-NON_SCHOOL-00029861,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (12154098.224769074 1375738.403098204),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00029861.jpeg
43,OSM-VNM-NON_SCHOOL-00022517,OSM,VNM,Viet Nam,Asia,South-eastern Asia,CF-Tâm Như-DT74- Hồ Cam- An Lập- Dầu Tiếng-Bình Dương-0343012745,,0,non_school,0,urban,train,POINT (11856652.434049953 1256150.024992456),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00022517.jpeg
44,OSM-VNM-NON_SCHOOL-00028136,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Ngọc Ngân,,0,non_school,1,urban,train,POINT (11921250.689279327 1191560.4139044487),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00028136.jpeg
45,OSM-VNM-NON_SCHOOL-00005762,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Tinh Tâm Quán,,0,non_school,1,urban,train,POINT (11975186.207083065 1860176.0329285848),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00005762.jpeg
46,OSM-VNM-NON_SCHOOL-00017013,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Thien Tam,,0,non_school,1,urban,train,POINT (11630993.132039202 1161750.3435219121),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00017013.jpeg
48,OSM-VNM-NON_SCHOOL-00005044,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Đình Bình Đông,,0,non_school,1,urban,train,POINT (11871288.164102001 1201220.676399189),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00005044.jpeg
