,image,pred,lon,lat,anditi_id
43,Hoa Lư District-58.jpeg,0.97314507,20.192601907264688N,105.94496277429069E,426
7,Hoa Lư District-1205.jpeg,0.9719704,20.311178982400836N,105.93921782328722E,402
40,Duy Tiên District-151.jpeg,0.9713272,20.589054441489374N,105.97920979293177E,341
14,Duy Tiên District-151.jpeg,0.9713272,20.589054441489374N,105.97920979293177E,340
26,Tam Điệp-623.jpeg,0.97106546,20.157424543078324N,105.87229503813344E,886
34,Chau Doc City-1170.jpeg,0.9707201,10.714649543709534N,105.11522045413554E,466
92,Long Hồ District-1920.jpeg,0.9702186,10.280652179984958N,105.99751811093057E,550
555,Tam Điệp-592.jpeg,0.9701543,20.1547296095525N,105.92109909443417E,896
351,Tam Điệp-592.jpeg,0.9701543,20.1547296095525N,105.92109909443417E,894
8,Chau Doc City-351.jpeg,0.96959496,10.655361006143153N,105.12070547826302E,960
423,Chau Doc City-476.jpeg,0.9695369,10.66614074024613N,105.04665765254182E,1
318,Chau Doc City-476.jpeg,0.9695369,10.66614074024613N,105.04665765254182E,2
18,Thái Bình-628.jpeg,0.9689435,20.471587044326956N,106.3780938363084E,859
82,Thái Bình-628.jpeg,0.9689435,20.471587044326956N,106.3780938363084E,458
201,Long Xuyen City-666.jpeg,0.96880734,10.369093474261044N,105.39749189587363E,918
11,Chau Doc City-935.jpeg,0.9687696,10.693090075503575N,105.12619050239051E,472
348,Bac Giang City-233.jpeg,0.96858436,21.259140275801677N,106.21118950702068E,205
412,Bac Giang City-233.jpeg,0.96858436,21.259140275801677N,106.21118950702068E,204
74,Yên Mỹ District-883.jpeg,0.9684032,20.912478611516228N,106.03637638993158E,266
157,Yên Mỹ District-883.jpeg,0.9684032,20.912478611516228N,106.03637638993158E,267
284,Phu Ly City-754.jpeg,0.9680467,20.55858427787936N,105.9761270862806E,360
414,Phu Ly City-754.jpeg,0.9680467,20.55858427787936N,105.9761270862806E,361
123,Yên Mỹ District-714.jpeg,0.9678744,20.90169887741291N,105.98445282056811E,265
88,Hoa Lư District-975.jpeg,0.9678137,20.28961951419425N,105.95358020079591E,408
76,Bến Tre City-800.jpeg,0.96776617,10.267754408331982N,106.3406309042958E,689
81,Bến Tre City-800.jpeg,0.96776617,10.267754408331982N,106.3406309042958E,704
294,Bến Tre City-800.jpeg,0.96776617,10.267754408331982N,106.3406309042958E,698
598,Long Hồ District-2297.jpeg,0.9677311,10.31029644876813N,105.99751811093057E,551
277,Long Hồ District-2297.jpeg,0.9677311,10.31029644876813N,105.99751811093057E,681
221,Long Xuyen City-730.jpeg,0.9674645,10.374483341312532N,105.39201250389236E,490
183,Hiệp Hòa District-2236.jpeg,0.96744686,21.391494951517664N,105.97170813559445E,997
495,Long Hồ District-844.jpeg,0.967362,10.186329506583974N,105.9345328281047E,38
84,Duy Tiên District-913.jpeg,0.9671395,20.648342979057535N,105.95905252570155E,618
17,Long Xuyen City-616.jpeg,0.9670021,10.363703607209557N,105.4468064237052E,10
75,Long Hồ District-1327.jpeg,0.9669239,10.221363642418622N,105.9345328281047E,564
85,Duy Tiên District-249.jpeg,0.96682984,20.60522404264433N,105.9561729160972E,333
63,Duy Tiên District-249.jpeg,0.96682984,20.60522404264433N,105.9561729160972E,334
30,Tam Điệp-672.jpeg,0.9666053,20.160119476604144N,105.87229503813344E,429
650,Cao Lanh City-480.jpeg,0.9665531,10.440578871981804N,105.63312968269553E,514
553,Thái Bình-192.jpeg,0.96651614,20.433857974965427N,106.38097009372268E,460
369,Hiệp Hòa District-2257.jpeg,0.9664522,21.3941898850435N,105.95724259026198E,139
254,Hiệp Hòa District-2257.jpeg,0.9664522,21.3941898850435N,105.95724259026198E,138
99,Long Xuyen City-317.jpeg,0.96638393,10.33675427195213N,105.4742033836116E,930
184,Mỹ Hào District-260.jpeg,0.9663,20.915021475692363N,106.10218607197996E,225
38,Long Xuyen City-551.jpeg,0.9661596,10.35831374015807N,105.4468064237052E,11
126,Chau Doc City-1138.jpeg,0.96608746,10.709259676658043N,105.12070547826302E,469
215,Duy Tiên District-1192.jpeg,0.96598154,20.6645125802125N,105.9417748680756E,323
278,Duy Tiên District-1192.jpeg,0.96598154,20.6645125802125N,105.9417748680756E,324
203,Go Cong Town-220.jpeg,0.96587956,10.365745138435436N,106.67037240985691E,858
15,Bến Tre City-220.jpeg,0.9655645,10.221940538394358N,106.36527767355018E,703
145,Go Cong Town-173.jpeg,0.9655641,10.360355271383954N,106.6922926409317E,854
154,Yên Mỹ District-872.jpeg,0.965452,20.912478611516228N,106.004645319765E,108
649,Thanh Liêm District-636.jpeg,0.96535826,20.434275744315205N,105.96209097927128E,370
132,Duy Tiên District-775.jpeg,0.96535134,20.640258178480057N,105.99072823134907E,311
67,Thái Bình-67.jpeg,0.9652065,20.42038330733631N,106.32632120285044E,446
57,Thái Bình-67.jpeg,0.9652065,20.42038330733631N,106.32632120285044E,445
562,Binh Minh Town-519.jpeg,0.9648879,10.042331073592832N,105.83510996854167E,30
29,Bac Giang City-624.jpeg,0.96478826,21.291479478111672N,106.20540567787614E,200
466,Mỹ Tho-324.jpeg,0.9645717,10.35296487195676N,106.34370720788299E,583
96,Sa Đéc City-288.jpeg,0.96455985,10.303100272517428N,105.74360167274783E,525
169,Thái Bình-205.jpeg,0.9642926,20.436552908491254N,106.3205686880218E,431
394,Thanh Liêm District-287.jpeg,0.9641725,20.410021342582795N,105.93332984179821E,374
90,Ninh Bình-236.jpeg,0.9641011,20.238832541954036N,105.9916872412553E,881
