,image,pred,lon,lat,anditi_id
22,Tam Điệp-592.jpeg,0.9701543,20.1547296095525N,105.92109909443417E,895
14,Long Xuyen City-1158.jpeg,0.9683376,10.412212410672934N,105.41393007181749E,936
30,Cao Lanh City-226.jpeg,0.9637234,10.424409270827347N,105.63312968269553E,516
32,Cao Lanh City-409.jpeg,0.963685,10.435189004930317N,105.6660153915082E,951
27,Hiệp Hòa District-1095.jpeg,0.96367234,21.318731746320154N,105.93120460866358E,157
196,Go Cong Town-328.jpeg,0.96358955,10.376524872538408N,106.68133252539432E,602
274,Mỹ Tho-411.jpeg,0.96073264,10.358354739008243N,106.36288451301381E,818
272,Mỹ Tho-680.jpeg,0.96063393,10.377219273688445N,106.34370720788299E,810
148,Vĩnh Long-90.jpeg,0.96006143,10.235522737248402N,105.95554391083817E,659
23,Vĩnh Long-315.jpeg,0.959888,10.251692338402854N,105.97197589206726E,46
1,Cao Lanh City-268.jpeg,0.9596022,10.427104204353089N,105.63312968269553E,517
19,Phu Ly City-418.jpeg,0.95866704,20.537024809672765N,105.90130015169234E,110
273,Mỹ Tho-529.jpeg,0.95710355,10.366439539585475N,106.35740528297643E,64
175,Long Hồ District-986.jpeg,0.95673645,10.194414307161201N,105.94000980922003E,39
266,Hung Yen City-527.jpeg,0.9563566,20.663731610287673N,106.0547231241024E,284
288,Hung Yen City-527.jpeg,0.9563566,20.663731610287673N,106.0547231241024E,285
37,Vĩnh Long-270.jpeg,0.9557304,10.248997404877112N,105.96102123791452E,661
121,Cai Lậy Town-133.jpeg,0.95535064,10.373638837862776N,106.12380066850477E,781
216,Hiệp Hòa District-2220.jpeg,0.95532656,21.388800017991827N,106.00931855345885E,131
34,Hiệp Hòa District-2220.jpeg,0.95532656,21.388800017991827N,106.00931855345885E,132
112,Cao Lanh City-818.jpeg,0.95507085,10.467528207239239N,105.62216777975802E,17
83,Mỹ Tho-803.jpeg,0.9549326,10.385304074265676N,106.36836374305116E,61
33,Mỹ Tho-803.jpeg,0.9549326,10.385304074265676N,106.36836374305116E,828
287,Bến Tre City-537.jpeg,0.9519596,10.24619494012604N,106.36527767355018E,715
205,Hung Yen City-657.jpeg,0.95140314,20.679901211442633N,106.08064447364077E,274
190,Hung Yen City-657.jpeg,0.95140314,20.679901211442633N,106.08064447364077E,275
63,Phu Ly City-509.jpeg,0.9430178,20.54241467672441N,105.91568994680544E,631
75,Hiệp Hòa District-2179.jpeg,0.9414334,21.386105084465992N,105.97460124466096E,129
120,Trà Vinh City-314.jpeg,0.9401905,9.939184106513476N,106.33997394682622E,576
102,Phu Ly City-467.jpeg,0.93476903,20.53971974319859N,105.91856790582808E,644
