,image,pred,lon,lat,anditi_id
43,Hoa Lư District-58.jpeg,0.9736391380429268,20.192601907264688N,105.94496277429069E,426
26,Tam Điệp-623.jpeg,0.9708031192421912,20.157424543078324N,105.87229503813344E,886
14,Duy Tiên District-151.jpeg,0.970405139029026,20.589054441489374N,105.97920979293177E,340
40,Duy Tiên District-151.jpeg,0.970405139029026,20.589054441489374N,105.97920979293177E,341
34,Chau Doc City-1170.jpeg,0.970366597175598,10.714649543709534N,105.11522045413554E,466
8,Chau Doc City-351.jpeg,0.9696381241083144,10.655361006143153N,105.12070547826302E,960
74,Yên Mỹ District-883.jpeg,0.96924889087677,20.912478611516228N,106.03637638993158E,266
157,Yên Mỹ District-883.jpeg,0.96924889087677,20.912478611516228N,106.03637638993158E,267
18,Thái Bình-628.jpeg,0.9690538719296456,20.471587044326956N,106.3780938363084E,859
82,Thái Bình-628.jpeg,0.9690538719296456,20.471587044326956N,106.3780938363084E,458
92,Long Hồ District-1920.jpeg,0.9690242260694504,10.280652179984958N,105.99751811093057E,550
201,Long Xuyen City-666.jpeg,0.968714214861393,10.369093474261044N,105.39749189587363E,918
318,Chau Doc City-476.jpeg,0.9686753824353218,10.66614074024613N,105.04665765254182E,2
423,Chau Doc City-476.jpeg,0.9686753824353218,10.66614074024613N,105.04665765254182E,1
184,Mỹ Hào District-260.jpeg,0.9684779644012452,20.915021475692363N,106.10218607197996E,225
81,Bến Tre City-800.jpeg,0.9682613536715508,10.267754408331982N,106.3406309042958E,704
76,Bến Tre City-800.jpeg,0.9682613536715508,10.267754408331982N,106.3406309042958E,689
294,Bến Tre City-800.jpeg,0.9682613536715508,10.267754408331982N,106.3406309042958E,698
598,Long Hồ District-2297.jpeg,0.968106396496296,10.31029644876813N,105.99751811093057E,551
277,Long Hồ District-2297.jpeg,0.968106396496296,10.31029644876813N,105.99751811093057E,681
183,Hiệp Hòa District-2236.jpeg,0.9679926931858064,21.391494951517664N,105.97170813559445E,997
126,Chau Doc City-1138.jpeg,0.9679009839892389,10.709259676658043N,105.12070547826302E,469
84,Duy Tiên District-913.jpeg,0.9676826819777488,20.648342979057535N,105.95905252570155E,618
555,Tam Điệp-592.jpeg,0.9676739946007727,20.1547296095525N,105.92109909443417E,896
351,Tam Điệp-592.jpeg,0.9676739946007727,20.1547296095525N,105.92109909443417E,894
11,Chau Doc City-935.jpeg,0.9675258249044418,10.693090075503575N,105.12619050239051E,472
