,image,pred,lon,lat,anditi_id
14,Long Xuyen City-1158.jpeg,0.9699311926960944,10.412212410672934N,105.41393007181749E,936
22,Tam Điệp-592.jpeg,0.9676739946007727,20.1547296095525N,105.92109909443417E,895
30,Cao Lanh City-226.jpeg,0.9633192345499992,10.424409270827347N,105.63312968269553E,516
32,Cao Lanh City-409.jpeg,0.9628928825259208,10.435189004930317N,105.6660153915082E,951
272,Mỹ Tho-680.jpeg,0.9628920555114746,10.377219273688445N,106.34370720788299E,810
27,Hiệp Hòa District-1095.jpeg,0.962029494345188,21.318731746320154N,105.93120460866358E,157
196,Go Cong Town-328.jpeg,0.9614024236798286,10.376524872538408N,106.68133252539432E,602
148,Vĩnh Long-90.jpeg,0.9597762525081636,10.235522737248402N,105.95554391083817E,659
19,Phu Ly City-418.jpeg,0.9590612649917604,20.537024809672765N,105.90130015169234E,110
274,Mỹ Tho-411.jpeg,0.9583430737257004,10.358354739008243N,106.36288451301381E,818
23,Vĩnh Long-315.jpeg,0.957449235022068,10.251692338402854N,105.97197589206726E,46
216,Hiệp Hòa District-2220.jpeg,0.9563044533133508,21.388800017991827N,106.00931855345885E,131
34,Hiệp Hòa District-2220.jpeg,0.9563044533133508,21.388800017991827N,106.00931855345885E,132
37,Vĩnh Long-270.jpeg,0.9559123516082764,10.248997404877112N,105.96102123791452E,661
287,Bến Tre City-537.jpeg,0.953757680952549,10.24619494012604N,106.36527767355018E,715
121,Cai Lậy Town-133.jpeg,0.9536948949098588,10.373638837862776N,106.12380066850477E,781
205,Hung Yen City-657.jpeg,0.9526597559452056,20.679901211442633N,106.08064447364077E,274
190,Hung Yen City-657.jpeg,0.9526597559452056,20.679901211442633N,106.08064447364077E,275
83,Mỹ Tho-803.jpeg,0.9518494680523872,10.385304074265676N,106.36836374305116E,61
33,Mỹ Tho-803.jpeg,0.9518494680523872,10.385304074265676N,106.36836374305116E,828
1,Cao Lanh City-268.jpeg,0.9480095207691192,10.427104204353089N,105.63312968269553E,517
63,Phu Ly City-509.jpeg,0.9443786293268204,20.54241467672441N,105.91568994680544E,631
175,Long Hồ District-986.jpeg,0.943275585770607,10.194414307161201N,105.94000980922003E,39
102,Phu Ly City-467.jpeg,0.9406564086675644,20.53971974319859N,105.91856790582808E,644
288,Hung Yen City-527.jpeg,0.9363224357366562,20.663731610287673N,106.0547231241024E,285
266,Hung Yen City-527.jpeg,0.9363224357366562,20.663731610287673N,106.0547231241024E,284
120,Trà Vinh City-314.jpeg,0.9322953447699548,9.939184106513476N,106.33997394682622E,576
273,Mỹ Tho-529.jpeg,0.9322935789823532,10.366439539585475N,106.35740528297643E,64
70,Hiệp Hòa District-1651.jpeg,0.92927023768425,21.34837601510432N,105.963028808395E,994
112,Cao Lanh City-818.jpeg,0.8934262916445732,10.467528207239239N,105.62216777975802E,17
75,Hiệp Hòa District-2179.jpeg,0.8804342299699783,21.386105084465992N,105.97460124466096E,129
42,Cai Lậy Town-418.jpeg,0.8628308773040771,10.392503372542977N,106.17038356261381E,777
86,Go Cong Town-250.jpeg,0.8524999618530273,10.368440071961182N,106.67859249650996E,856
21,Long Xuyen City-884.jpeg,0.8397227004170418,10.385263075415502N,105.43858733573327E,925
153,Cai Lậy Town-126.jpeg,0.7855238877236843,10.373638837862776N,106.10461947681281E,597
65,Yên Mỹ District-324.jpeg,0.7562379091978073,20.87474954215463N,106.05945353187091E,259
73,Hiệp Hòa District-618.jpeg,0.7053083041682839,21.28908747753599N,105.9283114995971E,162
260,Mỹ Tho-406.jpeg,0.698156513273716,10.358354739008243N,106.34918643792035E,833
246,Sa Đéc City-188.jpeg,0.6769273597747087,10.289625604888718N,105.7572980081781E,904
25,Ninh Bình-134.jpeg,0.6265090107917786,20.228052807850748N,105.97445293692057E,880
126,Go Cong Town-555.jpeg,0.5911515140905976,10.400779274270102N,106.6758524676256E,54
57,Mỹ Hào District-349.jpeg,0.5400152401998639,20.92310627626985N,106.09353038969671E,232
31,Mỹ Hào District-349.jpeg,0.5400152401998639,20.92310627626985N,106.09353038969671E,231
182,Long Xuyen City-909.jpeg,0.5157761313021183,10.387958008941244N,105.42214915978941E,485
6,Hiệp Hòa District-874.jpeg,0.5085408072918653,21.305257078690985N,105.96013569932848E,152
280,Chau Doc City-884.jpeg,0.5071948915719986,10.69039514197783N,105.09876538175307E,463
218,Long Xuyen City-435.jpeg,0.4960778839886188,10.347534006055099N,105.45776520766776E,15
191,Cai Lậy Town-709.jpeg,0.4828458512201905,10.414062840748926N,106.15394254116356E,769
76,Sa Đéc City-271.jpeg,0.4712472846731543,10.300405338991688N,105.75455874109204E,526
269,Hiệp Hòa District-40.jpeg,0.4696640325710177,21.235188807019327N,105.94567015399605E,166
101,Trà Vinh City-290.jpeg,0.4341838113032281,9.933794239461996N,106.33997394682622E,758
95,Trà Vinh City-290.jpeg,0.4341838113032281,9.933794239461996N,106.33997394682622E,733
284,Phu Ly City-505.jpeg,0.4081226242706179,20.54241467672441N,105.90417811071494E,350
71,Yên Mỹ District-355.jpeg,0.3935114936903119,20.877444475680456N,106.03349174718919E,252
252,Cao Lanh City-758.jpeg,0.387170392088592,10.462138340187751N,105.62216777975802E,511
117,Hiệp Hòa District-1011.jpeg,0.3463880852796137,21.313341879268485N,105.95145637212903E,151
40,Long Xuyen City-816.jpeg,0.3404770358465612,10.37987320836402N,105.4413270317239E,926
