,image,pred,lon,lat,anditi_id
43,Hoa Lư District-58.jpeg,0.969928041100502,20.192601907264688N,105.94496277429069E,426
348,Bac Giang City-233.jpeg,0.9673294499516488,21.259140275801677N,106.21118950702068E,205
412,Bac Giang City-233.jpeg,0.9673294499516488,21.259140275801677N,106.21118950702068E,204
8,Chau Doc City-351.jpeg,0.9669166579842569,10.655361006143153N,105.12070547826302E,960
34,Chau Doc City-1170.jpeg,0.9664279147982596,10.714649543709534N,105.11522045413554E,466
26,Tam Điệp-623.jpeg,0.9657593220472336,20.157424543078324N,105.87229503813344E,886
92,Long Hồ District-1920.jpeg,0.9645913913846016,10.280652179984958N,105.99751811093057E,550
201,Long Xuyen City-666.jpeg,0.9636415988206865,10.369093474261044N,105.39749189587363E,918
132,Duy Tiên District-775.jpeg,0.9635230973362924,20.640258178480057N,105.99072823134907E,311
203,Go Cong Town-220.jpeg,0.9633293077349664,10.365745138435436N,106.67037240985691E,858
126,Chau Doc City-1138.jpeg,0.9630601555109024,10.709259676658043N,105.12070547826302E,469
157,Yên Mỹ District-883.jpeg,0.9629026800394058,20.912478611516228N,106.03637638993158E,267
74,Yên Mỹ District-883.jpeg,0.9629026800394058,20.912478611516228N,106.03637638993158E,266
30,Tam Điệp-672.jpeg,0.9621317237615584,20.160119476604144N,105.87229503813344E,429
18,Thái Bình-628.jpeg,0.9615911096334456,20.471587044326956N,106.3780938363084E,859
82,Thái Bình-628.jpeg,0.9615911096334456,20.471587044326956N,106.3780938363084E,458
76,Bến Tre City-800.jpeg,0.9612849578261377,10.267754408331982N,106.3406309042958E,689
81,Bến Tre City-800.jpeg,0.9612849578261377,10.267754408331982N,106.3406309042958E,704
294,Bến Tre City-800.jpeg,0.9612849578261377,10.267754408331982N,106.3406309042958E,698
11,Chau Doc City-935.jpeg,0.961267851293087,10.693090075503575N,105.12619050239051E,472
184,Mỹ Hào District-260.jpeg,0.9610116258263588,20.915021475692363N,106.10218607197996E,225
423,Chau Doc City-476.jpeg,0.9605173543095588,10.66614074024613N,105.04665765254182E,1
318,Chau Doc City-476.jpeg,0.9605173543095588,10.66614074024613N,105.04665765254182E,2
183,Hiệp Hòa District-2236.jpeg,0.9603922218084336,21.391494951517664N,105.97170813559445E,997
84,Duy Tiên District-913.jpeg,0.959991917014122,20.648342979057535N,105.95905252570155E,618
99,Long Xuyen City-317.jpeg,0.959632195532322,10.33675427195213N,105.4742033836116E,930
553,Thái Bình-192.jpeg,0.958264283835888,20.433857974965427N,106.38097009372268E,460
229,Bến Tre City-635.jpeg,0.9576561972498894,10.251584807177524N,106.4036170923903E,700
145,Go Cong Town-173.jpeg,0.9575398936867714,10.360355271383954N,106.6922926409317E,854
120,Go Cong Town-186.jpeg,0.9569300338625908,10.363050204909696N,106.65393223655084E,845
85,Duy Tiên District-249.jpeg,0.9568218141794204,20.60522404264433N,105.9561729160972E,333
63,Duy Tiên District-249.jpeg,0.9568218141794204,20.60522404264433N,105.9561729160972E,334
123,Yên Mỹ District-714.jpeg,0.9553249925374984,20.90169887741291N,105.98445282056811E,265
215,Duy Tiên District-1192.jpeg,0.9542398378252984,20.6645125802125N,105.9417748680756E,323
278,Duy Tiên District-1192.jpeg,0.9542398378252984,20.6645125802125N,105.9417748680756E,324
562,Binh Minh Town-519.jpeg,0.954239159822464,10.042331073592832N,105.83510996854167E,30
277,Long Hồ District-2297.jpeg,0.9541452750563622,10.31029644876813N,105.99751811093057E,681
598,Long Hồ District-2297.jpeg,0.9541452750563622,10.31029644876813N,105.99751811093057E,551
465,Hiệp Hòa District-984.jpeg,0.953916184604168,21.31064694574265N,106.00642544439235E,180
169,Thái Bình-205.jpeg,0.9534656256437302,20.436552908491254N,106.3205686880218E,431
17,Long Xuyen City-616.jpeg,0.9516337662935256,10.363703607209557N,105.4468064237052E,10
251,Thái Bình-277.jpeg,0.9509388506412506,20.441942775542895N,106.33207371767911E,436
533,Mỹ Hào District-693.jpeg,0.9505871310830116,20.94736067800231N,106.09064516226894E,214
290,Mỹ Hào District-693.jpeg,0.9505871310830116,20.94736067800231N,106.09064516226894E,213
249,Hiệp Hòa District-624.jpeg,0.9493381306529044,21.28908747753599N,105.94567015399605E,154
103,Cai Lậy Town-991.jpeg,0.9492875039577484,10.435622308954873N,106.18956475430575E,779
638,Long Xuyen City-794.jpeg,0.9487690255045892,10.37987320836402N,105.38105371992982E,491
282,Tây Ninh City-536.jpeg,0.9486543014645576,11.350169973967425N,106.09214179096081E,609
254,Hiệp Hòa District-2257.jpeg,0.9479029923677444,21.3941898850435N,105.95724259026198E,138
369,Hiệp Hòa District-2257.jpeg,0.9479029923677444,21.3941898850435N,105.95724259026198E,139
67,Thái Bình-67.jpeg,0.9474162086844444,20.42038330733631N,106.32632120285044E,446
57,Thái Bình-67.jpeg,0.9474162086844444,20.42038330733631N,106.32632120285044E,445
524,Duy Tiên District-20.jpeg,0.9472190290689468,20.564800039756957N,105.97057096411882E,342
394,Thanh Liêm District-287.jpeg,0.9471910670399666,20.410021342582795N,105.93332984179821E,374
165,Hung Yen City-293.jpeg,0.9468931630253792,20.63678227502942N,106.0604834239998E,297
90,Ninh Bình-236.jpeg,0.946801207959652,20.238832541954036N,105.9916872412553E,881
323,Thanh Liêm District-338.jpeg,0.9465995579957962,20.415411209634446N,105.90456870432516E,380
38,Long Xuyen City-551.jpeg,0.9457511380314828,10.35831374015807N,105.4468064237052E,11
580,Thanh Liêm District-1241.jpeg,0.945738211274147,20.46930988015091N,105.94195818304013E,401
319,Thanh Liêm District-1848.jpeg,0.945667214691639,20.507038949512445N,105.93045372805089E,398
106,Hiệp Hòa District-62.jpeg,0.9451158046722412,21.237883740545165N,105.95145637212903E,165
96,Sa Đéc City-288.jpeg,0.9445344656705856,10.303100272517428N,105.74360167274783E,525
508,Hoa Lư District-1071.jpeg,0.9436510801315308,20.297704314771725N,105.94783524979243E,406
208,Hoa Lư District-1071.jpeg,0.9436510801315308,20.297704314771725N,105.94783524979243E,405
488,Hoa Lư District-1071.jpeg,0.9436510801315308,20.297704314771725N,105.94783524979243E,404
93,Chau Doc City-1166.jpeg,0.9433876723051072,10.714649543709534N,105.10425040588055E,5
426,Hiệp Hòa District-1643.jpeg,0.9432106390595436,21.34837601510432N,105.93988393586307E,148
194,Vĩnh Long-320.jpeg,0.941876694560051,10.251692338402854N,105.9856692097582E,48
515,Hiệp Hòa District-1225.jpeg,0.9417881742119788,21.32681654689765N,105.90805973613166E,161
399,Hiệp Hòa District-1225.jpeg,0.9417881742119788,21.32681654689765N,105.90805973613166E,160
492,Hiệp Hòa District-1625.jpeg,0.9417388886213304,21.34568108157849N,106.02378409879131E,185
651,Hiệp Hòa District-2439.jpeg,0.9407041370868684,21.41844428677601N,105.96881502652796E,135
284,Phu Ly City-754.jpeg,0.9399460032582284,20.55858427787936N,105.9761270862806E,360
414,Phu Ly City-754.jpeg,0.9399460032582284,20.55858427787936N,105.9761270862806E,361
387,Cao Lanh City-112.jpeg,0.9391946643590928,10.416324470250116N,105.66875586724257E,518
427,Hiệp Hòa District-1484.jpeg,0.9380996972322464,21.340291214526815N,105.90805973613166E,145
395,Hung Yen City-567.jpeg,0.9372140169143676,20.669121477339324N,106.0604834239998E,281
211,Hung Yen City-567.jpeg,0.9372140169143676,20.669121477339324N,106.0604834239998E,280
375,Thái Bình-173.jpeg,0.9370227158069612,20.433857974965427N,106.32632120285044E,432
559,Thái Bình-173.jpeg,0.9370227158069612,20.433857974965427N,106.32632120285044E,433
154,Yên Mỹ District-872.jpeg,0.9352299496531488,20.912478611516228N,106.004645319765E,108
98,Chau Doc City-790.jpeg,0.9326336830854416,10.685005274926342N,105.0740827731793E,4
180,Duy Tiên District-331.jpeg,0.9323797821998596,20.6133088432218N,105.98496901214044E,339
400,Cao Lanh City-935.jpeg,0.9321034029126168,10.478307941342212N,105.61394635255486E,507
379,Hiệp Hòa District-1521.jpeg,0.9306074380874634,21.340291214526815N,106.01510477159182E,183
367,Hiệp Hòa District-1521.jpeg,0.9306074380874634,21.340291214526815N,106.01510477159182E,182
354,Hiệp Hòa District-1034.jpeg,0.9302238076925278,21.313341879268485N,106.01799788065833E,181
29,Bac Giang City-624.jpeg,0.9286739751696588,21.291479478111672N,106.20540567787614E,200
232,Hung Yen City-731.jpeg,0.9259359166026117,20.69068094554593N,106.03456207446143E,270
623,Yên Mỹ District-285.jpeg,0.9246815368533134,20.872054608628797N,106.06233817461333E,258
191,Phu Ly City-405.jpeg,0.9237456917762756,20.534329876146938N,105.9876389223711E,357
283,Phu Ly City-405.jpeg,0.9237456917762756,20.534329876146938N,105.9876389223711E,358
649,Thanh Liêm District-636.jpeg,0.9233258068561554,20.434275744315205N,105.96209097927128E,370
373,Phu Ly City-691.jpeg,0.9232195988297462,20.555889344353528N,105.90130015169234E,628
288,Phu Ly City-691.jpeg,0.9232195988297462,20.555889344353528N,105.90130015169234E,109
366,Phu Ly City-419.jpeg,0.9206040427088736,20.537024809672765N,105.90417811071494E,627
499,Sa Đéc City-553.jpeg,0.917827196419239,10.343524275403572N,105.7381231385757E,521
15,Bến Tre City-220.jpeg,0.9141627922654152,10.221940538394358N,106.36527767355018E,703
332,Hiệp Hòa District-842.jpeg,0.9134483560919762,21.302562145165147N,105.99774611719289E,179
382,Mỹ Hào District-301.jpeg,0.911868505179882,20.917716409218183N,106.136808801113E,218
260,Hoa Lư District-151.jpeg,0.9114363342523576,20.200686707842156N,105.97081505380626E,423
415,Mỹ Tho-239.jpeg,0.9109816923737526,10.347575004905272N,106.3272695177709E,584
75,Long Hồ District-1327.jpeg,0.9079990684986116,10.221363642418622N,105.9345328281047E,564
305,Hiệp Hòa District-1852.jpeg,0.9072956666350364,21.359155749207655N,106.00063922625938E,184
280,Bac Giang City-368.jpeg,0.9035125374794006,21.27261494343084N,106.19094610501479E,208
466,Mỹ Tho-324.jpeg,0.9019238203763962,10.35296487195676N,106.34370720788299E,583
286,Bac Giang City-194.jpeg,0.90108422935009,21.25644534227584N,106.1764865321534E,188
272,Tây Ninh City-1662.jpeg,0.8997980356216431,11.431017979739876N,106.11413250131899E,611
384,Hiệp Hòa District-1802.jpeg,0.8944091796875,21.356460815681825N,105.98617368092694E,123
308,Hiệp Hòa District-1802.jpeg,0.8944091796875,21.356460815681825N,105.98617368092694E,124
240,Binh Minh Town-759.jpeg,0.8898057267069817,10.063890541798765N,105.81047785703304E,23
581,Long Hồ District-241.jpeg,0.8888057395815849,10.156685237800811N,105.94548679033528E,36
14,Duy Tiên District-151.jpeg,0.8800975009799004,20.589054441489374N,105.97920979293177E,340
40,Duy Tiên District-151.jpeg,0.8800975009799004,20.589054441489374N,105.97920979293177E,341
79,Cao Lanh City-760.jpeg,0.8774129301309586,10.462138340187751N,105.62764873122678E,510
628,Vĩnh Long-315.jpeg,0.8726796582341194,10.251692338402854N,105.97197589206726E,667
443,Vĩnh Long-315.jpeg,0.8726796582341194,10.251692338402854N,105.97197589206726E,44
489,Vĩnh Long-315.jpeg,0.8726796582341194,10.251692338402854N,105.97197589206726E,45
404,Phu Ly City-302.jpeg,0.8713269382715225,20.528940009095287N,105.93871361898645E,354
613,Phu Ly City-302.jpeg,0.8713269382715225,20.528940009095287N,105.93871361898645E,643
351,Tam Điệp-592.jpeg,0.8685802444815636,20.1547296095525N,105.92109909443417E,894
555,Tam Điệp-592.jpeg,0.8685802444815636,20.1547296095525N,105.92109909443417E,896
113,Thái Bình-733.jpeg,0.8608290180563927,20.48506171195607N,106.34645500475075E,454
7,Hoa Lư District-1205.jpeg,0.8604809418320656,20.311178982400836N,105.93921782328722E,402
339,Thanh Liêm District-1737.jpeg,0.8568908795714378,20.498954148934974N,105.95346263802935E,365
325,Go Cong Town-113.jpeg,0.8522978648543358,10.354965404332471N,106.66489235208824E,848
620,Hiệp Hòa District-10.jpeg,0.850064255297184,21.227104006441834N,105.97460124466096E,167
558,Hoa Lư District-120.jpeg,0.8433822020888329,20.197991774316336N,105.97081505380626E,424
453,Thanh Liêm District-1534.jpeg,0.8433645218610764,20.48547948130585N,105.96496709301853E,366
450,Thanh Liêm District-1534.jpeg,0.8433645218610764,20.48547948130585N,105.96496709301853E,367
314,Long Hồ District-283.jpeg,0.8313024714589119,10.159380171326553N,105.92084037531647E,35
115,Tam Điệp-636.jpeg,0.826895534992218,20.157424543078324N,105.90961578706928E,890
179,Ninh Bình-71.jpeg,0.8254426680505276,20.217273073747467N,105.9945596253111E,878
588,Cao Lanh City-215.jpeg,0.8231724202632904,10.424409270827347N,105.60298444961734E,495
357,Thanh Liêm District-1037.jpeg,0.8193805124610662,20.458530146047615N,105.89594036308324E,381
