,image,pred,lon,lat,anditi_id
14,Long Xuyen City-1158.jpeg,0.9493570104241372,10.412212410672934N,105.41393007181749E,936
32,Cao Lanh City-409.jpeg,0.9483595192432404,10.435189004930317N,105.6660153915082E,951
272,Mỹ Tho-680.jpeg,0.9450536146759988,10.377219273688445N,106.34370720788299E,810
27,Hiệp Hòa District-1095.jpeg,0.9449200555682182,21.318731746320154N,105.93120460866358E,157
30,Cao Lanh City-226.jpeg,0.9440459683537484,10.424409270827347N,105.63312968269553E,516
148,Vĩnh Long-90.jpeg,0.9394367933273317,10.235522737248402N,105.95554391083817E,659
196,Go Cong Town-328.jpeg,0.9390485361218452,10.376524872538408N,106.68133252539432E,602
216,Hiệp Hòa District-2220.jpeg,0.9341086447238922,21.388800017991827N,106.00931855345885E,131
34,Hiệp Hòa District-2220.jpeg,0.9341086447238922,21.388800017991827N,106.00931855345885E,132
37,Vĩnh Long-270.jpeg,0.9003169387578964,10.248997404877112N,105.96102123791452E,661
23,Vĩnh Long-315.jpeg,0.8726796582341194,10.251692338402854N,105.97197589206726E,46
22,Tam Điệp-592.jpeg,0.8685802444815636,20.1547296095525N,105.92109909443417E,895
19,Phu Ly City-418.jpeg,0.849982351064682,20.537024809672765N,105.90130015169234E,110
121,Cai Lậy Town-133.jpeg,0.7903529778122902,10.373638837862776N,106.12380066850477E,781
274,Mỹ Tho-411.jpeg,0.7809841460548341,10.358354739008243N,106.36288451301381E,818
273,Mỹ Tho-529.jpeg,0.7566730547696352,10.366439539585475N,106.35740528297643E,64
269,Hiệp Hòa District-40.jpeg,0.7321929996833205,21.235188807019327N,105.94567015399605E,166
63,Phu Ly City-509.jpeg,0.6552642229944468,20.54241467672441N,105.91568994680544E,631
65,Yên Mỹ District-324.jpeg,0.6213847817853093,20.87474954215463N,106.05945353187091E,259
83,Mỹ Tho-803.jpeg,0.5661212615668774,10.385304074265676N,106.36836374305116E,61
33,Mỹ Tho-803.jpeg,0.5661212615668774,10.385304074265676N,106.36836374305116E,828
190,Hung Yen City-657.jpeg,0.483221672475338,20.679901211442633N,106.08064447364077E,275
