,image,pred,lon,lat,anditi_id
96,Sa Đéc City-288.jpeg,0.9713514,10.303100272517428N,105.74360167274783E,525
7,Hoa Lư District-1205.jpeg,0.9699424,20.311178982400836N,105.93921782328722E,402
292,Sa Đéc City-666.jpeg,0.9698841,10.362388810083774N,105.72442680314542E,520
632,Trà Vinh City-104.jpeg,0.969519,9.906844904204586N,106.31534904879615E,742
420,Cao Lanh City-980.jpeg,0.9694186,10.481002874867958N,105.64683206136748E,947
43,Hoa Lư District-58.jpeg,0.96915036,20.192601907264688N,105.9449627742907E,426
162,Long Xuyen City-718.jpeg,0.96913785,10.371788407786786N,105.44954611969584E,12
609,Long Xuyen City-718.jpeg,0.96913785,10.371788407786786N,105.44954611969584E,928
40,Duy Tiên District-151.jpeg,0.9690662,20.589054441489374N,105.97920979293177E,341
14,Duy Tiên District-151.jpeg,0.9690662,20.589054441489374N,105.97920979293177E,340
88,Hoa Lư District-975.jpeg,0.96898615,20.28961951419425N,105.95358020079591E,408
657,Long Hồ District-294.jpeg,0.9682484,10.159380171326553N,105.95096377145056E,655
221,Long Xuyen City-730.jpeg,0.9674339,10.374483341312532N,105.39201250389237E,490
35,Cao Lanh City-937.jpeg,0.96737504,10.478307941342212N,105.61942730402363E,508
86,Duy Tiên District-1016.jpeg,0.9672599,20.653732846109186N,105.97633018332745E,314
318,Chau Doc City-476.jpeg,0.9668178,10.66614074024613N,105.04665765254184E,2
423,Chau Doc City-476.jpeg,0.9668178,10.66614074024613N,105.04665765254184E,1
34,Chau Doc City-1170.jpeg,0.96671796,10.714649543709534N,105.11522045413554E,466
243,Cao Lanh City-408.jpeg,0.966684,10.435189004930317N,105.6632749157738E,21
184,Mỹ Hào District-260.jpeg,0.96666247,20.915021475692363N,106.10218607197996E,225
38,Long Xuyen City-551.jpeg,0.96662307,10.35831374015807N,105.4468064237052E,11
227,Mỹ Hào District-184.jpeg,0.9664361,20.90693667511487N,106.11084175426323E,221
50,Mỹ Hào District-184.jpeg,0.9664361,20.90693667511487N,106.11084175426323E,222
8,Chau Doc City-351.jpeg,0.9664201,10.655361006143153N,105.12070547826302E,960
99,Long Xuyen City-317.jpeg,0.96631885,10.33675427195213N,105.4742033836116E,930
294,Bến Tre City-800.jpeg,0.96630293,10.267754408331982N,106.3406309042958E,698
81,Bến Tre City-800.jpeg,0.96630293,10.267754408331982N,106.3406309042958E,704
76,Bến Tre City-800.jpeg,0.96630293,10.267754408331982N,106.3406309042958E,689
92,Long Hồ District-1920.jpeg,0.9659963,10.280652179984958N,105.99751811093057E,550
97,Trà Vinh City-641.jpeg,0.9659579,9.979608109399596N,106.36186274507514E,572
51,Trà Vinh City-641.jpeg,0.9659579,9.979608109399596N,106.36186274507514E,571
650,Cao Lanh City-480.jpeg,0.9656749,10.440578871981804N,105.63312968269555E,514
282,Tây Ninh City-536.jpeg,0.9655654,11.350169973967425N,106.0921417909608E,609
17,Long Xuyen City-616.jpeg,0.9652466,10.363703607209557N,105.4468064237052E,10
351,Tam Điệp-592.jpeg,0.9652308,20.1547296095525N,105.92109909443417E,894
