,image,pred,lon,lat,anditi_id
26,Sa Đéc City-877.jpeg,0.9609038,10.293668005177352N,105.75866764172143E,906
45,Bến Tre City-490.jpeg,0.96040255,10.211160804291403N,106.37212399834277E,718
12,Thanh Liêm District-3202.jpeg,0.95699024,20.44505547841839N,105.92326344368263E,391
29,Duy Tiên District-3195.jpeg,0.95377886,20.641605645242862N,106.02096413219442E,309
32,Cao Lanh City-1606.jpeg,0.9521116,10.435189004930335N,105.6660153915082E,951
149,Bến Tre City-2693.jpeg,0.94844425,10.255627207466182N,106.36664693850851E,701
27,Hiệp Hòa District-4403.jpeg,0.9481881,21.318731746320022N,105.93120460866358E,157
19,Phu Ly City-1694.jpeg,0.94661194,20.537024809672698N,105.90130015169242E,110
15,Ninh Bình-500.jpeg,0.9451759,20.226705341087808N,106.0003043934227E,866
118,Tây Ninh City-356.jpeg,0.9430728,11.308398504318339N,106.09076737156332E,986
148,Vĩnh Long-352.jpeg,0.9382711,10.23552273724841N,105.95554391083778E,659
272,Mỹ Tho-2721.jpeg,0.93676364,10.377219273688485N,106.34370720788327E,810
25,Ninh Bình-563.jpeg,0.9314624,20.229400274613628N,105.97445293692057E,880
9,Vĩnh Long-2115.jpeg,0.9306545,10.26786193955734N,105.90761729891983E,649
244,Tây Ninh City-352.jpeg,0.9301694,11.308398504318339N,106.08526969397381E,964
34,Hiệp Hòa District-8884.jpeg,0.9297694,21.388800017991613N,106.00931855345885E,132
191,Cai Lậy Town-2894.jpeg,0.925018,10.415410307511838N,106.15394254116356E,769
129,Trà Vinh City-789.jpeg,0.91921365,9.918972105070441N,106.34134199671676E,757
23,Vĩnh Long-1217.jpeg,0.9125985,10.251692338402876N,105.97197589206677E,46
246,Sa Đéc City-754.jpeg,0.9065448,10.289625604888732N,105.75592837463535E,904
114,Phu Ly City-2032.jpeg,0.8988054,20.542414676724338N,105.90273913120375E,351
59,Mỹ Tho-3092.jpeg,0.8960012,10.383956607502846N,106.33411855531787E,806
68,Hung Yen City-2374.jpeg,0.8951183,20.673163877627978N,106.06336357394854E,279
62,Go Cong Town-430.jpeg,0.88550806,10.35361793756961N,106.67996251095214E,58
37,Vĩnh Long-966.jpeg,0.8767347,10.24764993811426N,105.96102123791414E,661
115,Phu Ly City-1715.jpeg,0.8667319,20.537024809672698N,105.93151872143017E,111
282,Hiệp Hòa District-7979.jpeg,0.8575592,21.369935483310798N,105.92107872693089E,142
13,Vĩnh Long-1210.jpeg,0.8394188,10.251692338402876N,105.9623905696832E,663
121,Cai Lậy Town-546.jpeg,0.8269587,10.373638837862787N,106.12380066850477E,781
166,Ninh Bình-2104.jpeg,0.82362,20.272519211026708N,105.95147386447422E,870
77,Thái Bình-761.jpeg,0.8220134,20.435205441728296N,106.31481617319312E,430
193,Vĩnh Long-1625.jpeg,0.8148998,10.258429672217233N,105.94869725199236E,656
8,Tây Ninh City-772.jpeg,0.79808325,11.31917823842134N,106.12925111468995E,96
63,Phu Ly City-2042.jpeg,0.791175,20.542414676724338N,105.91712892631695E,631
94,Cao Lanh City-3139.jpeg,0.77508175,10.464833273713532N,105.62079754189082E,943
78,Tây Ninh City-458.jpeg,0.7229883,11.311093437844091N,106.0990138879476E,987
97,Cao Lanh City-1476.jpeg,0.6964618,10.433841538167465N,105.60435468748452E,494
93,Vĩnh Long-1706.jpeg,0.5883197,10.259777138980107N,105.94048126137785E,654
186,Trà Vinh City-1048.jpeg,0.52198434,9.92975183917341N,106.33176564748287E,728
58,Mỹ Tho-741.jpeg,0.39978397,10.343532604616676N,106.31631105769634E,830
113,Trà Vinh City-643.jpeg,0.25476548,9.914929704781827N,106.30166854989055E,726
190,Hung Yen City-2636.jpeg,0.19564538,20.68124867820544N,106.08064447364077E,275
216,Hiệp Hòa District-8883.jpeg,0.18043476,21.388800017991613N,106.0078719989256E,131
16,Hiệp Hòa District-1356.jpeg,0.17903163,21.268875476092177N,106.00497888985912E,175
46,Cao Lanh City-2713.jpeg,0.17774051,10.455401006373423N,105.62079754189082E,940
143,Tây Ninh City-353.jpeg,0.17513259,11.308398504318339N,106.08664411337115E,989
82,Trà Vinh City-1402.jpeg,0.16040148,9.948616373853612N,106.32492539803008E,574
71,Yên Mỹ District-1399.jpeg,0.114499226,20.877444475680402N,106.03349174718953E,252
35,Hung Yen City-483.jpeg,0.11403464,20.621960140637352N,106.07920439866642E,299
116,Cai Lậy Town-2554.jpeg,0.11351846,10.40867297369747N,106.1525724560427E,85
30,Cao Lanh City-988.jpeg,0.11314055,10.42575673759023N,105.63312968269553E,516
126,Go Cong Town-2206.jpeg,0.10874117,10.40077927427014N,106.6758524676256E,54
