,image,pred,lon,lat,anditi_id
25,Cao Lanh City-3056.jpeg,0.9724015295505524,10.46348580695066N,105.58791183307821E,499
48,Hoa Lư District-3999.jpeg,0.9715010821819304,20.29231444771992N,105.90905683051905E,411
6,Tam Điệp-1576.jpeg,0.97137501090765,20.142602408686262N,105.87803669181591E,892
10,Tam Điệp-1576.jpeg,0.97137501090765,20.142602408686262N,105.87803669181591E,889
64,Sa Đéc City-558.jpeg,0.9713671952486038,10.282888271074373N,105.75592837463535E,531
28,Bến Tre City-1622.jpeg,0.9709950834512712,10.23676267278597N,106.40498635734843E,717
32,Yên Mỹ District-551.jpeg,0.9709390625357628,20.859927407762545N,106.06522281735626E,256
26,Tam Điệp-2494.jpeg,0.9708031192421912,20.15742454307825N,105.87229503813344E,886
54,Long Xuyen City-815.jpeg,0.9706471264362336,10.327322004612043N,105.48653201556947E,933
45,Long Xuyen City-815.jpeg,0.9706471264362336,10.327322004612043N,105.48653201556947E,934
566,Cao Lanh City-3509.jpeg,0.9706227481365204,10.47291807429077N,105.6482022992347E,20
621,Binh Minh Town-1084.jpeg,0.970523715019226,10.020771605386921N,105.83647841918126E,31
77,Chau Doc City-4764.jpeg,0.9705099165439606,10.72273434428684N,105.11110668603992E,6
34,Chau Doc City-4650.jpeg,0.970366597175598,10.714649543709605N,105.11522045413554E,466
33,Long Hồ District-1249.jpeg,0.970055378973484,10.16072763808944N,105.9181018847588E,34
52,Duy Tiên District-2232.jpeg,0.9699249267578124,20.62813097761375N,106.00944569377715E,315
5,Duy Tiên District-2232.jpeg,0.9699249267578124,20.62813097761375N,106.00944569377715E,316
22,Hoa Lư District-4780.jpeg,0.9698259830474854,20.309831515637743N,105.9406540610381E,403
302,Yên Mỹ District-3542.jpeg,0.969649352133274,20.91382607827904N,106.00464531976523E,625
154,Yên Mỹ District-3542.jpeg,0.969649352133274,20.91382607827904N,106.00464531976523E,108
8,Chau Doc City-1374.jpeg,0.9696381241083144,10.655361006143185N,105.12070547826302E,960
118,Hung Yen City-3244.jpeg,0.969556599855423,20.701460679649117N,106.05904334902549E,271
192,Hung Yen City-3244.jpeg,0.969556599855423,20.701460679649117N,106.05904334902549E,272
510,Binh Minh Town-3395.jpeg,0.9695084244012832,10.073322809138919N,105.81595165959065E,28
134,Hoa Lư District-2307.jpeg,0.9693535044789314,20.2438056442552N,105.93490911003464E,427
142,Hoa Lư District-2307.jpeg,0.9693535044789314,20.2438056442552N,105.93490911003464E,428
434,Binh Minh Town-3185.jpeg,0.9692546129226683,10.06793294208743N,105.79816180127872E,25
74,Yên Mỹ District-3493.jpeg,0.96924889087677,20.912478611516125N,106.03637638993193E,266
157,Yên Mỹ District-3493.jpeg,0.96924889087677,20.912478611516125N,106.03637638993193E,267
81,Bến Tre City-3200.jpeg,0.9691651538014412,10.267754408332031N,106.33926163933714E,704
76,Bến Tre City-3200.jpeg,0.9691651538014412,10.267754408332031N,106.33926163933714E,689
146,Mỹ Hào District-3736.jpeg,0.9690684974193572,20.964877745920074N,106.07477641141628E,621
18,Thái Bình-2479.jpeg,0.9690538719296456,20.47158704432686N,106.3780938363084E,859
82,Thái Bình-2479.jpeg,0.9690538719296456,20.47158704432686N,106.3780938363084E,458
92,Long Hồ District-7651.jpeg,0.9690242260694504,10.280652179985056N,105.99751811093057E,550
40,Duy Tiên District-592.jpeg,0.9689415320754052,20.589054441489335N,105.97776998812962E,341
121,Bac Giang City-1451.jpeg,0.9688543751835824,21.272614943430767N,106.16347291657819E,190
61,Bac Giang City-1451.jpeg,0.9688543751835824,21.272614943430767N,106.16347291657819E,191
41,Hung Yen City-1064.jpeg,0.9687227234244348,20.63408734150355N,106.07920439866642E,301
201,Long Xuyen City-2665.jpeg,0.968714214861393,10.369093474261087N,105.39749189587363E,918
3,Tam Điệp-1836.jpeg,0.9684151262044908,20.146644808974987N,105.92253450785479E,897
100,Chau Doc City-428.jpeg,0.9683938845992088,10.632454071174338N,105.09876538175307E,477
195,Bến Tre City-1445.jpeg,0.96831876039505,10.234067739260228N,106.36253914363279E,702
261,Cao Lanh City-4206.jpeg,0.9682907685637474,10.487740208682368N,105.61531659042207E,509
293,Duy Tiên District-3703.jpeg,0.968268871307373,20.649690445820323N,105.90290013841727E,325
294,Bến Tre City-3201.jpeg,0.9682613536715508,10.267754408332031N,106.34063090429568E,698
493,Duy Tiên District-1195.jpeg,0.968161717057228,20.610613909695914N,105.98064959773394E,335
106,Hiệp Hòa District-291.jpeg,0.9681172221899031,21.239231207308055N,105.95145637212903E,165
30,Tam Điệp-2689.jpeg,0.9680696129798888,20.16011947660407N,105.87085962471284E,429
111,Duy Tiên District-2980.jpeg,0.9679670855402946,20.638910711717042N,105.99504764575553E,310
105,Chau Doc City-1540.jpeg,0.9679306149482728,10.6594034064318N,105.05214267666935E,478
66,Duy Tiên District-4873.jpeg,0.9679305776953696,20.66586004697526N,105.99216803615124E,318
147,Yên Mỹ District-1817.jpeg,0.9679224267601968,20.884181809494965N,106.03349174718953E,246
126,Chau Doc City-4520.jpeg,0.9679009839892389,10.70925967665811N,105.12070547826302E,469
163,Binh Minh Town-3149.jpeg,0.9677991271018982,10.066585475324558N,105.81732011023E,27
177,Chau Doc City-3782.jpeg,0.9677849933505058,10.694437542266506N,105.12619050239051E,471
253,Hoa Lư District-4160.jpeg,0.9677174538373948,20.295009381245738N,105.94927148754331E,407
642,Cai Lậy Town-1667.jpeg,0.967684045433998,10.392503372543006N,106.17997415845981E,775
84,Duy Tiên District-3644.jpeg,0.9676826819777488,20.64834297905743N,105.95905252570155E,618
365,Sa Đéc City-760.jpeg,0.9675889909267426,10.289625604888732N,105.76414617589354E,909
124,Duy Tiên District-2963.jpeg,0.96757822483778,20.638910711717042N,105.97057096411882E,338
292,Sa Đéc City-2693.jpeg,0.9675315544009208,10.363736276846714N,105.72442680314552E,520
330,Yên Mỹ District-745.jpeg,0.9674380123615264,20.86531727481419N,106.03493406856072E,255
614,Thái Bình-928.jpeg,0.9674164429306984,20.437900375254113N,106.36227442052956E,459
182,Tây Ninh City-762.jpeg,0.9673641622066498,11.31917823842134N,106.11550692071616E,615
188,Cao Lanh City-2530.jpeg,0.9672703817486764,10.45135860608481N,105.6427213477659E,949
203,Go Cong Town-880.jpeg,0.9672466292977332,10.365745138435459N,106.67037240985691E,858
