,image,pred,lon,lat,anditi_id
45,Bến Tre City-490.jpeg,0.968034565448761,10.211160804291403N,106.37212399834277E,718
13,Vĩnh Long-1210.jpeg,0.966145560145378,10.251692338402876N,105.9623905696832E,663
26,Sa Đéc City-877.jpeg,0.9655998423695564,10.293668005177352N,105.75866764172143E,906
29,Duy Tiên District-3195.jpeg,0.9645579904317856,20.641605645242862N,106.02096413219442E,309
25,Ninh Bình-563.jpeg,0.9644480869174004,20.229400274613628N,105.97445293692057E,880
12,Thanh Liêm District-3202.jpeg,0.963917076587677,20.44505547841839N,105.92326344368263E,391
15,Ninh Bình-500.jpeg,0.9636768996715546,20.226705341087808N,106.0003043934227E,866
68,Hung Yen City-2374.jpeg,0.9631110280752182,20.673163877627978N,106.06336357394854E,279
32,Cao Lanh City-1606.jpeg,0.9628928825259208,10.435189004930335N,105.6660153915082E,951
272,Mỹ Tho-2721.jpeg,0.9628920555114746,10.377219273688485N,106.34370720788327E,810
27,Hiệp Hòa District-4403.jpeg,0.962029494345188,21.318731746320022N,105.93120460866358E,157
8,Tây Ninh City-772.jpeg,0.9618707373738288,11.31917823842134N,106.12925111468995E,96
59,Mỹ Tho-3092.jpeg,0.9617582783102988,10.383956607502846N,106.33411855531787E,806
149,Bến Tre City-2693.jpeg,0.961641937494278,10.255627207466182N,106.36664693850851E,701
62,Go Cong Town-430.jpeg,0.9600924775004388,10.35361793756961N,106.67996251095214E,58
115,Phu Ly City-1715.jpeg,0.960025116801262,20.537024809672698N,105.93151872143017E,111
148,Vĩnh Long-352.jpeg,0.9597762525081636,10.23552273724841N,105.95554391083778E,659
129,Trà Vinh City-789.jpeg,0.959579072892666,9.918972105070441N,106.34134199671676E,757
217,Long Hồ District-3924.jpeg,0.9593088179826736,10.193066840398368N,106.01394905427645E,684
19,Phu Ly City-1694.jpeg,0.9590612649917604,20.537024809672698N,105.90130015169242E,110
78,Tây Ninh City-458.jpeg,0.9586213231086732,11.311093437844091N,106.0990138879476E,987
282,Hiệp Hòa District-7979.jpeg,0.9577763378620148,21.369935483310798N,105.92107872693089E,142
244,Tây Ninh City-352.jpeg,0.9574553295969964,11.308398504318339N,106.08526969397381E,964
23,Vĩnh Long-1217.jpeg,0.957449235022068,10.251692338402876N,105.97197589206677E,46
9,Vĩnh Long-2115.jpeg,0.9571568220853806,10.26786193955734N,105.90761729891983E,649
63,Phu Ly City-2042.jpeg,0.9571284502744676,20.542414676724338N,105.91712892631695E,631
193,Vĩnh Long-1625.jpeg,0.9569176957011224,10.258429672217233N,105.94869725199236E,656
191,Cai Lậy Town-2894.jpeg,0.9563669636845588,10.415410307511838N,106.15394254116356E,769
34,Hiệp Hòa District-8884.jpeg,0.9563044533133508,21.388800017991613N,106.00931855345885E,132
118,Tây Ninh City-356.jpeg,0.9552990943193436,11.308398504318339N,106.09076737156332E,986
246,Sa Đéc City-754.jpeg,0.9549098834395408,10.289625604888732N,105.75592837463535E,904
43,Mỹ Tho-2031.jpeg,0.9548763260245324,10.365092072822634N,106.35192605293939E,837
42,Cai Lậy Town-1659.jpeg,0.9538548216223716,10.392503372543006N,106.16901347749294E,777
121,Cai Lậy Town-546.jpeg,0.9536948949098588,10.373638837862787N,106.12380066850477E,781
77,Thái Bình-761.jpeg,0.9534501433372498,20.435205441728296N,106.31481617319312E,430
58,Mỹ Tho-741.jpeg,0.953114166855812,10.343532604616676N,106.31631105769634E,830
190,Hung Yen City-2636.jpeg,0.9518887773156166,20.68124867820544N,106.08064447364077E,275
1,Cao Lanh City-1072.jpeg,0.9480095207691192,10.427104204353101N,105.63312968269553E,517
94,Cao Lanh City-3139.jpeg,0.9470097720623016,10.464833273713532N,105.62079754189082E,943
114,Phu Ly City-2032.jpeg,0.9466526433825492,20.542414676724338N,105.90273913120375E,351
137,Bến Tre City-2152.jpeg,0.9461155533790588,10.246194940126077N,106.36390840859136E,699
287,Bến Tre City-2152.jpeg,0.9461155533790588,10.246194940126077N,106.36390840859136E,715
37,Vĩnh Long-966.jpeg,0.9460584372282028,10.24764993811426N,105.96102123791414E,661
87,Long Hồ District-5733.jpeg,0.9451343566179276,10.229448442995913N,105.95507150728706E,658
30,Cao Lanh City-988.jpeg,0.9431199356913568,10.42575673759023N,105.63312968269553E,516
98,Sa Đéc City-1044.jpeg,0.9387532472610474,10.299057872228836N,105.75729800817835E,527
11,Long Xuyen City-918.jpeg,0.9350413307547568,10.330016938137788N,105.45639535967244E,493
81,Long Hồ District-7876.jpeg,0.9257258996367456,10.284694580273671N,105.99067188453644E,548
216,Hiệp Hòa District-8883.jpeg,0.9100948199629784,21.388800017991613N,106.0078719989256E,131
283,Mỹ Tho-1721.jpeg,0.9080740660429,10.359702205771145N,106.36425432052353E,819
186,Trà Vinh City-1048.jpeg,0.9050797149538994,9.92975183917341N,106.33176564748287E,728
112,Cao Lanh City-3258.jpeg,0.8934262916445732,10.467528207239278N,105.62216777975802E,17
281,Mỹ Tho-1378.jpeg,0.8680735379457474,10.354312338719653N,106.33274874780851E,585
88,Phu Ly City-4056.jpeg,0.8632803708314896,20.58418614637456N,105.93151872143017E,343
72,Hung Yen City-1339.jpeg,0.8568837866187096,20.64082467531811N,106.0604834239998E,295
86,Go Cong Town-992.jpeg,0.8524999618530273,10.368440071961205N,106.67859249650996E,856
40,Long Xuyen City-3161.jpeg,0.850682757794857,10.378525741601193N,105.43995718372858E,926
46,Cao Lanh City-2713.jpeg,0.8431205824017525,10.455401006373423N,105.62079754189082E,940
265,Cai Lậy Town-2931.jpeg,0.8362469375133514,10.416757774274714N,106.1224305833839E,596
83,Mỹ Tho-3272.jpeg,0.8250174075365067,10.386651541028591N,106.36836374305156E,61
33,Mỹ Tho-3272.jpeg,0.8250174075365067,10.386651541028591N,106.36836374305156E,828
93,Vĩnh Long-1706.jpeg,0.8192272651940584,10.259777138980107N,105.94048126137785E,654
168,Bến Tre City-1524.jpeg,0.81846072524786,10.235415206023102N,106.37212399834277E,693
235,Go Cong Town-566.jpeg,0.7973308619111776,10.357660337858226N,106.67996251095214E,57
153,Cai Lậy Town-532.jpeg,0.7855238877236843,10.373638837862787N,106.10461947681281E,597
0,Duy Tiên District-3368.jpeg,0.7830184064805508,20.644300578768686N,105.98496901214044E,619
236,Long Hồ District-6374.jpeg,0.7682650592178106,10.24696551091325N,106.00299509204586E,679
218,Long Xuyen City-1716.jpeg,0.7589930593967438,10.347534006055131N,105.45913505566305E,15
56,Bến Tre City-1657.jpeg,0.7556174546480179,10.238110139548848N,106.35021575900566E,707
166,Ninh Bình-2104.jpeg,0.7503529749810696,20.272519211026708N,105.95147386447422E,870
241,Cai Lậy Town-1867.jpeg,0.7373653165996075,10.39654577283162N,106.12106049826308E,765
97,Cao Lanh City-1476.jpeg,0.7276067635975778,10.433841538167465N,105.60435468748452E,494
134,Bến Tre City-1608.jpeg,0.7126828283071518,10.23676267278597N,106.38581664792846E,697
143,Tây Ninh City-353.jpeg,0.7086975052952766,11.308398504318339N,106.08664411337115E,989
146,Tây Ninh City-800.jpeg,0.668995562940836,11.320525705184215N,106.09076737156332E,990
138,Tây Ninh City-800.jpeg,0.668995562940836,11.320525705184215N,106.09076737156332E,985
286,Thái Bình-743.jpeg,0.6147370859980583,20.433857974965385N,106.38240822242985E,461
35,Hung Yen City-483.jpeg,0.6055700834840536,20.621960140637352N,106.07920439866642E,299
10,Long Xuyen City-3157.jpeg,0.6035330556333065,10.378525741601193N,105.43447779174731E,938
