,image,pred,lon,lat,anditi_id
77,Chau Doc City-4764.jpeg,0.96891800314188,10.72273434428684N,105.11110668603992E,6
25,Cao Lanh City-3056.jpeg,0.9681569337844848,10.46348580695066N,105.58791183307821E,499
28,Bến Tre City-1622.jpeg,0.9679138287901878,10.23676267278597N,106.40498635734843E,717
106,Hiệp Hòa District-291.jpeg,0.9671614319086076,21.239231207308055N,105.95145637212903E,165
8,Chau Doc City-1374.jpeg,0.9669166579842569,10.655361006143185N,105.12070547826302E,960
34,Chau Doc City-4650.jpeg,0.9664279147982596,10.714649543709605N,105.11522045413554E,466
32,Yên Mỹ District-551.jpeg,0.966295912861824,20.859927407762545N,106.06522281735626E,256
642,Cai Lậy Town-1667.jpeg,0.966263882815838,10.392503372543006N,106.17997415845981E,775
26,Tam Điệp-2494.jpeg,0.9657593220472336,20.15742454307825N,105.87229503813344E,886
566,Cao Lanh City-3509.jpeg,0.9650356471538544,10.47291807429077N,105.6482022992347E,20
64,Sa Đéc City-558.jpeg,0.9647885039448738,10.282888271074373N,105.75592837463535E,531
45,Long Xuyen City-815.jpeg,0.964607335627079,10.327322004612043N,105.48653201556947E,934
54,Long Xuyen City-815.jpeg,0.964607335627079,10.327322004612043N,105.48653201556947E,933
92,Long Hồ District-7651.jpeg,0.9645913913846016,10.280652179985056N,105.99751811093057E,550
48,Hoa Lư District-3999.jpeg,0.9644458740949632,20.29231444771992N,105.90905683051905E,411
201,Long Xuyen City-2665.jpeg,0.9636415988206865,10.369093474261087N,105.39749189587363E,918
203,Go Cong Town-880.jpeg,0.9633293077349664,10.365745138435459N,106.67037240985691E,858
126,Chau Doc City-4520.jpeg,0.9630601555109024,10.70925967665811N,105.12070547826302E,469
157,Yên Mỹ District-3493.jpeg,0.9629026800394058,20.912478611516125N,106.03637638993193E,267
74,Yên Mỹ District-3493.jpeg,0.9629026800394058,20.912478611516125N,106.03637638993193E,266
238,Yên Mỹ District-2234.jpeg,0.9627954214811324,20.890919143309524N,106.0205108548486E,248
21,Yên Mỹ District-2234.jpeg,0.9627954214811324,20.890919143309524N,106.0205108548486E,247
147,Yên Mỹ District-1817.jpeg,0.9627520367503166,20.884181809494965N,106.03349174718953E,246
121,Bac Giang City-1451.jpeg,0.9626197665929794,21.272614943430767N,106.16347291657819E,190
61,Bac Giang City-1451.jpeg,0.9626197665929794,21.272614943430767N,106.16347291657819E,191
47,Mỹ Hào District-270.jpeg,0.9623067155480384,20.89346200748571N,106.09785823083833E,223
76,Bến Tre City-3200.jpeg,0.9620045125484468,10.267754408332031N,106.33926163933714E,689
