,image,pred,lon,lat,anditi_id
45,Bến Tre City-490.jpeg,0.9569693207740784,10.211160804291403N,106.37212399834277E,718
29,Duy Tiên District-3195.jpeg,0.9549379944801332,20.641605645242862N,106.02096413219442E,309
26,Sa Đéc City-877.jpeg,0.9541670233011246,10.293668005177352N,105.75866764172143E,906
149,Bến Tre City-2693.jpeg,0.9493009597063063,10.255627207466182N,106.36664693850851E,701
32,Cao Lanh City-1606.jpeg,0.9483595192432404,10.435189004930335N,105.6660153915082E,951
15,Ninh Bình-500.jpeg,0.9453898891806602,20.226705341087808N,106.0003043934227E,866
272,Mỹ Tho-2721.jpeg,0.9450536146759988,10.377219273688485N,106.34370720788327E,810
27,Hiệp Hòa District-4403.jpeg,0.9449200555682182,21.318731746320022N,105.93120460866358E,157
12,Thanh Liêm District-3202.jpeg,0.9433493092656136,20.44505547841839N,105.92326344368263E,391
148,Vĩnh Long-352.jpeg,0.9394367933273317,10.23552273724841N,105.95554391083778E,659
34,Hiệp Hòa District-8884.jpeg,0.9341086447238922,21.388800017991613N,106.00931855345885E,132
25,Ninh Bình-563.jpeg,0.9270001724362372,20.229400274613628N,105.97445293692057E,880
118,Tây Ninh City-356.jpeg,0.9246946275234222,11.308398504318339N,106.09076737156332E,986
9,Vĩnh Long-2115.jpeg,0.9245968163013458,10.26786193955734N,105.90761729891983E,649
244,Tây Ninh City-352.jpeg,0.9216229170560836,11.308398504318339N,106.08526969397381E,964
63,Phu Ly City-2042.jpeg,0.92001773416996,20.542414676724338N,105.91712892631695E,631
59,Mỹ Tho-3092.jpeg,0.9146132171154022,10.383956607502846N,106.33411855531787E,806
191,Cai Lậy Town-2894.jpeg,0.905977763235569,10.415410307511838N,106.15394254116356E,769
13,Vĩnh Long-1210.jpeg,0.9003638699650764,10.251692338402876N,105.9623905696832E,663
68,Hung Yen City-2374.jpeg,0.8935201913118362,20.673163877627978N,106.06336357394854E,279
8,Tây Ninh City-772.jpeg,0.8922350257635117,11.31917823842134N,106.12925111468995E,96
23,Vĩnh Long-1217.jpeg,0.8726796582341194,10.251692338402876N,105.97197589206677E,46
37,Vĩnh Long-966.jpeg,0.8574472516775131,10.24764993811426N,105.96102123791414E,661
19,Phu Ly City-1694.jpeg,0.849982351064682,20.537024809672698N,105.90130015169242E,110
193,Vĩnh Long-1625.jpeg,0.8467805534601212,10.258429672217233N,105.94869725199236E,656
94,Cao Lanh City-3139.jpeg,0.8377770036458969,10.464833273713532N,105.62079754189082E,943
62,Go Cong Town-430.jpeg,0.7971499115228653,10.35361793756961N,106.67996251095214E,58
121,Cai Lậy Town-546.jpeg,0.7903529778122902,10.373638837862787N,106.12380066850477E,781
129,Trà Vinh City-789.jpeg,0.7558257933706045,9.918972105070441N,106.34134199671676E,757
282,Hiệp Hòa District-7979.jpeg,0.7526247072964907,21.369935483310798N,105.92107872693089E,142
77,Thái Bình-761.jpeg,0.7408070331439376,20.435205441728296N,106.31481617319312E,430
114,Phu Ly City-2032.jpeg,0.7323825657367706,20.542414676724338N,105.90273913120375E,351
115,Phu Ly City-1715.jpeg,0.681759868748486,20.537024809672698N,105.93151872143017E,111
78,Tây Ninh City-458.jpeg,0.6564480289816856,11.311093437844091N,106.0990138879476E,987
166,Ninh Bình-2104.jpeg,0.6299372697249055,20.272519211026708N,105.95147386447422E,870
58,Mỹ Tho-741.jpeg,0.5388086438179016,10.343532604616676N,106.31631105769634E,830
42,Cai Lậy Town-1659.jpeg,0.4604115532711148,10.392503372543006N,106.16901347749294E,777
246,Sa Đéc City-754.jpeg,0.4336180513491854,10.289625604888732N,105.75592837463535E,904
216,Hiệp Hòa District-8883.jpeg,0.4263760298490524,21.388800017991613N,106.0078719989256E,131
16,Hiệp Hòa District-1356.jpeg,0.4078682418912649,21.268875476092177N,106.00497888985912E,175
217,Long Hồ District-3924.jpeg,0.3981138744857162,10.193066840398368N,106.01394905427645E,684
93,Vĩnh Long-1706.jpeg,0.357501673977822,10.259777138980107N,105.94048126137785E,654
87,Long Hồ District-5733.jpeg,0.2870975183323025,10.229448442995913N,105.95507150728706E,658
46,Cao Lanh City-2713.jpeg,0.2717716863844543,10.455401006373423N,105.62079754189082E,940
30,Cao Lanh City-988.jpeg,0.2426662663929164,10.42575673759023N,105.63312968269553E,516
113,Trà Vinh City-643.jpeg,0.2410183493047952,9.914929704781827N,106.30166854989055E,726
43,Mỹ Tho-2031.jpeg,0.2326420228928327,10.365092072822634N,106.35192605293939E,837
126,Go Cong Town-2206.jpeg,0.2316284687258303,10.40077927427014N,106.6758524676256E,54
143,Tây Ninh City-353.jpeg,0.2273618653416633,11.308398504318339N,106.08664411337115E,989
11,Long Xuyen City-918.jpeg,0.2264738897792995,10.330016938137788N,105.45639535967244E,493
82,Trà Vinh City-1402.jpeg,0.2104283962398767,9.948616373853612N,106.32492539803008E,574
137,Bến Tre City-2152.jpeg,0.2101680987980216,10.246194940126077N,106.36390840859136E,699
287,Bến Tre City-2152.jpeg,0.2101680987980216,10.246194940126077N,106.36390840859136E,715
20,Binh Minh Town-86.jpeg,0.1994715994223952,9.992474803366619N,105.87342658644441E,537
186,Trà Vinh City-1048.jpeg,0.1921173683367669,9.92975183917341N,106.33176564748287E,728
235,Go Cong Town-566.jpeg,0.1783023583702743,10.357660337858226N,106.67996251095214E,57
146,Tây Ninh City-800.jpeg,0.1766329044476151,11.320525705184215N,106.09076737156332E,990
138,Tây Ninh City-800.jpeg,0.1766329044476151,11.320525705184215N,106.09076737156332E,985
281,Mỹ Tho-1378.jpeg,0.1651123943738639,10.354312338719653N,106.33274874780851E,585
92,Tây Ninh City-2331.jpeg,0.1532403081655502,11.352864907493213N,106.14711856685587E,983
153,Cai Lậy Town-532.jpeg,0.1442206734791398,10.373638837862787N,106.10461947681281E,597
112,Cao Lanh City-3258.jpeg,0.1361645348370075,10.467528207239278N,105.62216777975802E,17
97,Cao Lanh City-1476.jpeg,0.1351527026854455,10.433841538167465N,105.60435468748452E,494
72,Hung Yen City-1339.jpeg,0.1215348518453538,20.64082467531811N,106.0604834239998E,295
95,Trà Vinh City-1129.jpeg,0.1202180357649922,9.933794239462024N,106.33997394682622E,733
101,Trà Vinh City-1129.jpeg,0.1202180357649922,9.933794239462024N,106.33997394682622E,758
96,Phu Ly City-1536.jpeg,0.1181046185083687,20.53432987614687N,105.9200068853396E,352
190,Hung Yen City-2636.jpeg,0.1008295640349388,20.68124867820544N,106.08064447364077E,275
109,Bac Giang City-1412.jpeg,0.0889588464051485,21.271267476667855N,106.20106780601776E,1001
249,Ninh Bình-2075.jpeg,0.0799867494497448,20.2711717442638N,105.96296340069738E,416
117,Hiệp Hòa District-3959.jpeg,0.0798095962963998,21.311994412505456N,105.95145637212903E,151
71,Yên Mỹ District-1399.jpeg,0.0784939641598612,20.877444475680402N,106.03349174718953E,252
88,Phu Ly City-4056.jpeg,0.0767150926403701,20.58418614637456N,105.93151872143017E,343
33,Mỹ Tho-3272.jpeg,0.0744608561508357,10.386651541028591N,106.36836374305156E,828
83,Mỹ Tho-3272.jpeg,0.0744608561508357,10.386651541028591N,106.36836374305156E,61
38,Thanh Liêm District-462.jpeg,0.0728986365720629,20.391156807901996N,105.91032093181974E,377
40,Long Xuyen City-3161.jpeg,0.0709501761011779,10.378525741601193N,105.43995718372858E,926
116,Cai Lậy Town-2554.jpeg,0.0695956130512058,10.40867297369747N,106.1525724560427E,85
91,Tây Ninh City-2815.jpeg,0.0674208961427211,11.360949708070462N,106.16498601902181E,613
35,Hung Yen City-483.jpeg,0.0662117484025657,20.621960140637352N,106.07920439866642E,299
81,Long Hồ District-7876.jpeg,0.0644270651973784,10.284694580273671N,105.99067188453644E,548
5,Tây Ninh City-730.jpeg,0.0632452741265297,11.317830771658468N,106.14299530866373E,614
107,Chau Doc City-2191.jpeg,0.0626921169459819,10.670183140534787N,105.0740827731793E,955
110,Tây Ninh City-4792.jpeg,0.0624979827553033,11.393288910379463N,106.12925111468995E,980
57,Mỹ Hào District-1355.jpeg,0.0603492390364408,20.921758809506876N,106.09353038969671E,232
31,Mỹ Hào District-1355.jpeg,0.0603492390364408,20.921758809506876N,106.09353038969671E,231
4,Phu Ly City-2658.jpeg,0.0592184751294553,20.553194410827622N,105.93295770094146E,642
205,Hung Yen City-2592.jpeg,0.0573132070712745,20.67990121144253N,106.07920439866642E,274
155,Cai Lậy Town-995.jpeg,0.0570868086069822,10.381723638440027N,106.13887160483415E,79
265,Cai Lậy Town-2931.jpeg,0.0570018701255321,10.416757774274714N,106.1224305833839E,596
22,Tam Điệp-2433.jpeg,0.0568797895684838,20.156077076315338N,105.92109909443417E,895
89,Ninh Bình-1010.jpeg,0.0564622227102518,20.241527475479803N,105.95434624853E,417
67,Binh Minh Town-3193.jpeg,0.0555771579965949,10.06793294208743N,105.80910940639374E,24
241,Cai Lậy Town-1867.jpeg,0.05519061954692,10.39654577283162N,106.12106049826308E,765
50,Cai Lậy Town-1443.jpeg,0.0547683821059763,10.38980843901726N,106.09502888096684E,759
180,Long Hồ District-7152.jpeg,0.0545011097565293,10.271219912644948N,106.00299509204586E,554
108,Trà Vinh City-1252.jpeg,0.0517106805928051,9.940531573276383N,106.33997394682622E,577
120,Trà Vinh City-1252.jpeg,0.0517106805928051,9.940531573276383N,106.33997394682622E,576
106,Trà Vinh City-2748.jpeg,0.0516383326612412,9.986345443214013N,106.31261294901503E,741
183,Ninh Bình-1324.jpeg,0.0507932249456644,20.248264809294348N,105.98019770503211E,863
47,Binh Minh Town-827.jpeg,0.0507181072607636,10.014034271572568N,105.88711109283818E,538
232,Ninh Bình-1534.jpeg,0.0504769068211317,20.253654676345977N,105.9672719767811E,869
49,Trà Vinh City-884.jpeg,0.05038174521178,9.923014505359054N,106.31124489912449E,732
2,Tây Ninh City-189.jpeg,0.0501675219275057,11.30300863726684N,106.11000924312664E,95
103,Long Xuyen City-1717.jpeg,0.0501021509990096,10.347534006055131N,105.4605049036584E,929
127,Tây Ninh City-55.jpeg,0.0498316483572125,11.29761877021534N,106.10588598493449E,992
14,Long Xuyen City-4630.jpeg,0.0494574927724897,10.412212410673003N,105.41529991981282E,936
73,Hiệp Hòa District-2493.jpeg,0.0493859914131462,21.289087477535897N,105.92686494506385E,162
99,Ninh Bình-1377.jpeg,0.0491704531013965,20.249612276057256N,105.97158055286475E,873
76,Sa Đéc City-1124.jpeg,0.0491550303995609,10.301752805754587N,105.75455874109232E,526
209,Bac Giang City-1502.jpeg,0.049080389086157,21.273962410193683N,106.14178355728613E,193
125,Mỹ Tho-2755.jpeg,0.048389381263405,10.377219273688485N,106.39028066320114E,839
39,Phu Ly City-1706.jpeg,0.048376808874309,20.537024809672698N,105.91856790582827E,635
