,image,pred,lon,lat,anditi_id
22,Hoa Lư District-4780.jpeg,0.9723911,20.309831515637743N,105.94065406103809E,403
28,Bến Tre City-1622.jpeg,0.9723456,10.23676267278597N,106.40498635734843E,717
7,Hoa Lư District-4828.jpeg,0.9719704,20.311178982400655N,105.93921782328722E,402
52,Duy Tiên District-2232.jpeg,0.9718418,20.62813097761375N,106.00944569377715E,315
5,Duy Tiên District-2232.jpeg,0.9718418,20.62813097761375N,106.00944569377715E,316
6,Tam Điệp-1576.jpeg,0.971835,20.142602408686262N,105.87803669181591E,892
10,Tam Điệp-1576.jpeg,0.971835,20.142602408686262N,105.87803669181591E,889
26,Tam Điệp-2494.jpeg,0.9710655,20.15742454307825N,105.87229503813346E,886
474,Binh Minh Town-3886.jpeg,0.9709907,10.086797476767636N,105.82963616598438E,29
25,Cao Lanh City-3056.jpeg,0.97084945,10.46348580695066N,105.58791183307821E,499
45,Long Xuyen City-815.jpeg,0.970809,10.327322004612043N,105.48653201556948E,934
54,Long Xuyen City-815.jpeg,0.970809,10.327322004612043N,105.48653201556948E,933
32,Yên Mỹ District-551.jpeg,0.9707539,20.859927407762545N,106.06522281735624E,256
34,Chau Doc City-4650.jpeg,0.9707201,10.714649543709605N,105.11522045413554E,466
121,Bac Giang City-1451.jpeg,0.9707008,21.272614943430767N,106.16347291657819E,190
61,Bac Giang City-1451.jpeg,0.9707008,21.272614943430767N,106.16347291657819E,191
41,Hung Yen City-1064.jpeg,0.9704023,20.634087341503548N,106.07920439866642E,301
565,Cao Lanh City-3509.jpeg,0.9704011,10.472918074290767N,105.64820229923467E,20
9,Long Xuyen City-3798.jpeg,0.9702791,10.392000409229915N,105.41666976780813E,920
192,Hung Yen City-3244.jpeg,0.9702571,20.701460679649117N,106.05904334902549E,272
118,Hung Yen City-3244.jpeg,0.9702571,20.701460679649117N,106.05904334902549E,271
92,Long Hồ District-7651.jpeg,0.9702186,10.280652179985056N,105.99751811093057E,550
48,Hoa Lư District-3999.jpeg,0.9701073,20.29231444771992N,105.90905683051905E,411
77,Chau Doc City-4764.jpeg,0.97007567,10.72273434428684N,105.11110668603992E,6
33,Long Hồ District-1249.jpeg,0.9698743,10.16072763808944N,105.91810188475881E,34
64,Sa Đéc City-558.jpeg,0.9697398,10.282888271074373N,105.75592837463535E,531
8,Chau Doc City-1374.jpeg,0.96959496,10.655361006143185N,105.12070547826302E,960
