,Unnamed: 0.1,Unnamed: 0,district,index,longitude,latitude,geometry,sum
0,5261,6408,Chau Doc City,569,11696793.3898806,1194877.9149808907,POINT (11696793.3898806 1194877.9149808907),790
1,5213,6315,Chau Doc City,476,11693740.439416291,1194267.3635119312,POINT (11693740.439416291 1194267.3635119312),196
2,5213,6315,Chau Doc City,476,11693740.439416291,1194267.3635119312,POINT (11693740.439416291 1194267.3635119312),196
3,5285,6455,Chau Doc City,616,11698014.570066324,1195183.1947736428,POINT (11698014.570066324 1195183.1947736428),524
4,5385,6629,Chau Doc City,790,11696793.3898806,1196404.3410166784,POINT (11696793.3898806 1196404.3410166784),382
5,5635,7005,Chau Doc City,1166,11700151.63539134,1199762.716847599,POINT (11700151.63539134 1199762.716847599),331
6,5657,7036,Chau Doc City,1197,11701067.520530632,1200678.6945522318,POINT (11701067.520530632 1200678.6945522318),755
7,5656,7035,Chau Doc City,1196,11700762.225484202,1200678.6945522318,POINT (11700762.225484202 1200678.6945522318),242
8,5522,6821,Chau Doc City,982,11705036.356134232,1197625.530609684,POINT (11705036.356134232 1197625.530609684),764
9,16560,20526,Long Xuyen City,816,11737674.833738538,1161855.0506441817,POINT (11737674.833738538 1161855.0506441817),881
10,16385,20326,Long Xuyen City,616,11738284.796863751,1160025.1588722342,POINT (11738284.796863751 1160025.1588722342),852
11,16326,20261,Long Xuyen City,551,11738284.796863751,1159415.2159426033,POINT (11738284.796863751 1159415.2159426033),602
12,16476,20428,Long Xuyen City,718,11738589.778426358,1160940.0929434858,POINT (11738589.778426358 1160940.0929434858),823
13,16286,20207,Long Xuyen City,497,11739809.704676785,1158805.2835005503,POINT (11739809.704676785 1158805.2835005503),857
14,16223,20115,Long Xuyen City,405,11739504.723114178,1157890.4044890846,POINT (11739504.723114178 1157890.4044890846),696
15,16243,20145,Long Xuyen City,435,11739504.723114178,1158195.3615403178,POINT (11739504.723114178 1158195.3615403178),819
16,16037,19849,Long Xuyen City,139,11742249.557177637,1155145.9087649598,POINT (11742249.557177637 1155145.9087649598),55
17,4602,5347,Cao Lanh City,818,11757805.93372437,1171776.4979839306,POINT (11757805.93372437 1171776.4979839306),607
18,4750,5508,Cao Lanh City,979,11760246.480630634,1173301.9095792358,POINT (11760246.480630634 1173301.9095792358),731
19,4778,5541,Cao Lanh City,1012,11759941.412267352,1173606.999859495,POINT (11759941.412267352 1173606.999859495),654
20,4664,5414,Cao Lanh City,885,11760551.548993915,1172386.6546637388,POINT (11760551.548993915 1172386.6546637388),847
21,4260,4937,Cao Lanh City,408,11762381.959173616,1168115.780394692,POINT (11762381.959173616 1168115.780394692),377
22,20429,24985,Sa Đéc City,188,11772848.561942872,1151643.0571270743,POINT (11772848.561942872 1151643.0571270743),841
23,1249,1605,Binh Minh Town,759,11778768.515637867,1126112.6671432178,POINT (11778768.515637867 1126112.6671432178),696
24,1269,1629,Binh Minh Town,783,11778463.845181167,1126417.3551028676,POINT (11778463.845181167 1126417.3551028676),734
25,1266,1626,Binh Minh Town,780,11777549.833811069,1126417.3551028676,POINT (11777549.833811069 1126417.3551028676),573
26,1289,1650,Binh Minh Town,804,11777245.163354369,1126722.045606671,POINT (11777245.163354369 1126722.045606671),610
27,1272,1632,Binh Minh Town,786,11779377.85655127,1126417.3551028676,POINT (11779377.85655127 1126417.3551028676),594
28,1318,1682,Binh Minh Town,836,11779377.85655127,1127026.7386553437,POINT (11779377.85655127 1127026.7386553437),594
29,1434,1809,Binh Minh Town,963,11780901.208834773,1128550.2420968374,POINT (11780901.208834773 1128550.2420968374),438
30,1071,1365,Binh Minh Town,519,11781510.549748171,1123675.2549695547,POINT (11781510.549748171 1123675.2549695547),545
31,907,1115,Binh Minh Town,269,11781510.549748171,1121238.0052090436,POINT (11781510.549748171 1121238.0052090436),226
32,857,1035,Binh Minh Town,189,11783947.913401777,1120324.0783461477,POINT (11783947.913401777 1120324.0783461477),222
33,14253,17726,Long Hồ District,439,11788615.235980485,1137824.581492097,POINT (11788615.235980485 1137824.581492097),536
34,14173,17623,Long Hồ District,336,11790749.16760142,1137215.0166946696,POINT (11790749.16760142 1137215.0166946696),494
35,14133,17570,Long Hồ District,283,11791054.014975842,1136910.2381506574,POINT (11791054.014975842 1136910.2381506574),611
36,14105,17528,Long Hồ District,241,11793797.641345616,1136605.462175489,POINT (11793797.641345616 1136605.462175489),618
37,14436,17965,Long Hồ District,678,11792578.251847938,1139043.7419446548,POINT (11792578.251847938 1139043.7419446548),647
38,14590,18131,Long Hồ District,844,11792578.251847938,1139958.1393071725,POINT (11792578.251847938 1139958.1393071725),551
39,14713,18273,Long Hồ District,986,11793187.94659678,1140872.5598538811,POINT (11793187.94659678 1140872.5598538811),798
40,14772,18345,Long Hồ District,1058,11791968.5570991,1141482.1864413647,POINT (11791968.5570991 1141482.1864413647),693
41,14505,18039,Long Hồ District,752,11798065.50458749,1139348.538490669,POINT (11798065.50458749 1139348.538490669),422
42,25963,32300,Vĩnh Long,37,11794917.194878845,1144912.7380839295,POINT (11794917.194878845 1144912.7380839295),839
43,26017,32354,Vĩnh Long,91,11795222.061509367,1145522.433158692,POINT (11795222.061509367 1145522.433158692),852
44,26240,32578,Vĩnh Long,315,11796746.39466199,1147351.580545092,POINT (11796746.39466199 1147351.580545092),1034
45,26240,32578,Vĩnh Long,315,11796746.39466199,1147351.580545092,POINT (11796746.39466199 1147351.580545092),1034
46,26240,32578,Vĩnh Long,315,11796746.39466199,1147351.580545092,POINT (11796746.39466199 1147351.580545092),1034
47,26199,32537,Vĩnh Long,274,11796746.39466199,1147046.7161679475,POINT (11796746.39466199 1147046.7161679475),1037
48,26245,32583,Vĩnh Long,320,11798270.727814617,1147351.580545092,POINT (11798270.727814617 1147351.580545092),503
49,15245,18834,Long Hồ District,1547,11798675.199336328,1146054.7151446496,POINT (11798675.199336328 1146054.7151446496),637
50,24628,30467,Trà Vinh City,785,11835579.682089915,1118717.3278786817,POINT (11835579.682089915 1118717.3278786817),21
51,24465,30235,Trà Vinh City,553,11839234.656902635,1115671.2024775054,POINT (11839234.656902635 1115671.2024775054),808
52,2277,2747,Bến Tre City,778,11838394.586413458,1148863.7763086231,POINT (11838394.586413458 1148863.7763086231),588
53,10276,12325,Go Cong Town,994,11872356.40905298,1168186.457907101,POINT (11872356.40905298 1168186.457907101),503
54,9885,11886,Go Cong Town,555,11875101.57663446,1164221.1019308306,POINT (11875101.57663446 1164221.1019308306),773
55,9887,11888,Go Cong Town,557,11875711.61387479,1164221.1019308306,POINT (11875711.61387479 1164221.1019308306),529
56,9933,11940,Go Cong Town,609,11874491.53939413,1164831.1276911497,POINT (11874491.53939413 1164831.1276911497),417
57,9479,11474,Go Cong Town,143,11875711.61387479,1159341.2745509306,POINT (11875711.61387479 1159341.2745509306),855
58,9433,11428,Go Cong Town,97,11875406.595254624,1158731.343379873,POINT (11875406.595254624 1158731.343379873),223
59,18110,22453,Mỹ Tho,374,11841177.060939008,1159114.8879559347,POINT (11841177.060939008 1159114.8879559347),855
