,image,pred,lon,lat
410,Hoa Lư District-58,0.9736391305923462,20.192601907264688N,105.94496277429069E
830,Tam Điệp-623,0.9708031415939332,20.157424543078324N,105.87229503813344E
324,Duy Tiên District-151,0.9704052209854126,20.589054441489374N,105.97920979293177E
325,Duy Tiên District-151,0.9704052209854126,20.589054441489374N,105.97920979293177E
450,Chau Doc City-1170,0.970366597175598,10.714649543709534N,105.11522045413554E
880,Long Xuyen City-1158,0.9699312448501588,10.412212410672934N,105.41393007181749E
904,Chau Doc City-351,0.9696381092071532,10.655361006143153N,105.12070547826302E
251,Yên Mỹ District-883,0.9692488312721252,20.912478611516228N,106.03637638993158E
250,Yên Mỹ District-883,0.9692488312721252,20.912478611516228N,106.03637638993158E
442,Thái Bình-628,0.9690538644790648,20.471587044326956N,106.3780938363084E
803,Thái Bình-628,0.9690538644790648,20.471587044326956N,106.3780938363084E
534,Long Hồ District-1920,0.9690242409706116,10.280652179984958N,105.99751811093057E
862,Long Xuyen City-666,0.9687142372131348,10.369093474261044N,105.39749189587363E
1,Chau Doc City-476,0.9686753749847412,10.66614074024613N,105.04665765254182E
2,Chau Doc City-476,0.9686753749847412,10.66614074024613N,105.04665765254182E
209,Mỹ Hào District-260,0.9684779644012452,20.915021475692363N,106.10218607197996E
681,Bến Tre City-800,0.9682613611221312,10.267754408331982N,106.3406309042958E
675,Bến Tre City-800,0.9682613611221312,10.267754408331982N,106.3406309042958E
666,Bến Tre City-800,0.9682613611221312,10.267754408331982N,106.3406309042958E
535,Long Hồ District-2297,0.9681063890457152,10.31029644876813N,105.99751811093057E
658,Long Hồ District-2297,0.9681063890457152,10.31029644876813N,105.99751811093057E
941,Hiệp Hòa District-2236,0.967992663383484,21.391494951517664N,105.97170813559445E
453,Chau Doc City-1138,0.9679009914398192,10.709259676658043N,105.12070547826302E
595,Duy Tiên District-913,0.967682719230652,20.648342979057535N,105.95905252570155E
838,Tam Điệp-592,0.96767395734787,20.1547296095525N,105.92109909443417E
840,Tam Điệp-592,0.96767395734787,20.1547296095525N,105.92109909443417E
839,Tam Điệp-592,0.96767395734787,20.1547296095525N,105.92109909443417E
456,Chau Doc City-935,0.967525839805603,10.693090075503575N,105.12619050239051E
802,Go Cong Town-220,0.9672466516494752,10.365745138435436N,106.67037240985691E
444,Thái Bình-192,0.9672058820724488,20.433857974965427N,106.38097009372268E
677,Bến Tre City-635,0.9669541120529176,10.251584807177524N,106.4036170923903E
344,Phu Ly City-754,0.9668315649032592,20.55858427787936N,105.9761270862806E
345,Phu Ly City-754,0.9668315649032592,20.55858427787936N,105.9761270862806E
874,Long Xuyen City-317,0.966614842414856,10.33675427195213N,105.4742033836116E
388,Hoa Lư District-1071,0.966192901134491,20.297704314771725N,105.94783524979243E
