UID,lon,lat
VNM-UNINHABITED-0,11643480.493489277,1116395.861329656
VNM-UNINHABITED-1,12019101.588963918,1618534.5213452391
VNM-UNINHABITED-2,11543355.96912872,2547373.11185069
VNM-UNINHABITED-3,12065961.308278456,1646423.6366927945
VNM-UNINHABITED-4,11641654.906481091,1096601.7680221694
VNM-UNINHABITED-5,11602714.612261435,2418808.855630613
VNM-UNINHABITED-6,11658693.718557518,1093861.875739792
VNM-UNINHABITED-7,12154426.380632617,1111613.0885868035
VNM-UNINHABITED-8,11635873.88095516,1108172.417677427
VNM-UNINHABITED-9,12051983.36045621,1820866.4255648544
VNM-UNINHABITED-10,12101722.673018498,1531650.7089611203
VNM-UNINHABITED-11,11728674.553871423,1054915.907977749
VNM-UNINHABITED-12,12750988.279564098,1138119.9438271248
VNM-UNINHABITED-13,11996596.592187855,1535663.981589335
VNM-UNINHABITED-14,11618835.068878729,1050050.4304487263
VNM-UNINHABITED-15,12067811.034040872,1559447.1928533844
VNM-UNINHABITED-16,11885642.43036069,2304862.698972095
VNM-UNINHABITED-17,12119154.08326649,1592106.717851183
VNM-UNINHABITED-18,11798351.124683965,974407.6586892062
VNM-UNINHABITED-19,12092163.107890667,1675779.3429938518
VNM-UNINHABITED-20,12607445.365065418,914748.6548608271
VNM-UNINHABITED-21,11614005.658509506,2442962.7907360727
VNM-UNINHABITED-22,12409920.499815095,963573.1042134075
VNM-UNINHABITED-23,11541420.361200478,2535056.297558761
VNM-UNINHABITED-24,12008417.45380241,2283448.4684230057
VNM-UNINHABITED-25,11566197.310142616,991407.4689193298
VNM-UNINHABITED-26,12004920.358118728,1642703.3189617812
VNM-UNINHABITED-27,12105730.412170399,1415210.4093163586
VNM-UNINHABITED-28,12013552.41167667,1495866.111779093
VNM-UNINHABITED-29,12139397.314798351,1135986.4945650608
VNM-UNINHABITED-30,11678203.321462823,2505273.7229269072
VNM-UNINHABITED-31,12436911.475190915,955077.947896746
VNM-UNINHABITED-32,12514203.81376713,991194.1609222329
VNM-UNINHABITED-33,11664779.008584816,1014793.6459864187
VNM-UNINHABITED-34,12117445.341999033,1493091.6663876693
VNM-UNINHABITED-35,12135410.011617836,1177154.0573315942
VNM-UNINHABITED-36,12065036.445397247,1620083.1174214885
VNM-UNINHABITED-37,12122221.239559196,1650958.6552160427
VNM-UNINHABITED-38,12074593.361836396,1539986.6347587844
VNM-UNINHABITED-39,12187858.384223122,1300342.6540473728
VNM-UNINHABITED-40,11461415.233499862,2450699.0985497013
VNM-UNINHABITED-41,11544646.374414213,2525338.841763594
VNM-UNINHABITED-42,11564325.055017993,2565540.6832609437
VNM-UNINHABITED-43,12164854.71202782,1604175.8708970114
VNM-UNINHABITED-44,12089095.95159796,1208901.3414481794
VNM-UNINHABITED-45,12172522.602759587,1320561.958474373
VNM-UNINHABITED-46,11601796.256802298,1129800.9722756871
VNM-UNINHABITED-47,11658389.454056155,1036673.480660093
VNM-UNINHABITED-48,12009236.384897698,1330484.7748768083
VNM-UNINHABITED-49,12070999.72947099,1137205.5930132964
VNM-UNINHABITED-50,11438187.938360974,2517245.2182199312
VNM-UNINHABITED-51,12072226.591988072,1125016.4510245658
VNM-UNINHABITED-52,11990786.575762477,2301345.2261034297
VNM-UNINHABITED-53,11911928.466711137,2358989.0851796214
VNM-UNINHABITED-54,11998754.605577342,1290658.6770453001
VNM-UNINHABITED-55,12700993.631992977,964786.8361306714
VNM-UNINHABITED-56,11868636.224499237,1057348.874716362
VNM-UNINHABITED-57,11605143.16631731,1037889.3793714748
VNM-UNINHABITED-58,11532710.125523396,2480386.921710615
VNM-UNINHABITED-59,12748534.554529931,1171662.2826725165
